city,pc,observable,spearman_r,p_value,n
atlanta,PC1,lst_c,-0.772,0.0,223
atlanta,PC1,hi_c,0.13,0.0521,223
atlanta,PC1,hi_minus_lst_z,0.771,0.0,223
atlanta,PC2,lst_c,0.118,0.0797,223
atlanta,PC2,hi_c,-0.643,0.0,223
atlanta,PC2,hi_minus_lst_z,-0.14,0.037,223
atlanta,PC3,lst_c,-0.363,0.0,223
atlanta,PC3,hi_c,0.175,0.0087,223
atlanta,PC3,hi_minus_lst_z,0.37,0.0,223
atlanta,PC4,lst_c,0.134,0.0455,223
atlanta,PC4,hi_c,-0.166,0.013,223
atlanta,PC4,hi_minus_lst_z,-0.14,0.036,223
atlanta,PC5,lst_c,-0.065,0.3332,223
atlanta,PC5,hi_c,-0.31,0.0,223
atlanta,PC5,hi_minus_lst_z,0.054,0.4236,223
atlanta,PC6,lst_c,0.058,0.3853,223
atlanta,PC6,hi_c,-0.108,0.1062,223
atlanta,PC6,hi_minus_lst_z,-0.066,0.3271,223
atlanta,PC7,lst_c,-0.054,0.4195,223
atlanta,PC7,hi_c,0.271,0.0,223
atlanta,PC7,hi_minus_lst_z,0.058,0.3904,223
boston,PC1,lst_c,0.61,0.0,191
boston,PC1,hi_c,-0.365,0.0,191
boston,PC1,hi_minus_lst_z,-0.613,0.0,191
boston,PC2,lst_c,-0.176,0.0148,191
boston,PC2,hi_c,0.575,0.0,191
boston,PC2,hi_minus_lst_z,0.188,0.0091,191
boston,PC3,lst_c,0.221,0.0021,191
boston,PC3,hi_c,-0.036,0.6234,191
boston,PC3,hi_minus_lst_z,-0.222,0.002,191
boston,PC4,lst_c,-0.096,0.1883,191
boston,PC4,hi_c,-0.138,0.0577,191
boston,PC4,hi_minus_lst_z,0.09,0.2176,191
boston,PC5,lst_c,0.211,0.0034,191
boston,PC5,hi_c,-0.099,0.1713,191
boston,PC5,hi_minus_lst_z,-0.218,0.0025,191
boston,PC6,lst_c,-0.085,0.2424,191
boston,PC6,hi_c,0.126,0.0815,191
boston,PC6,hi_minus_lst_z,0.082,0.2583,191
boston,PC7,lst_c,0.08,0.2687,191
boston,PC7,hi_c,0.02,0.78,191
