city,pc,mean_abs_shap
atlanta,PC1,0.7642
atlanta,PC2,0.4074
atlanta,PC4,0.315
atlanta,PC3,0.1985
atlanta,PC6,0.1407
atlanta,PC7,0.0665
atlanta,PC5,0.0602
boston,PC1,0.6429
boston,PC5,0.2437
boston,PC2,0.1985
boston,PC6,0.116
boston,PC3,0.1044
boston,PC4,0.0959
boston,PC7,0.0668
chicago,PC1,0.2633
chicago,PC2,0.1654
chicago,PC4,0.1249
chicago,PC6,0.0964
chicago,PC7,0.0744
chicago,PC5,0.0531
chicago,PC3,0.0468
dallas,PC1,0.6251
dallas,PC2,0.3333
dallas,PC4,0.2126
dallas,PC3,0.1082
dallas,PC7,0.0654
dallas,PC5,0.0606
dallas,PC6,0.0564
houston,PC1,0.3765
houston,PC2,0.2825
houston,PC3,0.169
houston,PC7,0.1208
houston,PC4,0.0815
houston,PC6,0.0578
houston,PC5,0.0402
las_vegas,PC3,0.1928
las_vegas,PC6,0.149
las_vegas,PC7,0.0967
las_vegas,PC4,0.0679
las_vegas,PC2,0.0601
las_vegas,PC5,0.0402
las_vegas,PC1,0.0303
los_angeles,PC4,0.303
los_angeles,PC5,0.2394
los_angeles,PC1,0.1922
los_angeles,PC7,0.1859
los_angeles,PC3,0.1766
los_angeles,PC2,0.1361
los_angeles,PC6,0.1242
miami,PC1,0.6497
miami,PC6,0.4013
miami,PC7,0.1367
miami,PC5,0.0854
miami,PC3,0.0678
miami,PC4,0.0534
miami,PC2,0.0512
new_york,PC1,0.2774
new_york,PC2,0.2362
new_york,PC3,0.2117
new_york,PC6,0.1987
new_york,PC4,0.1644
new_york,PC7,0.1599
new_york,PC5,0.0887
phoenix,PC3,0.2618
phoenix,PC2,0.2384
phoenix,PC1,0.2377
phoenix,PC5,0.2306
phoenix,PC4,0.1883
phoenix,PC6,0.0937
phoenix,PC7,0.0871
san_francisco,PC3,0.4365
san_francisco,PC2,0.3777
san_francisco,PC5,0.1042
san_francisco,PC1,0.0892
san_francisco,PC4,0.0494
san_francisco,PC7,0.037
san_francisco,PC6,0.0237
seattle,PC1,0.3142
seattle,PC2,0.261
seattle,PC5,0.2425
seattle,PC6,0.1606
seattle,PC4,0.1437
seattle,PC7,0.0863
seattle,PC3,0.0688
