city,features,r2_mean,r2_std,n,has_acs_demo
atlanta,baseline,-0.0238,0.013,223,False
atlanta,embed-only,0.7823,0.0242,223,False
atlanta,baseline+embed,0.7827,0.0244,223,False
boston,baseline,-0.0711,0.0628,191,False
boston,embed-only,0.3549,0.2269,191,False
boston,baseline+embed,0.3576,0.2254,191,False
chicago,baseline,-0.0035,0.0041,872,False
chicago,embed-only,0.504,0.0399,872,False
chicago,baseline+embed,0.5039,0.0423,872,False
dallas,baseline,-0.0127,0.0108,449,False
dallas,embed-only,0.5354,0.0694,449,False
dallas,baseline+embed,0.5371,0.0685,449,False
houston,baseline,-0.3251,0.1235,549,True
houston,embed-only,0.5608,0.0862,549,True
houston,baseline+embed,0.5593,0.0907,549,True
las_vegas,baseline,-0.0032,0.002,458,False
las_vegas,embed-only,0.2752,0.0624,458,False
las_vegas,baseline+embed,0.2716,0.0603,458,False
los_angeles,baseline,-0.0061,0.007,1080,False
los_angeles,embed-only,0.6707,0.0375,1080,False
los_angeles,baseline+embed,0.6711,0.0361,1080,False
miami,baseline,-0.0791,0.0555,125,False
miami,embed-only,0.6664,0.063,125,False
miami,baseline+embed,0.6661,0.0598,125,False
new_york,baseline,-0.0018,0.0017,2088,False
new_york,embed-only,0.5991,0.0296,2088,False
new_york,baseline+embed,0.598,0.0307,2088,False
phoenix,baseline,-0.5921,0.2937,332,True
phoenix,embed-only,0.6237,0.0972,332,True
phoenix,baseline+embed,0.619,0.0976,332,True
san_francisco,baseline,-0.0245,0.0336,188,False
san_francisco,embed-only,0.632,0.1092,188,False
san_francisco,baseline+embed,0.6277,0.116,188,False
seattle,baseline,-0.0149,0.0192,188,False
seattle,embed-only,0.3568,0.0998,188,False
seattle,baseline+embed,0.3542,0.1074,188,False
