city,outcome,cv_r2,cv_std,train_r2,top_pc,top_pc_shap,n
atlanta,lst_z,0.6732,0.0778,0.9601,PC1,0.649,223
atlanta,hi_z,0.5782,0.0778,0.9455,PC2,0.5399,223
atlanta,gap_z,0.6971,0.0479,0.9615,PC1,0.7632,223
boston,lst_z,0.2179,0.4074,0.9043,PC1,0.506,191
boston,hi_z,0.4028,0.1018,0.9331,PC2,0.3332,191
boston,gap_z,0.2561,0.1632,0.9171,PC1,0.6431,191
chicago,lst_z,0.6752,0.0424,0.9543,PC4,0.3196,872
chicago,hi_z,0.5434,0.0677,0.9421,PC2,0.2912,872
chicago,gap_z,0.3824,0.0434,0.9179,PC1,0.2611,872
dallas,lst_z,0.6115,0.0901,0.9497,PC1,0.4844,449
dallas,hi_z,0.1876,0.1046,0.8876,PC4,0.2782,449
dallas,gap_z,0.4545,0.0608,0.925,PC1,0.6264,449
houston,lst_z,0.7844,0.0314,0.9732,PC1,0.4444,549
houston,hi_z,0.364,0.1238,0.9203,PC7,0.2861,549
houston,gap_z,0.3978,0.0971,0.9255,PC1,0.3788,549
las_vegas,lst_z,0.3777,0.0978,0.92,PC3,0.332,458
las_vegas,hi_z,0.2144,0.0821,0.9012,PC5,0.1947,458
las_vegas,gap_z,0.1392,0.1227,0.8816,PC3,0.1916,458
los_angeles,lst_z,0.6935,0.0161,0.9597,PC5,0.3258,1080
los_angeles,hi_z,0.5931,0.0579,0.9486,PC6,0.3652,1080
los_angeles,gap_z,0.6029,0.0288,0.9465,PC4,0.304,1080
miami,lst_z,0.3068,0.1818,0.9093,PC1,0.49,125
miami,hi_z,0.3078,0.1749,0.9064,PC6,0.3957,125
miami,gap_z,0.5439,0.1346,0.9454,PC1,0.6519,125
new_york,lst_z,0.5578,0.0377,0.9396,PC3,0.3382,2088
new_york,hi_z,0.3934,0.0458,0.918,PC2,0.223,2088
new_york,gap_z,0.4455,0.0222,0.9255,PC1,0.2783,2088
phoenix,lst_z,0.6624,0.028,0.9551,PC3,0.4714,332
phoenix,hi_z,0.439,0.0528,0.9251,PC4,0.3214,332
phoenix,gap_z,0.5412,0.0891,0.9416,PC3,0.263,332
san_francisco,lst_z,0.5568,0.1184,0.9364,PC3,0.4346,188
san_francisco,hi_z,0.6163,0.1152,0.9519,PC2,0.3563,188
san_francisco,gap_z,0.6386,0.1098,0.9486,PC3,0.4386,188
seattle,lst_z,0.2769,0.1516,0.9138,PC1,0.3623,188
seattle,hi_z,0.0526,0.1965,0.878,PC2,0.1925,188
seattle,gap_z,0.223,0.1409,0.898,PC1,0.3094,188
