city,outcome,pc,mean_abs_shap
atlanta,lst_z,PC1,0.649
atlanta,lst_z,PC4,0.1253
atlanta,lst_z,PC3,0.0991
atlanta,lst_z,PC6,0.0989
atlanta,lst_z,PC7,0.0522
atlanta,lst_z,PC5,0.0384
atlanta,lst_z,PC2,0.0324
atlanta,hi_z,PC2,0.5399
atlanta,hi_z,PC3,0.148
atlanta,hi_z,PC4,0.1439
atlanta,hi_z,PC1,0.1202
atlanta,hi_z,PC5,0.1037
atlanta,hi_z,PC7,0.0581
atlanta,hi_z,PC6,0.0227
atlanta,gap_z,PC1,0.7632
atlanta,gap_z,PC2,0.3995
atlanta,gap_z,PC4,0.3236
atlanta,gap_z,PC3,0.199
atlanta,gap_z,PC6,0.1411
atlanta,gap_z,PC7,0.0651
atlanta,gap_z,PC5,0.0594
boston,lst_z,PC1,0.506
boston,lst_z,PC5,0.1381
boston,lst_z,PC3,0.1007
boston,lst_z,PC2,0.0744
boston,lst_z,PC6,0.0575
boston,lst_z,PC4,0.0543
boston,lst_z,PC7,0.0281
boston,hi_z,PC2,0.3332
boston,hi_z,PC4,0.1247
boston,hi_z,PC1,0.1201
boston,hi_z,PC7,0.1066
boston,hi_z,PC5,0.0757
boston,hi_z,PC6,0.0651
boston,hi_z,PC3,0.0419
boston,gap_z,PC1,0.6431
boston,gap_z,PC5,0.2521
boston,gap_z,PC2,0.1956
boston,gap_z,PC6,0.1177
boston,gap_z,PC3,0.1043
boston,gap_z,PC4,0.0927
boston,gap_z,PC7,0.0648
chicago,lst_z,PC4,0.3196
chicago,lst_z,PC1,0.247
chicago,lst_z,PC5,0.1347
chicago,lst_z,PC3,0.1198
chicago,lst_z,PC2,0.1077
chicago,lst_z,PC6,0.0559
chicago,lst_z,PC7,0.0549
chicago,hi_z,PC2,0.2912
chicago,hi_z,PC5,0.2508
chicago,hi_z,PC4,0.1863
chicago,hi_z,PC7,0.1218
chicago,hi_z,PC3,0.0929
chicago,hi_z,PC6,0.0728
chicago,hi_z,PC1,0.0597
chicago,gap_z,PC1,0.2611
chicago,gap_z,PC2,0.1608
chicago,gap_z,PC4,0.1283
chicago,gap_z,PC6,0.0996
chicago,gap_z,PC7,0.0774
chicago,gap_z,PC5,0.0543
chicago,gap_z,PC3,0.0474
dallas,lst_z,PC1,0.4844
dallas,lst_z,PC2,0.2232
dallas,lst_z,PC3,0.0973
dallas,lst_z,PC5,0.0464
dallas,lst_z,PC4,0.0458
dallas,lst_z,PC7,0.0396
dallas,lst_z,PC6,0.0339
dallas,hi_z,PC4,0.2782
dallas,hi_z,PC2,0.1579
dallas,hi_z,PC3,0.1532
dallas,hi_z,PC1,0.099
dallas,hi_z,PC6,0.0806
dallas,hi_z,PC5,0.0604
dallas,hi_z,PC7,0.0551
dallas,gap_z,PC1,0.6264
dallas,gap_z,PC2,0.3329
dallas,gap_z,PC4,0.2191
dallas,gap_z,PC3,0.1065
dallas,gap_z,PC7,0.0656
dallas,gap_z,PC5,0.0612
dallas,gap_z,PC6,0.0581
houston,lst_z,PC1,0.4444
houston,lst_z,PC2,0.2787
houston,lst_z,PC3,0.1498
houston,lst_z,PC7,0.0768
houston,lst_z,PC6,0.0738
houston,lst_z,PC4,0.0663
houston,lst_z,PC5,0.0604
houston,hi_z,PC7,0.2861
houston,hi_z,PC6,0.2071
houston,hi_z,PC3,0.1147
houston,hi_z,PC4,0.0993
houston,hi_z,PC2,0.0771
houston,hi_z,PC1,0.0612
houston,hi_z,PC5,0.0501
houston,gap_z,PC1,0.3788
houston,gap_z,PC2,0.2835
houston,gap_z,PC3,0.1704
houston,gap_z,PC7,0.1242
houston,gap_z,PC4,0.0826
houston,gap_z,PC6,0.058
houston,gap_z,PC5,0.0394
las_vegas,lst_z,PC3,0.332
las_vegas,lst_z,PC7,0.2233
las_vegas,lst_z,PC5,0.1941
las_vegas,lst_z,PC2,0.0822
las_vegas,lst_z,PC4,0.0659
las_vegas,lst_z,PC1,0.0361
las_vegas,lst_z,PC6,0.0338
las_vegas,hi_z,PC5,0.1947
las_vegas,hi_z,PC6,0.1612
las_vegas,hi_z,PC7,0.132
las_vegas,hi_z,PC3,0.0949
las_vegas,hi_z,PC4,0.0892
las_vegas,hi_z,PC1,0.0838
las_vegas,hi_z,PC2,0.0653
las_vegas,gap_z,PC3,0.1916
las_vegas,gap_z,PC6,0.1501
las_vegas,gap_z,PC7,0.0948
las_vegas,gap_z,PC4,0.0695
las_vegas,gap_z,PC2,0.0622
las_vegas,gap_z,PC5,0.0396
las_vegas,gap_z,PC1,0.0306
los_angeles,lst_z,PC5,0.3258
los_angeles,lst_z,PC6,0.2059
los_angeles,lst_z,PC1,0.1962
los_angeles,lst_z,PC3,0.1455
los_angeles,lst_z,PC7,0.1263
los_angeles,lst_z,PC4,0.1114
los_angeles,lst_z,PC2,0.0512
los_angeles,hi_z,PC6,0.3652
los_angeles,hi_z,PC5,0.3101
los_angeles,hi_z,PC3,0.1028
los_angeles,hi_z,PC4,0.0916
los_angeles,hi_z,PC7,0.0837
los_angeles,hi_z,PC1,0.067
los_angeles,hi_z,PC2,0.0666
los_angeles,gap_z,PC4,0.304
los_angeles,gap_z,PC5,0.2434
los_angeles,gap_z,PC1,0.1862
los_angeles,gap_z,PC7,0.1853
los_angeles,gap_z,PC3,0.1805
los_angeles,gap_z,PC2,0.1293
los_angeles,gap_z,PC6,0.1202
miami,lst_z,PC1,0.49
miami,lst_z,PC7,0.2027
miami,lst_z,PC3,0.0986
miami,lst_z,PC5,0.0671
miami,lst_z,PC6,0.0615
miami,lst_z,PC4,0.0505
miami,lst_z,PC2,0.0473
miami,hi_z,PC6,0.3957
miami,hi_z,PC2,0.1019
miami,hi_z,PC1,0.092
miami,hi_z,PC7,0.0777
miami,hi_z,PC5,0.0687
miami,hi_z,PC3,0.0528
miami,hi_z,PC4,0.05
miami,gap_z,PC1,0.6519
miami,gap_z,PC6,0.4023
miami,gap_z,PC7,0.1356
miami,gap_z,PC5,0.0885
miami,gap_z,PC3,0.0683
miami,gap_z,PC4,0.0494
miami,gap_z,PC2,0.049
new_york,lst_z,PC3,0.3382
new_york,lst_z,PC1,0.2587
new_york,lst_z,PC4,0.2289
new_york,lst_z,PC7,0.0807
new_york,lst_z,PC5,0.0676
new_york,lst_z,PC2,0.054
new_york,lst_z,PC6,0.0395
new_york,hi_z,PC2,0.223
new_york,hi_z,PC4,0.2113
new_york,hi_z,PC6,0.2046
new_york,hi_z,PC7,0.1
new_york,hi_z,PC1,0.0965
new_york,hi_z,PC3,0.0719
new_york,hi_z,PC5,0.0595
new_york,gap_z,PC1,0.2783
new_york,gap_z,PC2,0.237
new_york,gap_z,PC3,0.2096
new_york,gap_z,PC6,0.1927
new_york,gap_z,PC4,0.1605
new_york,gap_z,PC7,0.1585
new_york,gap_z,PC5,0.0864
phoenix,lst_z,PC3,0.4714
phoenix,lst_z,PC6,0.2636
phoenix,lst_z,PC5,0.2523
phoenix,lst_z,PC1,0.0762
phoenix,lst_z,PC4,0.0523
phoenix,lst_z,PC7,0.0444
phoenix,lst_z,PC2,0.042
phoenix,hi_z,PC4,0.3214
phoenix,hi_z,PC2,0.1931
phoenix,hi_z,PC1,0.135
phoenix,hi_z,PC7,0.1066
phoenix,hi_z,PC6,0.104
phoenix,hi_z,PC5,0.0975
phoenix,hi_z,PC3,0.0603
phoenix,gap_z,PC3,0.263
phoenix,gap_z,PC1,0.2432
phoenix,gap_z,PC2,0.2391
phoenix,gap_z,PC5,0.221
phoenix,gap_z,PC4,0.1878
phoenix,gap_z,PC6,0.0939
phoenix,gap_z,PC7,0.0907
san_francisco,lst_z,PC3,0.4346
san_francisco,lst_z,PC1,0.2609
san_francisco,lst_z,PC2,0.1563
san_francisco,lst_z,PC5,0.1333
san_francisco,lst_z,PC4,0.0502
san_francisco,lst_z,PC7,0.0277
san_francisco,lst_z,PC6,0.0221
san_francisco,hi_z,PC2,0.3563
san_francisco,hi_z,PC5,0.2613
san_francisco,hi_z,PC1,0.142
san_francisco,hi_z,PC4,0.0182
san_francisco,hi_z,PC6,0.0165
san_francisco,hi_z,PC3,0.0129
san_francisco,hi_z,PC7,0.012
san_francisco,gap_z,PC3,0.4386
san_francisco,gap_z,PC2,0.3744
san_francisco,gap_z,PC5,0.1039
san_francisco,gap_z,PC1,0.089
san_francisco,gap_z,PC4,0.0491
san_francisco,gap_z,PC7,0.0365
san_francisco,gap_z,PC6,0.0255
seattle,lst_z,PC1,0.3623
seattle,lst_z,PC5,0.207
seattle,lst_z,PC6,0.1073
seattle,lst_z,PC4,0.086
seattle,lst_z,PC2,0.0701
seattle,lst_z,PC3,0.0673
seattle,lst_z,PC7,0.0344
seattle,hi_z,PC2,0.1925
seattle,hi_z,PC4,0.1415
seattle,hi_z,PC6,0.128
seattle,hi_z,PC7,0.1006
seattle,hi_z,PC5,0.0998
seattle,hi_z,PC1,0.0929
seattle,hi_z,PC3,0.0724
seattle,gap_z,PC1,0.3094
seattle,gap_z,PC2,0.2648
seattle,gap_z,PC5,0.242
seattle,gap_z,PC6,0.1613
seattle,gap_z,PC4,0.1453
seattle,gap_z,PC7,0.0865
seattle,gap_z,PC3,0.0689
