STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,centroid_in_city,intersects_city,city,city_label,state_fips,state_name,city_context
13,121,006601,13121006601,1400000US13121006601,66.01,Census Tract 66.01,G5020,S,1929137,0,+33.7115643,-084.4223706,True,True,atlanta,Atlanta,13,Georgia,Inland / humid / sprawling Sun Belt
13,063,040309,13063040309,1400000US13063040309,403.09,Census Tract 403.09,G5020,S,2687770,22678,+33.6436520,-084.3489428,False,True,atlanta,Atlanta,13,Georgia,Inland / humid / sprawling Sun Belt
13,089,021405,13089021405,1400000US13089021405,214.05,Census Tract 214.05,G5020,S,2401566,0,+33.8571530,-084.3293305,False,True,atlanta,Atlanta,13,Georgia,Inland / humid / sprawling Sun Belt
13,089,021502,13089021502,1400000US13089021502,215.02,Census Tract 215.02,G5020,S,3623718,4234,+33.8172846,-084.3411507,False,True,atlanta,Atlanta,13,Georgia,Inland / humid / sprawling Sun Belt
13,089,022401,13089022401,1400000US13089022401,224.01,Census Tract 224.01,G5020,S,2661858,1934,+33.7884482,-084.3430661,False,True,atlanta,Atlanta,13,Georgia,Inland / humid / sprawling Sun Belt
13,089,022403,13089022403,1400000US13089022403,224.03,Census Tract 224.03,G5020,S,4863954,8932,+33.7761539,-084.3212938,False,True,atlanta,Atlanta,13,Georgia,Inland / humid / sprawling Sun Belt
13,089,022700,13089022700,1400000US13089022700,227,Census Tract 227,G5020,S,2256924,0,+33.7604613,-084.3039347,False,True,atlanta,Atlanta,13,Georgia,Inland / humid / sprawling Sun Belt
13,121,001400,13121001400,1400000US13121001400,14,Census Tract 14,G5020,S,722972,0,+33.7770784,-084.3622634,True,True,atlanta,Atlanta,13,Georgia,Inland / humid / sprawling Sun Belt
13,121,001600,13121001600,1400000US13121001600,16,Census Tract 16,G5020,S,920488,2683,+33.7664857,-084.3569997,True,True,atlanta,Atlanta,13,Georgia,Inland / humid / sprawling Sun Belt
13,121,003600,13121003600,1400000US13121003600,36,Census Tract 36,G5020,S,393883,0,+33.7518731,-084.4029233,True,True,atlanta,Atlanta,13,Georgia,Inland / humid / sprawling Sun Belt
13,121,009802,13121009802,1400000US13121009802,98.02,Census Tract 98.02,G5020,S,10632486,241569,+33.8636555,-084.4250506,True,True,atlanta,Atlanta,13,Georgia,Inland / humid / sprawling Sun Belt
