STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,city,city_name,NAME_acs,population,poverty_universe,poverty_below,poverty_rate,acs_year,state,county,tract,tract_area_km2
25,025,091300,25025091300,1400000US25025091300,913,Census Tract 913,G5020,S,262560,0,+42.3199357,-071.0668701,boston,Boston,,,,,,,,,,0.26253811363091706
25,025,110501,25025110501,1400000US25025110501,1105.01,Census Tract 1105.01,G5020,S,647837,0,+42.2821618,-071.1414485,boston,Boston,,,,,,,,,,0.6478160433420126
25,025,030500,25025030500,1400000US25025030500,305,Census Tract 305,G5020,S,191230,294934,+42.3675671,-071.0515811,boston,Boston,,,,,,,,,,0.48611286902514544
25,025,010500,25025010500,1400000US25025010500,105,Census Tract 105,G5020,S,193266,6725,+42.3444618,-071.0843482,boston,Boston,,,,,,,,,,0.19997740779258785
25,025,140201,25025140201,1400000US25025140201,1402.01,Census Tract 1402.01,G5020,S,1322336,99765,+42.2375297,-071.1305801,boston,Boston,,,,,,,,,,1.4220438406499374
25,025,082100,25025082100,1400000US25025082100,821,Census Tract 821,G5020,S,370577,0,+42.3094485,-071.0872292,boston,Boston,,,,,,,,,,0.3705498438974957
25,025,050500,25025050500,1400000US25025050500,505,Census Tract 505,G5020,S,272242,0,+42.3708587,-071.0319250,boston,Boston,,,,,,,,,,0.27221160158468444
25,025,101101,25025101101,1400000US25025101101,1011.01,Census Tract 1011.01,G5020,S,587566,0,+42.2848807,-071.0958793,boston,Boston,,,,,,,,,,0.5875306824932327
25,025,120600,25025120600,1400000US25025120600,1206,Census Tract 1206,G5020,S,257295,0,+42.3190999,-071.1088366,boston,Boston,,,,,,,,,,0.25728175174685847
25,025,091700,25025091700,1400000US25025091700,917,Census Tract 917,G5020,S,288865,0,+42.3036084,-071.0659184,boston,Boston,,,,,,,,,,0.28883984311555927
25,025,030100,25025030100,1400000US25025030100,301,Census Tract 301,G5020,S,77344,0,+42.3669373,-071.0561403,boston,Boston,,,,,,,,,,0.07733777020983394
25,025,060501,25025060501,1400000US25025060501,605.01,Census Tract 605.01,G5020,S,411742,0,+42.3368686,-071.0382133,boston,Boston,,,,,,,,,,0.4116992999308297
25,025,050101,25025050101,1400000US25025050101,501.01,Census Tract 501.01,G5020,S,299770,184516,+42.3816657,-071.0397908,boston,Boston,,,,,,,,,,0.48423711766432354
25,025,110607,25025110607,1400000US25025110607,1106.07,Census Tract 1106.07,G5020,S,1124028,0,+42.2902453,-071.1350293,boston,Boston,,,,,,,,,,1.1239852794045488
25,025,120104,25025120104,1400000US25025120104,1201.04,Census Tract 1201.04,G5020,S,405800,0,+42.3042695,-071.1170951,boston,Boston,,,,,,,,,,0.40578052360254174
25,025,120201,25025120201,1400000US25025120201,1202.01,Census Tract 1202.01,G5020,S,713168,0,+42.3051903,-071.1083461,boston,Boston,,,,,,,,,,0.7131253322172808
25,025,980300,25025980300,1400000US25025980300,9803,Census Tract 9803,G5020,S,2081297,27540,+42.3006134,-071.0946130,boston,Boston,,,,,,,,,,2.1087010147471634
25,025,000704,25025000704,1400000US25025000704,7.04,Census Tract 7.04,G5020,S,239779,0,+42.3500028,-071.1334045,boston,Boston,,,,,,,,,,0.23976907119986868
25,025,000703,25025000703,1400000US25025000703,7.03,Census Tract 7.03,G5020,S,181887,0,+42.3513063,-071.1281838,boston,Boston,,,,,,,,,,0.1818757190534268
25,025,010802,25025010802,1400000US25025010802,108.02,Census Tract 108.02,G5020,S,156827,0,+42.3515155,-071.0857007,boston,Boston,,,,,,,,,,0.15681792926471164
25,025,010204,25025010204,1400000US25025010204,102.04,Census Tract 102.04,G5020,S,253410,607,+42.3464726,-071.1034355,boston,Boston,,,,,,,,,,0.25399772189945774
25,025,010404,25025010404,1400000US25025010404,104.04,Census Tract 104.04,G5020,S,136909,0,+42.3419678,-071.0886377,boston,Boston,,,,,,,,,,0.13689975794197315
25,025,010405,25025010405,1400000US25025010405,104.05,Census Tract 104.05,G5020,S,364894,0,+42.3398656,-071.0895958,boston,Boston,,,,,,,,,,0.36486854627208437
25,025,081001,25025081001,1400000US25025081001,810.01,Census Tract 810.01,G5020,S,559703,0,+42.3345574,-071.1068296,boston,Boston,,,,,,,,,,0.5596728767210796
25,025,020101,25025020101,1400000US25025020101,201.01,Census Tract 201.01,G5020,S,219375,0,+42.3577451,-071.0693336,boston,Boston,,,,,,,,,,0.2193567617842541
25,025,020301,25025020301,1400000US25025020301,203.01,Census Tract 203.01,G5020,S,262787,528,+42.3631736,-071.0686464,boston,Boston,,,,,,,,,,0.2632926300006236
25,025,020302,25025020302,1400000US25025020302,203.02,Census Tract 203.02,G5020,S,76786,0,+42.3593442,-071.0639956,boston,Boston,,,,,,,,,,0.07677880327845471
25,025,040100,25025040100,1400000US25025040100,401,Census Tract 401,G5020,S,264111,62166,+42.3730476,-071.0597515,boston,Boston,,,,,,,,,,0.32624805266875534
25,025,050901,25025050901,1400000US25025050901,509.01,Census Tract 509.01,G5020,S,615897,194140,+42.3819368,-071.0295001,boston,Boston,,,,,,,,,,0.8099456775788113
25,025,051000,25025051000,1400000US25025051000,510,Census Tract 510,G5020,S,1043220,210157,+42.3873027,-071.0161271,boston,Boston,,,,,,,,,,1.2532186339939568
25,025,060301,25025060301,1400000US25025060301,603.01,Census Tract 603.01,G5020,S,272519,0,+42.3334669,-071.0369483,boston,Boston,,,,,,,,,,0.2724916116592841
25,025,080100,25025080100,1400000US25025080100,801,Census Tract 801,G5020,S,1026664,0,+42.3293312,-071.0705295,boston,Boston,,,,,,,,,,1.0265739140416137
25,025,061101,25025061101,1400000US25025061101,611.01,Census Tract 611.01,G5020,S,165282,0,+42.3262844,-071.0542968,boston,Boston,,,,,,,,,,0.16526380232674553
25,025,100700,25025100700,1400000US25025100700,1007,Census Tract 1007,G5020,S,1211115,146231,+42.2826719,-071.0479602,boston,Boston,,,,,,,,,,1.357216454065532
