STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,centroid_in_city,intersects_city,city,city_label,state_fips,state_name,city_context
17,031,030101,17031030101,1400000US17031030101,301.01,Census Tract 301.01,G5020,S,127283,110999,+41.9910538,-087.6548790,True,True,chicago,Chicago,17,Illinois,Great Lakes / large grid city
17,031,030701,17031030701,1400000US17031030701,307.01,Census Tract 307.01,G5020,S,69878,0,+41.9827453,-087.6579659,True,True,chicago,Chicago,17,Illinois,Great Lakes / large grid city
17,031,070103,17031070103,1400000US17031070103,701.03,Census Tract 701.03,G5020,S,69094,0,+41.9268110,-087.6426051,True,True,chicago,Chicago,17,Illinois,Great Lakes / large grid city
17,031,807900,17031807900,1400000US17031807900,8079,Census Tract 8079,G5020,S,2013730,0,+42.0041886,-087.7487798,False,True,chicago,Chicago,17,Illinois,Great Lakes / large grid city
17,031,808001,17031808001,1400000US17031808001,8080.01,Census Tract 8080.01,G5020,S,2202703,0,+42.0070209,-087.7354065,False,True,chicago,Chicago,17,Illinois,Great Lakes / large grid city
17,031,808002,17031808002,1400000US17031808002,8080.02,Census Tract 8080.02,G5020,S,2754904,0,+42.0050636,-087.7194386,False,True,chicago,Chicago,17,Illinois,Great Lakes / large grid city
17,031,770602,17031770602,1400000US17031770602,7706.02,Census Tract 7706.02,G5020,S,5390210,153161,+42.0119110,-087.9074973,False,True,chicago,Chicago,17,Illinois,Great Lakes / large grid city
17,031,831900,17031831900,1400000US17031831900,8319,Census Tract 8319,G5020,S,324320,0,+41.9451690,-087.6687907,True,True,chicago,Chicago,17,Illinois,Great Lakes / large grid city
17,031,832600,17031832600,1400000US17031832600,8326,Census Tract 8326,G5020,S,689068,32563,+41.9147541,-087.6544654,True,True,chicago,Chicago,17,Illinois,Great Lakes / large grid city
17,031,836900,17031836900,1400000US17031836900,8369,Census Tract 8369,G5020,S,164712,0,+41.8818831,-087.7061362,True,True,chicago,Chicago,17,Illinois,Great Lakes / large grid city
17,031,841200,17031841200,1400000US17031841200,8412,Census Tract 8412,G5020,S,625407,0,+41.8555618,-087.6833420,True,True,chicago,Chicago,17,Illinois,Great Lakes / large grid city
17,031,839500,17031839500,1400000US17031839500,8395,Census Tract 8395,G5020,S,262139,0,+41.8340975,-087.6192919,True,True,chicago,Chicago,17,Illinois,Great Lakes / large grid city
17,031,835800,17031835800,1400000US17031835800,8358,Census Tract 8358,G5020,S,284425,0,+41.8130462,-087.6187192,True,True,chicago,Chicago,17,Illinois,Great Lakes / large grid city
17,031,838800,17031838800,1400000US17031838800,8388,Census Tract 8388,G5020,S,17863256,3802983,+41.6834042,-087.5740611,True,True,chicago,Chicago,17,Illinois,Great Lakes / large grid city
17,031,842300,17031842300,1400000US17031842300,8423,Census Tract 8423,G5020,S,1741942,135729,+41.9097236,-087.6606398,True,True,chicago,Chicago,17,Illinois,Great Lakes / large grid city
