GEOID,NAME,total_population,median_household_income,below_poverty_count,poverty_universe,poverty_rate
32003000101,Census Tract 1.01; Clark County; Nevada,6888,75327.0,887,6860,0.12930029154518952
32003000103,Census Tract 1.03; Clark County; Nevada,6700,70966.0,647,6599,0.09804515835732687
32003000105,Census Tract 1.05; Clark County; Nevada,3672,85481.0,462,3672,0.12581699346405228
32003000106,Census Tract 1.06; Clark County; Nevada,4362,42947.0,791,4359,0.1814636384491856
32003000107,Census Tract 1.07; Clark County; Nevada,3965,49583.0,1040,3965,0.26229508196721313
32003000108,Census Tract 1.08; Clark County; Nevada,4120,52235.0,1191,4120,0.2890776699029126
32003000109,Census Tract 1.09; Clark County; Nevada,3522,55758.0,521,3522,0.14792731402612153
32003000201,Census Tract 2.01; Clark County; Nevada,4808,42012.0,1452,4808,0.3019966722129784
32003000203,Census Tract 2.03; Clark County; Nevada,3685,54504.0,821,3528,0.23270975056689341
32003000204,Census Tract 2.04; Clark County; Nevada,1248,132750.0,145,1138,0.1274165202108963
32003000301,Census Tract 3.01; Clark County; Nevada,2958,29250.0,1183,2940,0.4023809523809524
32003000302,Census Tract 3.02; Clark County; Nevada,4718,29340.0,1462,4702,0.3109315185027648
32003000401,Census Tract 4.01; Clark County; Nevada,2608,21816.0,1279,2584,0.494969040247678
32003000402,Census Tract 4.02; Clark County; Nevada,3398,36713.0,1268,3398,0.3731606827545615
32003000403,Census Tract 4.03; Clark County; Nevada,2395,23510.0,1273,2395,0.5315240083507307
32003000510,Census Tract 5.10; Clark County; Nevada,5571,62447.0,897,5571,0.16101238556812061
32003000513,Census Tract 5.13; Clark County; Nevada,3543,48194.0,602,3543,0.16991250352808354
32003000514,Census Tract 5.14; Clark County; Nevada,5107,39215.0,716,5107,0.1401997258664578
32003000515,Census Tract 5.15; Clark County; Nevada,5060,53575.0,1575,5060,0.31126482213438733
32003000516,Census Tract 5.16; Clark County; Nevada,5911,39495.0,1335,4647,0.28728211749515814
32003000517,Census Tract 5.17; Clark County; Nevada,5000,43295.0,1251,5000,0.2502
32003000518,Census Tract 5.18; Clark County; Nevada,5433,46372.0,1294,5393,0.23994066382347487
32003000519,Census Tract 5.19; Clark County; Nevada,4667,46985.0,715,4649,0.15379651537965153
32003000520,Census Tract 5.20; Clark County; Nevada,1785,60988.0,283,1782,0.15881032547699214
32003000521,Census Tract 5.21; Clark County; Nevada,3289,31905.0,850,3289,0.2584372149589541
32003000522,Census Tract 5.22; Clark County; Nevada,3319,39485.0,1145,3319,0.34498342874359744
32003000523,Census Tract 5.23; Clark County; Nevada,2417,32400.0,1065,2417,0.44062887877534135
32003000524,Census Tract 5.24; Clark County; Nevada,2271,27073.0,788,2271,0.3469837076177895
32003000525,Census Tract 5.25; Clark County; Nevada,2754,43400.0,649,2726,0.2380777696258254
32003000526,Census Tract 5.26; Clark County; Nevada,3085,60774.0,386,3072,0.12565104166666666
