GEOID,STATEFP,COUNTYFP,TRACTCE,NAME,NAMELSAD,area_km2,GEOIDFQ,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,acs_name,total_population,median_household_income,below_poverty_count,poverty_universe,poverty_rate,city,centroid_lon,centroid_lat,lst_c,air_temp_c,rh_pct,hi_c,hi_minus_lst,has_heat_data,has_alphaearth_embedding,has_pc_scores
32003002954,32,003,002954,29.54,Census Tract 29.54,0.9598681955373326,1400000US32003002954,G5020,S,960016,0,+36.1208863,-115.2036938,Census Tract 29.54; Clark County; Nevada,4297,43242.0,1412,4274,0.3303696771174543,las_vegas,-115.20369383600688,36.12088627778022,,,,,,False,False,False
32003004709,32,003,004709,47.09,Census Tract 47.09,1.3010518113023024,1400000US32003004709,G5020,S,1301127,0,+36.1922548,-115.0710560,Census Tract 47.09; Clark County; Nevada,5491,51946.0,1126,5491,0.2050628300855946,las_vegas,-115.07105595171936,36.192254831858875,,,,,,False,False,False
32003002915,32,003,002915,29.15,Census Tract 29.15,2.7401700610115314,1400000US32003002915,G5020,S,2740731,0,+36.1515189,-115.2705680,Census Tract 29.15; Clark County; Nevada,4315,62018.0,741,4216,0.1757590132827324,las_vegas,-115.2705680062098,36.15151894102585,,,,,,False,False,False
32003002916,32,003,002916,29.16,Census Tract 29.16,2.775261477630473,1400000US32003002916,G5020,S,2775794,0,+36.1515885,-115.2525583,Census Tract 29.16; Clark County; Nevada,2802,66629.0,499,2802,0.1780870806566738,las_vegas,-115.25255832830759,36.15158854346842,,,,,,False,False,False
32003002919,32,003,002919,29.19,Census Tract 29.19,2.6453470401637174,1400000US32003002919,G5020,S,2645848,0,+36.1219448,-115.2519736,Census Tract 29.19; Clark County; Nevada,4566,63047.0,342,4454,0.0767849124382577,las_vegas,-115.25197358933085,36.121944833280466,,,,,,False,False,False
32003002935,32,003,002935,29.35,Census Tract 29.35,0.9243110080936817,1400000US32003002935,G5020,S,924466,0,+36.1201588,-115.2206891,Census Tract 29.35; Clark County; Nevada,2081,85580.0,251,2081,0.1206150888995675,las_vegas,-115.22068905230836,36.1201588456214,,,,,,False,False,False
32003004500,32,003,004500,45,Census Tract 45,1.3511495864713146,1400000US32003004500,G5020,S,1351279,0,+36.2135822,-115.1175467,Census Tract 45; Clark County; Nevada,5040,62964.0,1242,5001,0.2483503299340132,las_vegas,-115.11754666104252,36.21358221937282,,,,,,False,False,False
32003002206,32,003,002206,22.06,Census Tract 22.06,1.1294695598428706,1400000US32003002206,G5020,S,1129640,0,+36.1297331,-115.1981786,Census Tract 22.06; Clark County; Nevada,3587,39661.0,1251,3520,0.3553977272727273,las_vegas,-115.19817855455081,36.12973312925711,,,,,,False,False,False
32003005013,32,003,005013,50.13,Census Tract 50.13,2.2237662743449915,1400000US32003005013,G5020,S,2223835,0,+36.1297893,-115.0361454,Census Tract 50.13; Clark County; Nevada,4253,65760.0,673,4196,0.1603908484270734,las_vegas,-115.03614541369248,36.129789311465466,,,,,,False,False,False
32003002996,32,003,002996,29.96,Census Tract 29.96,0.498878878937545,1400000US32003002996,G5020,S,498955,0,+36.1208659,-115.1969903,Census Tract 29.96; Clark County; Nevada,3699,34064.0,1247,3699,0.337118140037848,las_vegas,-115.19699031627852,36.12086592275254,,,,,,False,False,False
32003002207,32,003,002207,22.07,Census Tract 22.07,0.4278184055055135,1400000US32003002207,G5020,S,427885,0,+36.1338691,-115.2040712,Census Tract 22.07; Clark County; Nevada,3826,42639.0,1316,3826,0.3439623627809723,las_vegas,-115.20407121890727,36.13386912525525,,,,,,False,False,False
32003004302,32,003,004302,43.02,Census Tract 43.02,0.8393496498268651,1400000US32003004302,G5020,S,839425,0,+36.1997128,-115.1126924,Census Tract 43.02; Clark County; Nevada,3848,46014.0,1459,3848,0.3791580041580041,las_vegas,-115.11269235434695,36.19971275978008,,,,,,False,False,False
32003002605,32,003,002605,26.05,Census Tract 26.05,0.5995894849307966,1400000US32003002605,G5020,S,599665,0,+36.1113830,-115.1591191,Census Tract 26.05; Clark County; Nevada,407,23039.0,145,407,0.3562653562653562,las_vegas,-115.15911909074256,36.11138303991561,,,,,,False,False,False
32003004402,32,003,004402,44.02,Census Tract 44.02,0.7810303507545022,1400000US32003004402,G5020,S,781110,0,+36.2064415,-115.1265190,Census Tract 44.02; Clark County; Nevada,3603,39495.0,1063,3575,0.2973426573426573,las_vegas,-115.12651895522137,36.206441454304475,,,,,,False,False,False
32003004301,32,003,004301,43.01,Census Tract 43.01,0.368305649178101,1400000US32003004301,G5020,S,368339,0,+36.2053587,-115.1107992,Census Tract 43.01; Clark County; Nevada,1587,37072.0,474,1587,0.2986767485822306,las_vegas,-115.11079920916218,36.20535873065377,,,,,,False,False,False
32003003658,32,003,003658,36.58,Census Tract 36.58,1.4232814203408823,1400000US32003003658,G5020,S,1423464,0,+36.2880741,-115.1611213,Census Tract 36.58; Clark County; Nevada,2172,119828.0,90,2172,0.0414364640883977,las_vegas,-115.16112126638238,36.28807409825289,,,,,,False,False,False
32003003247,32,003,003247,32.47,Census Tract 32.47,1.4469952058593112,1400000US32003003247,G5020,S,1447284,0,+36.2123521,-115.2660111,Census Tract 32.47; Clark County; Nevada,3874,103036.0,244,3874,0.0629839958699019,las_vegas,-115.26601112922663,36.212352109553365,,,,,,False,False,False
32003005905,32,003,005905,59.05,Census Tract 59.05,3.034598243082956,1400000US32003005905,G5020,S,3031874,0,+36.8266832,-114.0567845,Census Tract 59.05; Clark County; Nevada,2147,53052.0,294,2147,0.1369352585002329,las_vegas,-114.0567844853318,36.826683215969965,,,,,,False,False,False
32003005434,32,003,005434,54.34,Census Tract 54.34,5.010993564247343,1400000US32003005434,G5020,S,5010769,0,+36.0329472,-114.9443249,Census Tract 54.34; Clark County; Nevada,5488,108247.0,373,5454,0.0683901723505683,las_vegas,-114.94432484502539,36.03294712634797,,,,,,False,False,False
32003005439,32,003,005439,54.39,Census Tract 54.39,1.2079203686747009,1400000US32003005439,G5020,S,1207921,0,+36.0635638,-115.0012890,Census Tract 54.39; Clark County; Nevada,3963,74356.0,503,3963,0.1269240474388089,las_vegas,-115.00128898718954,36.0635637959472,,,,,,False,False,False
32003005615,32,003,005615,56.15,Census Tract 56.15,3.8059329387285494,1400000US32003005615,G5020,S,3148494,654280,+36.7906476,-114.1165693,Census Tract 56.15; Clark County; Nevada,1720,64808.0,229,1705,0.1343108504398827,las_vegas,-114.11702598382652,36.7890080572827,,,,,,False,False,False
32003001501,32,003,001501,15.01,Census Tract 15.01,1.0093804491819847,1400000US32003001501,G5020,S,1009466,0,+36.1544766,-115.1061773,Census Tract 15.01; Clark County; Nevada,3508,26058.0,1274,3508,0.363169897377423,las_vegas,-115.10617725284742,36.15447659562531,,,,,,False,False,False
32003002848,32,003,002848,28.48,Census Tract 28.48,1.0646708189552145,1400000US32003002848,G5020,S,1064777,0,+36.0607897,-115.1288210,Census Tract 28.48; Clark County; Nevada,3816,57600.0,750,3808,0.196953781512605,las_vegas,-115.12882102119164,36.060789695008175,,,,,,False,False,False
32003000521,32,003,000521,5.21,Census Tract 5.21,0.8194597080988978,1400000US32003000521,G5020,S,819539,0,+36.1633842,-115.1204933,Census Tract 5.21; Clark County; Nevada,3289,31905.0,850,3289,0.2584372149589541,las_vegas,-115.12049330772045,36.16338418573106,,,,,,False,False,False
32003000523,32,003,000523,5.23,Census Tract 5.23,0.9341415524441773,1400000US32003000523,G5020,S,934222,0,+36.1633452,-115.1107252,Census Tract 5.23; Clark County; Nevada,2417,32400.0,1065,2417,0.4406288787753413,las_vegas,-115.11072519921487,36.16334523109683,,,,,,False,False,False
32003000403,32,003,000403,4.03,Census Tract 4.03,0.6547638923937145,1400000US32003000403,G5020,S,654832,0,+36.1708341,-115.1299149,Census Tract 4.03; Clark County; Nevada,2395,23510.0,1273,2395,0.5315240083507307,las_vegas,-115.12991484483562,36.17083413251556,,,,,,False,False,False
32003001401,32,003,001401,14.01,Census Tract 14.01,1.1182762611784243,1400000US32003001401,G5020,S,1118382,0,+36.1550270,-115.1199916,Census Tract 14.01; Clark County; Nevada,3146,41709.0,935,3146,0.2972027972027972,las_vegas,-115.11999153335704,36.15502697404387,,,,,,False,False,False
32003001502,32,003,001502,15.02,Census Tract 15.02,1.351511794314204,1400000US32003001502,G5020,S,1351610,0,+36.1517154,-115.0963416,Census Tract 15.02; Clark County; Nevada,4147,46071.0,1065,4147,0.2568121533638775,las_vegas,-115.09634163311522,36.15171541052766,,,,,,False,False,False
32003000525,32,003,000525,5.25,Census Tract 5.25,0.6425749549705266,1400000US32003000525,G5020,S,642634,0,+36.1847708,-115.1116581,Census Tract 5.25; Clark County; Nevada,2754,43400.0,649,2726,0.2380777696258254,las_vegas,-115.11165810452077,36.18477077025419,,,,,,False,False,False
32003000524,32,003,000524,5.24,Census Tract 5.24,0.7183437042860352,1400000US32003000524,G5020,S,718408,0,+36.1773265,-115.1111878,Census Tract 5.24; Clark County; Nevada,2271,27073.0,788,2271,0.3469837076177895,las_vegas,-115.11118774887069,36.1773264658306,,,,,,False,False,False
32003003253,32,003,003253,32.53,Census Tract 32.53,1.8513887276060577,1400000US32003003253,G5020,S,1851774,0,+36.1705461,-115.2770259,Census Tract 32.53; Clark County; Nevada,4547,62000.0,1177,4547,0.2588519903232901,las_vegas,-115.27702582653863,36.170546117394764,,,,,,False,False,False
32003003260,32,003,003260,32.60,Census Tract 32.60,0.982410666979522,1400000US32003003260,G5020,S,982610,0,+36.1621973,-115.2684786,Census Tract 32.60; Clark County; Nevada,4100,71762.0,689,4100,0.1680487804878049,las_vegas,-115.2684785903727,36.16219733519614,,,,,,False,False,False
