GEOID,city,STATEFP,COUNTYFP,TRACTCE,NAME,NAMELSAD,ALAND,AWATER,area_km2,total_population_clean,median_household_income_clean,below_poverty_count,poverty_universe,poverty_rate,heat_source_file,notes,lst_c,air_temp_c,rh_pct,hi_c,hi_minus_lst,has_heat_data,heat_merge_status
32003002954,las_vegas,32,3,2954,29.54,Census Tract 29.54,960016,0,0.9598681955373326,4297,43242.0,1412,4274,0.3303696771174543,,,47.63033681765392,32.540011287080745,17.775461181011654,30.68612509371,-16.94421172394392,True,ok
32003004709,las_vegas,32,3,4709,47.09,Census Tract 47.09,1301127,0,1.3010518113023024,5491,51946.0,1126,5491,0.2050628300855946,,,48.71075348075352,34.04999363111408,16.763361193592534,32.08101575859078,-16.629737722162737,True,ok
32003002915,las_vegas,32,3,2915,29.15,Census Tract 29.15,2740731,0,2.7401700610115314,4315,62018.0,741,4216,0.1757590132827324,,,45.333606434717574,32.540011287080745,17.775461181011654,30.68612509371,-14.647481341007573,True,ok
32003002916,las_vegas,32,3,2916,29.16,Census Tract 29.16,2775794,0,2.775261477630473,2802,66629.0,499,2802,0.1780870806566738,,,46.128563790560506,32.540011287080745,17.775461181011654,30.68612509371,-15.442438696850505,True,ok
32003002919,las_vegas,32,3,2919,29.19,Census Tract 29.19,2645848,0,2.645347040163718,4566,63047.0,342,4454,0.0767849124382577,,,46.16793430068524,32.540011287080745,17.775461181011654,30.68612509371,-15.481809206975239,True,ok
32003002935,las_vegas,32,3,2935,29.35,Census Tract 29.35,924466,0,0.9243110080936816,2081,85580.0,251,2081,0.1206150888995675,,,47.2018959731544,32.540011287080745,17.775461181011654,30.68612509371,-16.5157708794444,True,ok
32003004500,las_vegas,32,3,4500,45.0,Census Tract 45,1351279,0,1.3511495864713146,5040,62964.0,1242,5001,0.2483503299340132,,,48.115140692640715,,,,,False,missing
32003002206,las_vegas,32,3,2206,22.06,Census Tract 22.06,1129640,0,1.1294695598428706,3587,39661.0,1251,3520,0.3553977272727273,,,47.69081680830976,33.30241402888626,17.27052660062464,31.392363162761036,-16.298453645548726,True,ok
32003005013,las_vegas,32,3,5013,50.13,Census Tract 50.13,2223835,0,2.2237662743449915,4253,65760.0,673,4196,0.1603908484270734,,,47.55249260355033,34.04999363111408,16.763361193592534,32.08101575859078,-15.471476844959547,True,ok
32003002996,las_vegas,32,3,2996,29.96,Census Tract 29.96,498955,0,0.498878878937545,3699,34064.0,1247,3699,0.337118140037848,,,47.68831262939961,33.556548276154764,17.102215073828965,31.627775852444717,-16.060536776954894,True,ok
32003002207,las_vegas,32,3,2207,22.07,Census Tract 22.07,427885,0,0.4278184055055135,3826,42639.0,1316,3826,0.3439623627809723,,,47.43020325203257,32.540011287080745,17.775461181011654,30.68612509371,-16.74407815832257,True,ok
32003004302,las_vegas,32,3,4302,43.02,Census Tract 43.02,839425,0,0.8393496498268651,3848,46014.0,1459,3848,0.3791580041580041,,,48.436970238095256,,,,,False,missing
32003002605,las_vegas,32,3,2605,26.05,Census Tract 26.05,599665,0,0.5995894849307966,407,23039.0,145,407,0.3562653562653562,,,46.61349246231159,,,,,False,missing
32003004402,las_vegas,32,3,4402,44.02,Census Tract 44.02,781110,0,0.7810303507545022,3603,39495.0,1063,3575,0.2973426573426573,,,47.89833333333335,32.588198100656385,17.971032467531902,30.765369059195162,-17.132964274138185,True,ok
32003004301,las_vegas,32,3,4301,43.01,Census Tract 43.01,368339,0,0.368305649178101,1587,37072.0,474,1587,0.2986767485822306,,,48.36596491228073,32.588198100656385,17.971032467531902,30.765369059195162,-17.60059585308557,True,ok
32003003658,las_vegas,32,3,3658,36.58,Census Tract 36.58,1423464,0,1.4232814203408823,2172,119828.0,90,2172,0.0414364640883977,,,46.92673491379315,,,,,False,missing
32003003247,las_vegas,32,3,3247,32.47,Census Tract 32.47,1447284,0,1.4469952058593112,3874,103036.0,244,3874,0.0629839958699019,,,45.16464259664482,32.66904403023068,18.768250151127596,30.8977331107037,-14.266909485941117,True,ok
32003005905,las_vegas,32,3,5905,59.05,Census Tract 59.05,3031874,0,3.034598243082956,2147,53052.0,294,2147,0.1369352585002329,,,48.59659665300549,35.76512486554599,18.172756587527832,33.963847449303145,-14.632749203702346,True,ok
32003005434,las_vegas,32,3,5434,54.34,Census Tract 54.34,5010769,0,5.010993564247343,5488,108247.0,373,5454,0.0683901723505683,,,48.70746538541024,35.11646976194532,16.48595065754089,33.093711702871204,-15.613753682539034,True,ok
32003005439,las_vegas,32,3,5439,54.39,Census Tract 54.39,1207921,0,1.2079203686747009,3963,74356.0,503,3963,0.1269240474388089,,,49.00364555848728,,,,,False,missing
32003005615,las_vegas,32,3,5615,56.15,Census Tract 56.15,3148494,654280,3.8059329387285494,1720,64808.0,229,1705,0.1343108504398827,,,47.84577235772362,34.90282570659261,18.617723319770434,33.11619034196114,-14.729582015762475,True,ok
32003001501,las_vegas,32,3,1501,15.01,Census Tract 15.01,1009466,0,1.0093804491819849,3508,26058.0,1274,3508,0.363169897377423,,,48.63655105973027,33.556548276154764,17.102215073828965,31.627775852444717,-17.008775207285556,True,ok
32003002848,las_vegas,32,3,2848,28.48,Census Tract 28.48,1064777,0,1.0646708189552143,3816,57600.0,750,3808,0.196953781512605,,,47.16643828960158,,,,,False,missing
32003000521,las_vegas,32,3,521,5.21,Census Tract 5.21,819539,0,0.8194597080988978,3289,31905.0,850,3289,0.2584372149589541,,,48.21226512226516,,,,,False,missing
32003000523,las_vegas,32,3,523,5.23,Census Tract 5.23,934222,0,0.9341415524441772,2417,32400.0,1065,2417,0.4406288787753413,,,48.71345878136204,,,,,False,missing
32003000403,las_vegas,32,3,403,4.03,Census Tract 4.03,654832,0,0.6547638923937145,2395,23510.0,1273,2395,0.5315240083507307,,,47.53645933014357,33.556548276154764,17.102215073828965,31.627775852444717,-15.908683477698855,True,ok
32003001401,las_vegas,32,3,1401,14.01,Census Tract 14.01,1118382,0,1.1182762611784245,3146,41709.0,935,3146,0.2972027972027972,,,48.410212560386505,33.556548276154764,17.102215073828965,31.627775852444717,-16.782436707941788,True,ok
32003001502,las_vegas,32,3,1502,15.02,Census Tract 15.02,1351610,0,1.351511794314204,4147,46071.0,1065,4147,0.2568121533638775,,,48.55967517401394,34.04999363111408,16.763361193592534,32.08101575859078,-16.47865941542316,True,ok
32003000525,las_vegas,32,3,525,5.25,Census Tract 5.25,642634,0,0.6425749549705266,2754,43400.0,649,2726,0.2380777696258254,,,48.33654490106549,33.556548276154764,17.102215073828965,31.627775852444717,-16.70876904862077,True,ok
32003000524,las_vegas,32,3,524,5.24,Census Tract 5.24,718408,0,0.7183437042860352,2271,27073.0,788,2271,0.3469837076177895,,,48.4023557692308,,,,,False,missing
32003003253,las_vegas,32,3,3253,32.53,Census Tract 32.53,1851774,0,1.8513887276060577,4547,62000.0,1177,4547,0.2588519903232901,,,45.0289636752137,32.540011287080745,17.775461181011654,30.68612509371,-14.342838581503702,True,ok
32003003260,las_vegas,32,3,3260,32.6,Census Tract 32.60,982610,0,0.982410666979522,4100,71762.0,689,4100,0.1680487804878049,,,45.99581300813012,,,,,False,missing
32003003261,las_vegas,32,3,3261,32.61,Census Tract 32.61,1199453,0,1.1991975077137262,2548,62246.0,344,2528,0.1360759493670886,,,45.591216856060626,,,,,False,missing
32003003104,las_vegas,32,3,3104,31.04,Census Tract 31.04,793879,0,0.7937344172717863,4304,54615.0,819,4304,0.1902881040892193,,,46.988451935081194,32.540011287080745,17.775461181011654,30.68612509371,-16.302326841371194,True,ok
32003003228,las_vegas,32,3,3228,32.28,Census Tract 32.28,1387663,0,1.3873563467401608,6703,67994.0,807,6703,0.1203938534984335,,,46.17993243243247,31.341727524908794,19.238969995708572,29.637118028827103,-16.54281440360537,True,ok
32003003249,las_vegas,32,3,3249,32.49,Census Tract 32.49,1466996,0,1.4666347956361745,3909,136042.0,308,3909,0.0787925300588385,,,44.80705689277902,,,,,False,missing
32003003251,las_vegas,32,3,3251,32.51,Census Tract 32.51,1224340,0,1.224050350919104,2389,123640.0,60,2389,0.0251151109250732,,,44.69900690846289,30.223245018115065,18.047034424237182,28.484741921582422,-16.21426498688047,True,ok
32003003241,las_vegas,32,3,3241,32.41,Census Tract 32.41,1385984,0,1.3856673026908153,4185,92500.0,372,4155,0.0895306859205776,,,45.46863564041371,30.86667512902818,19.113424466274765,29.165491630037852,-16.303144010375856,True,ok
32003003244,las_vegas,32,3,3244,32.44,Census Tract 32.44,1389151,0,1.3888495535750092,3460,87951.0,288,3449,0.0835024644824586,,,45.67573742540498,32.66904403023068,18.768250151127596,30.8977331107037,-14.778004314701281,True,ok
32003003235,las_vegas,32,3,3235,32.35,Census Tract 32.35,2220627,0,2.2201564407066727,2391,94167.0,67,2334,0.0287060839760068,,,46.157187650747744,32.66904403023068,18.768250151127596,30.8977331107037,-15.259454540044043,True,ok
32003003309,las_vegas,32,3,3309,33.09,Census Tract 33.09,3257366,0,3.256822264553127,4541,107488.0,153,4471,0.0342205323193916,,,45.821167479674834,32.66904403023068,18.768250151127596,30.8977331107037,-14.923434368971133,True,ok
32003003311,las_vegas,32,3,3311,33.11,Census Tract 33.11,1245813,0,1.2456059109107096,3009,93178.0,128,3009,0.0425390495181123,,,46.75193886097154,,,,,False,missing
32003003103,las_vegas,32,3,3103,31.03,Census Tract 31.03,758064,0,0.7579306254179315,3575,70054.0,163,3391,0.0480684163963432,,,47.296224489795954,32.540011287080745,17.775461181011654,30.68612509371,-16.610099396085953,True,ok
32003003220,las_vegas,32,3,3220,32.2,Census Tract 32.20,2992043,0,2.991429859011873,7005,58624.0,778,6943,0.1120553075039608,,,44.68633193130041,32.540011287080745,17.775461181011654,30.68612509371,-14.000206837590408,True,ok
32003003305,las_vegas,32,3,3305,33.05,Census Tract 33.05,3242390,0,3.2418018870912384,5876,79971.0,301,5876,0.0512253233492171,,,45.96984519104087,32.66904403023068,18.768250151127596,30.8977331107037,-15.072112080337167,True,ok
32003003500,las_vegas,32,3,3500,35.0,Census Tract 35,983593,0,0.9834707342823517,2503,38558.0,795,2503,0.3176188573711546,,,48.097325349301435,,,,,False,missing
32003004924,las_vegas,32,3,4924,49.24,Census Tract 49.24,1423538,0,1.4234648808539478,4233,72344.0,465,4233,0.109851169383416,,,49.02774107820808,34.04999363111408,16.763361193592534,32.08101575859078,-16.9467253196173,True,ok
32003005006,las_vegas,32,3,5006,50.06,Census Tract 50.06,1357929,0,1.3578655644519892,4145,37485.0,953,4116,0.2315354713313897,,,48.541260346124936,34.04999363111408,16.763361193592534,32.08101575859078,-16.460244587534156,True,ok
32003005010,las_vegas,32,3,5010,50.1,Census Tract 50.10,2812256,0,2.8121476125157576,4727,39033.0,1443,4727,0.3052676115929765,,,48.667479908151584,34.11268558225766,16.50840054616018,32.104452955425614,-16.56302695272597,True,ok
32003004923,las_vegas,32,3,4923,49.23,Census Tract 49.23,1038872,0,1.038842414668217,3971,57873.0,1065,3971,0.2681944094686477,,,48.3818163054696,34.04999363111408,16.763361193592534,32.08101575859078,-16.30080054687882,True,ok
32003005107,las_vegas,32,3,5107,51.07,Census Tract 51.07,1373020,0,1.3729520256596643,4807,95357.0,297,4807,0.0617848970251716,,,46.89699453551916,34.11268558225766,16.50840054616018,32.104452955425614,-14.792541580093548,True,ok
32003004921,las_vegas,32,3,4921,49.21,Census Tract 49.21,1330854,0,1.3307939724699809,5106,43315.0,1031,5013,0.2056652702972272,,,49.30581927710845,,,,,False,missing
32003005108,las_vegas,32,3,5108,51.08,Census Tract 51.08,1443103,0,1.4430458922465732,3639,54004.0,633,3639,0.1739488870568837,,,47.13778640059129,34.11268558225766,16.50840054616018,32.104452955425614,-15.033333445165674,True,ok
32003005200,las_vegas,32,3,5200,52.0,Census Tract 52,2403328,0,2.4033523859060404,4183,61063.0,524,3822,0.1371009942438514,,,49.47106622516559,35.11646976194532,16.48595065754089,33.093711702871204,-16.37735452229439,True,ok
32003005311,las_vegas,32,3,5311,53.11,Census Tract 53.11,653792,0,0.653734351191447,3369,80968.0,209,3369,0.0620362125259721,,,47.03682456140355,33.93488751839894,16.899388140890093,31.968054492595165,-15.068770068808384,True,ok
32003005312,las_vegas,32,3,5312,53.12,Census Tract 53.12,985720,0,0.9856416718119448,2722,96184.0,129,2722,0.0473916238060249,,,47.15255482456143,33.93488751839894,16.899388140890093,31.968054492595165,-15.184500331966262,True,ok
32003002974,las_vegas,32,3,2974,29.74,Census Tract 29.74,4741314,0,4.740357540537478,7432,73629.0,948,7432,0.127556512378902,,,45.72942834681044,32.73324063066096,17.15745094530203,30.816047771731157,-14.91338057507928,True,ok
32003002975,las_vegas,32,3,2975,29.75,Census Tract 29.75,4626433,0,4.625556509418039,6461,88993.0,709,6461,0.1097353350874477,,,45.84068985307624,32.73324063066096,17.15745094530203,30.816047771731157,-15.024642081345085,True,ok
32003005351,las_vegas,32,3,5351,53.51,Census Tract 53.51,1879259,0,1.8791203676183617,5415,89896.0,973,5403,0.1800851378863594,,,46.45691823899375,32.56788312386743,16.951649578173665,30.657025551711687,-15.799892687282064,True,ok
32003005350,las_vegas,32,3,5350,53.5,Census Tract 53.50,1833148,0,1.833024882328559,3723,112419.0,188,3723,0.0504969110932044,,,47.06192372881358,34.11268558225766,16.50840054616018,32.104452955425614,-14.957470773387968,True,ok
32003004925,las_vegas,32,3,4925,49.25,Census Tract 49.25,1044024,0,1.043988598945861,5642,71410.0,828,5642,0.1467564693371145,,,48.41835397316825,34.04999363111408,16.763361193592534,32.08101575859078,-16.33733821457747,True,ok
32003005607,las_vegas,32,3,5607,56.07,Census Tract 56.07,2577919,31061,2.611261250898023,4521,59419.0,1065,4521,0.2355673523556735,,,48.08658980582528,35.51097281635692,18.38407001892798,33.72419716713938,-14.362392638685897,True,ok
32003005871,las_vegas,32,3,5871,58.71,Census Tract 58.71,681163,0,0.681009784709354,1842,75313.0,101,1842,0.0548317046688382,,,46.40553597650515,31.18807166647731,17.17225113763374,29.346202007206823,-17.059333969298326,True,ok
32003003645,las_vegas,32,3,3645,36.45,Census Tract 36.45,1311957,0,1.3117600036147885,4482,80388.0,231,4482,0.0515394912985274,,,47.1861433172303,32.588198100656385,17.971032467531902,30.765369059195162,-16.420774258035134,True,ok
32003003263,las_vegas,32,3,3263,32.63,Census Tract 32.63,1483433,0,1.4830926756009626,4966,97500.0,342,4966,0.0688683044703987,,,46.05513917884485,31.549442545572344,19.880133534995316,29.88036829156433,-16.174770887280516,True,ok
32003003269,las_vegas,32,3,3269,32.69,Census Tract 32.69,1534678,0,1.5343119586711944,2643,84184.0,189,2643,0.0715096481271282,,,45.18915654520921,30.50620134878768,19.1824593293042,28.819043333904688,-16.37011321130452,True,ok
