GEOID,city,STATEFP,COUNTYFP,TRACTCE,NAME,NAMELSAD,ALAND,AWATER,area_km2,total_population_clean,median_household_income_clean,below_poverty_count,poverty_universe,poverty_rate,heat_source_file,notes,lst_c,air_temp_c,rh_pct,hi_c,hi_minus_lst,has_heat_data,heat_merge_status,analysis_ready
32003004500,las_vegas,32,3,4500,45.0,Census Tract 45,1351279,0,1.3511495864713146,5040,62964.0,1242,5001,0.2483503299340132,,,48.115140692640715,,,,,False,missing,False
32003004302,las_vegas,32,3,4302,43.02,Census Tract 43.02,839425,0,0.8393496498268651,3848,46014.0,1459,3848,0.3791580041580041,,,48.436970238095256,,,,,False,missing,False
32003002605,las_vegas,32,3,2605,26.05,Census Tract 26.05,599665,0,0.5995894849307966,407,23039.0,145,407,0.3562653562653562,,,46.61349246231159,,,,,False,missing,False
32003003658,las_vegas,32,3,3658,36.58,Census Tract 36.58,1423464,0,1.4232814203408823,2172,119828.0,90,2172,0.0414364640883977,,,46.92673491379315,,,,,False,missing,False
32003005439,las_vegas,32,3,5439,54.39,Census Tract 54.39,1207921,0,1.2079203686747009,3963,74356.0,503,3963,0.1269240474388089,,,49.00364555848728,,,,,False,missing,False
32003002848,las_vegas,32,3,2848,28.48,Census Tract 28.48,1064777,0,1.0646708189552143,3816,57600.0,750,3808,0.196953781512605,,,47.16643828960158,,,,,False,missing,False
32003000521,las_vegas,32,3,521,5.21,Census Tract 5.21,819539,0,0.8194597080988978,3289,31905.0,850,3289,0.2584372149589541,,,48.21226512226516,,,,,False,missing,False
32003000523,las_vegas,32,3,523,5.23,Census Tract 5.23,934222,0,0.9341415524441772,2417,32400.0,1065,2417,0.4406288787753413,,,48.71345878136204,,,,,False,missing,False
32003000524,las_vegas,32,3,524,5.24,Census Tract 5.24,718408,0,0.7183437042860352,2271,27073.0,788,2271,0.3469837076177895,,,48.4023557692308,,,,,False,missing,False
32003003260,las_vegas,32,3,3260,32.6,Census Tract 32.60,982610,0,0.982410666979522,4100,71762.0,689,4100,0.1680487804878049,,,45.99581300813012,,,,,False,missing,False
32003003261,las_vegas,32,3,3261,32.61,Census Tract 32.61,1199453,0,1.1991975077137262,2548,62246.0,344,2528,0.1360759493670886,,,45.591216856060626,,,,,False,missing,False
32003003249,las_vegas,32,3,3249,32.49,Census Tract 32.49,1466996,0,1.4666347956361745,3909,136042.0,308,3909,0.0787925300588385,,,44.80705689277902,,,,,False,missing,False
32003003311,las_vegas,32,3,3311,33.11,Census Tract 33.11,1245813,0,1.2456059109107096,3009,93178.0,128,3009,0.0425390495181123,,,46.75193886097154,,,,,False,missing,False
32003003500,las_vegas,32,3,3500,35.0,Census Tract 35,983593,0,0.9834707342823517,2503,38558.0,795,2503,0.3176188573711546,,,48.097325349301435,,,,,False,missing,False
32003004921,las_vegas,32,3,4921,49.21,Census Tract 49.21,1330854,0,1.3307939724699809,5106,43315.0,1031,5013,0.2056652702972272,,,49.30581927710845,,,,,False,missing,False
32003003659,las_vegas,32,3,3659,36.59,Census Tract 36.59,1955102,0,1.9548813126692737,3151,97720.0,123,3151,0.0390352269120914,,,48.484751950947626,,,,,False,missing,False
32003002833,las_vegas,32,3,2833,28.33,Census Tract 28.33,1374421,0,1.374269711389501,5185,95949.0,492,5185,0.0948891031822565,,,46.889375461936474,,,,,False,missing,False
32003002835,las_vegas,32,3,2835,28.35,Census Tract 28.35,609941,0,0.6098712072939689,2398,75938.0,128,2398,0.0533778148457047,,,46.68025043177896,,,,,False,missing,False
32003002950,las_vegas,32,3,2950,29.5,Census Tract 29.50,1083500,0,1.0832803489593332,4968,59675.0,1062,4953,0.2144155057540884,,,45.81080040526853,,,,,False,missing,False
32003003004,las_vegas,32,3,3004,30.04,Census Tract 30.04,657631,0,0.6575081389529556,1652,41410.0,286,1652,0.1731234866828087,,,46.56067521367525,,,,,False,missing,False
32003003006,las_vegas,32,3,3006,30.06,Census Tract 30.06,1367368,0,1.3671081845696562,3279,80152.0,341,3272,0.1042176039119804,,,46.81798994974877,,,,,False,missing,False
32003003102,las_vegas,32,3,3102,31.02,Census Tract 31.02,1433428,0,1.4331722915361425,5905,50960.0,1032,5905,0.1747671464860287,,,47.349877394636046,,,,,False,missing,False
32003003211,las_vegas,32,3,3211,32.11,Census Tract 32.11,2563978,0,2.563407917983755,2960,51667.0,328,2960,0.1108108108108108,,,44.976009861932965,,,,,False,missing,False
32003004707,las_vegas,32,3,4707,47.07,Census Tract 47.07,1359063,0,1.3589629365797016,3184,44784.0,951,3176,0.2994332493702771,,,48.80781710914457,,,,,False,missing,False
32003002966,las_vegas,32,3,2966,29.66,Census Tract 29.66,610055,0,0.6099563884889039,5464,49298.0,1399,5464,0.2560395314787701,,,47.21975589225591,,,,,False,missing,False
32003005353,las_vegas,32,3,5353,53.53,Census Tract 53.53,1510488,0,1.5104430949120566,5389,85025.0,205,5389,0.0380404527741696,,,46.947393617021305,,,,,False,missing,False
32003004715,las_vegas,32,3,4715,47.15,Census Tract 47.15,1436300,0,1.4361948720358069,6108,56451.0,1771,6077,0.2914266908013823,,,47.501482300884994,,,,,False,missing,False
32003000103,las_vegas,32,3,103,1.03,Census Tract 1.03,1298899,0,1.2986673988219442,6700,70966.0,647,6599,0.0980451583573268,,,47.842495682210746,,,,,False,missing,False
