STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,city,city_name,NAME_acs,population,poverty_universe,poverty_below,poverty_rate,acs_year,state,county,tract,tract_area_km2
12,086,007101,12086007101,1400000US12086007101,71.01,Census Tract 71.01,G5020,S,610328,0,+25.7319460,-080.2491168,miami,Miami,,,,,,,,,,0.6099251661387507
12,086,001401,12086001401,1400000US12086001401,14.01,Census Tract 14.01,G5020,S,1227177,0,+25.8418481,-080.2016338,miami,Miami,,,,,,,,,,1.2263910028499387
12,086,001402,12086001402,1400000US12086001402,14.02,Census Tract 14.02,G5020,S,1182337,11685,+25.8470344,-080.1915947,miami,Miami,,,,,,,,,,1.193263173405461
12,086,001501,12086001501,1400000US12086001501,15.01,Census Tract 15.01,G5020,S,683702,0,+25.8355472,-080.2209272,miami,Miami,,,,,,,,,,0.6832545590398662
12,086,002710,12086002710,1400000US12086002710,27.10,Census Tract 27.10,G5020,S,346234,1407017,+25.7906114,-080.1755611,miami,Miami,,,,,,,,,,1.7521449025595093
12,086,002709,12086002709,1400000US12086002709,27.09,Census Tract 27.09,G5020,S,172701,191144,+25.7937050,-080.1860897,miami,Miami,,,,,,,,,,0.36361377902076486
12,086,001901,12086001901,1400000US12086001901,19.01,Census Tract 19.01,G5020,S,1300095,0,+25.8340918,-080.2114174,miami,Miami,,,,,,,,,,1.2992556412452698
12,086,001904,12086001904,1400000US12086001904,19.04,Census Tract 19.04,G5020,S,1109145,0,+25.8242285,-080.2142349,miami,Miami,,,,,,,,,,1.108427561773213
12,086,002001,12086002001,1400000US12086002001,20.01,Census Tract 20.01,G5020,S,1066693,778,+25.8358948,-080.1958796,miami,Miami,,,,,,,,,,1.066790416026567
12,086,002003,12086002003,1400000US12086002003,20.03,Census Tract 20.03,G5020,S,826695,0,+25.8287094,-080.2013325,miami,Miami,,,,,,,,,,0.8261665489681999
12,086,002004,12086002004,1400000US12086002004,20.04,Census Tract 20.04,G5020,S,712538,0,+25.8291675,-080.1919629,miami,Miami,,,,,,,,,,0.7120868121866883
