STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,city,city_name,NAME_acs,population,poverty_universe,poverty_below,poverty_rate,acs_year,state,county,tract,tract_area_km2
36,081,003400,36081003400,1400000US36081003400,34,Census Tract 34,G5020,S,213987,0,+40.6847731,-073.8581871,new_york,New York,,,,,,,,,,0.2138636856641926
36,081,003900,36081003900,1400000US36081003900,39,Census Tract 39,G5020,S,146970,0,+40.7627994,-073.9409316,new_york,New York,,,,,,,,,,0.14688193849804543
36,081,003600,36081003600,1400000US36081003600,36,Census Tract 36,G5020,S,180006,0,+40.6837714,-073.8568176,new_york,New York,,,,,,,,,,0.17990381407979736
36,081,003700,36081003700,1400000US36081003700,37,Census Tract 37,G5020,S,386629,14591,+40.7624148,-073.9434494,new_york,New York,,,,,,,,,,0.4009791453338439
36,081,003800,36081003800,1400000US36081003800,38,Census Tract 38,G5020,S,176214,0,+40.6847999,-073.8474941,new_york,New York,,,,,,,,,,0.17611453778503913
36,081,004001,36081004001,1400000US36081004001,40.01,Census Tract 40.01,G5020,S,174292,0,+40.6832481,-073.8458743,new_york,New York,,,,,,,,,,0.17419182263698388
36,081,004200,36081004200,1400000US36081004200,42,Census Tract 42,G5020,S,200287,0,+40.6818145,-073.8579641,new_york,New York,,,,,,,,,,0.20017096060995387
36,081,004300,36081004300,1400000US36081004300,43,Census Tract 43,G5020,S,170813,0,+40.7609451,-073.9375143,new_york,New York,,,,,,,,,,0.17070969957260299
36,081,077907,36081077907,1400000US36081077907,779.07,Census Tract 779.07,G5020,S,216834,0,+40.7249623,-073.8184802,new_york,New York,,,,,,,,,,0.21671320375553219
36,081,024000,36081024000,1400000US36081024000,240,Census Tract 240,G5020,S,269563,0,+40.7032775,-073.8050793,new_york,New York,,,,,,,,,,0.2694158840544588
36,081,024300,36081024300,1400000US36081024300,243,Census Tract 243,G5020,S,540128,0,+40.7366667,-073.9020404,new_york,New York,,,,,,,,,,0.5398103254515463
36,081,077908,36081077908,1400000US36081077908,779.08,Census Tract 779.08,G5020,S,200497,0,+40.7256168,-073.8136929,new_york,New York,,,,,,,,,,0.2003846695143753
36,081,024500,36081024500,1400000US36081024500,245,Census Tract 245,G5020,S,257660,0,+40.7393540,-073.9050486,new_york,New York,,,,,,,,,,0.2575093939328549
36,081,024900,36081024900,1400000US36081024900,249,Census Tract 249,G5020,S,204083,0,+40.7431151,-073.9042554,new_york,New York,,,,,,,,,,0.2039650863076329
36,081,025100,36081025100,1400000US36081025100,251,Census Tract 251,G5020,S,245619,0,+40.7448223,-073.9096562,new_york,New York,,,,,,,,,,0.24547258552500786
36,081,025500,36081025500,1400000US36081025500,255,Census Tract 255,G5020,S,218248,0,+40.7504263,-073.9079200,new_york,New York,,,,,,,,,,0.21811586361096552
36,081,025700,36081025700,1400000US36081025700,257,Census Tract 257,G5020,S,150587,0,+40.7501044,-073.9051748,new_york,New York,,,,,,,,,,0.1504974915575805
36,081,097204,36081097204,1400000US36081097204,972.04,Census Tract 972.04,G5020,S,391826,0,+40.5939070,-073.7811283,new_york,New York,,,,,,,,,,0.3916175126020866
36,081,100801,36081100801,1400000US36081100801,1008.01,Census Tract 1008.01,G5020,S,644973,361333,+40.6113410,-073.7661007,new_york,New York,,,,,,,,,,1.0057697939929844
36,081,102900,36081102900,1400000US36081102900,1029,Census Tract 1029,G5020,S,490509,0,+40.7838708,-073.8073649,new_york,New York,,,,,,,,,,0.49023824553506506
36,047,021100,36047021100,1400000US36047021100,211,Census Tract 211,G5020,S,271830,0,+40.6970856,-073.9719259,new_york,New York,,,,,,,,,,0.27166368872899227
36,081,025800,36081025800,1400000US36081025800,258,Census Tract 258,G5020,S,211843,0,+40.6960420,-073.7872795,new_york,New York,,,,,,,,,,0.21172819471973067
36,081,026000,36081026000,1400000US36081026000,260,Census Tract 260,G5020,S,178376,0,+40.6927524,-073.7933078,new_york,New York,,,,,,,,,,0.1782786361145542
36,081,026200,36081026200,1400000US36081026200,262,Census Tract 262,G5020,S,143393,0,+40.6910079,-073.7920924,new_york,New York,,,,,,,,,,0.1433156022500968
36,081,026300,36081026300,1400000US36081026300,263,Census Tract 263,G5020,S,207862,0,+40.7457619,-073.8970294,new_york,New York,,,,,,,,,,0.20773918379745535
36,081,026600,36081026600,1400000US36081026600,266,Census Tract 266,G5020,S,172998,0,+40.6918812,-073.7816949,new_york,New York,,,,,,,,,,0.17290303340778634
36,047,048500,36047048500,1400000US36047048500,485,Census Tract 485,G5020,S,581535,0,+40.7078399,-073.9363455,new_york,New York,,,,,,,,,,0.5811859799727109
36,081,107202,36081107202,1400000US36081107202,1072.02,Census Tract 1072.02,G5020,S,6705170,17182460,+40.6252538,-073.8137646,new_york,New York,,,,,,,,,,23.874459724829283
36,081,103201,36081103201,1400000US36081103201,1032.01,Census Tract 1032.01,G5020,S,399541,28173,+40.6089555,-073.7554305,new_york,New York,,,,,,,,,,0.4274881915642718
36,081,103202,36081103202,1400000US36081103202,1032.02,Census Tract 1032.02,G5020,S,716368,0,+40.6066697,-073.7475132,new_york,New York,,,,,,,,,,0.7159918932938587
36,081,103900,36081103900,1400000US36081103900,1039,Census Tract 1039,G5020,S,869052,0,+40.7840546,-073.8190352,new_york,New York,,,,,,,,,,0.8685665376545859
36,081,104700,36081104700,1400000US36081104700,1047,Census Tract 1047,G5020,S,841802,0,+40.7748158,-073.8203709,new_york,New York,,,,,,,,,,0.8413350533504445
36,081,105900,36081105900,1400000US36081105900,1059,Census Tract 1059,G5020,S,649580,0,+40.7737697,-073.8070648,new_york,New York,,,,,,,,,,0.6492220035588697
36,081,027000,36081027000,1400000US36081027000,270,Census Tract 270,G5020,S,185072,0,+40.6886843,-073.7913978,new_york,New York,,,,,,,,,,0.18497090192760318
36,081,027200,36081027200,1400000US36081027200,272,Census Tract 272,G5020,S,153668,0,+40.6835771,-073.7913200,new_york,New York,,,,,,,,,,0.1535836186769522
