ALAND,AWATER,COUNTYFP,FUNCSTAT,GEOID,GEOIDFQ,INTPTLAT,INTPTLON,MTFCC,NAME,NAMELSAD,STATEFP,TRACTCE,centroid_in_city,city,city_context,city_label,hi_c,intersects_city,lst_c,state_fips,state_name,analysis_ready,lst_pct,hi_pct,hi_minus_lst_pct,lst_hot,hi_hot,mismatch_class,priority_flag,q75_lst_c,q75_hi_c,q75_hi_minus_lst_pct
246264,0,075,S,06075020602,1400000US06075020602,+37.7578121,-122.4306825,G5020,206.02,Census Tract 206.02,06,020602,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,16.363990885969546,True,28.38164772727277,06,California,True,0.5531914893617021,0.5877659574468085,0.034574468085106336,False,True,HI-only hotspot,True,29.713333333333367,16.363990885969546,0.16888297872340421
127658592,8932931,041,S,06041131100,1400000US06041131100,+37.9207111,-122.5974613,G5020,1311,Census Tract 1311,06,131100,False,san_francisco,Coastal / compact / bay-influenced,San Francisco,15.497950415092708,True,23.4952925983691,06,California,True,0.06382978723404255,0.005319148936170213,-0.058510638297872335,False,False,Neither hotspot,False,29.713333333333367,16.363990885969546,0.16888297872340421
0,655490076,041,S,06041990100,1400000US06041990100,+37.9956135,-123.0361398,G5020,9901,Census Tract 9901,06,990100,False,san_francisco,Coastal / compact / bay-influenced,San Francisco,16.44582005338145,True,25.657783408312838,06,California,True,0.14361702127659576,0.9787234042553191,0.8351063829787233,False,True,HI-only hotspot,True,29.713333333333367,16.363990885969546,0.16888297872340421
403597,0,081,S,06081600402,1400000US06081600402,+37.7051376,-122.4529104,G5020,6004.02,Census Tract 6004.02,06,600402,False,san_francisco,Coastal / compact / bay-influenced,San Francisco,15.636442977794673,True,28.606264614650463,06,California,True,0.6117021276595744,0.09840425531914894,-0.5132978723404255,False,False,Neither hotspot,False,29.713333333333367,16.363990885969546,0.16888297872340421
519966,0,081,S,06081600401,1400000US06081600401,+37.7054527,-122.4443647,G5020,6004.01,Census Tract 6004.01,06,600401,False,san_francisco,Coastal / compact / bay-influenced,San Francisco,15.636442977794673,True,27.73745492903725,06,California,True,0.3829787234042553,0.09840425531914894,-0.2845744680851064,False,False,Neither hotspot,False,29.713333333333367,16.363990885969546,0.16888297872340421
294894,0,075,S,06075017102,1400000US06075017102,+37.7654353,-122.4504754,G5020,171.02,Census Tract 171.02,06,017102,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,16.363990885969546,True,26.69611111111116,06,California,True,0.22872340425531915,0.5877659574468085,0.35904255319148937,False,True,HI-only hotspot,True,29.713333333333367,16.363990885969546,0.16888297872340421
92653,0,075,S,06075012302,1400000US06075012302,+37.7870222,-122.4120970,G5020,123.02,Census Tract 123.02,06,012302,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,16.363990885969546,True,29.77448275862074,06,California,True,0.776595744680851,0.5877659574468085,-0.18882978723404253,True,True,Both LST and HI hotspot,False,29.713333333333367,16.363990885969546,0.16888297872340421
226534,0,075,S,06075016801,1400000US06075016801,+37.7713309,-122.4290133,G5020,168.01,Census Tract 168.01,06,016801,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,16.363990885969546,True,28.535000000000025,06,California,True,0.5851063829787234,0.5877659574468085,0.0026595744680850686,False,True,HI-only hotspot,True,29.713333333333367,16.363990885969546,0.16888297872340421
93053,0,075,S,06075011902,1400000US06075011902,+37.7909959,-122.4098067,G5020,119.02,Census Tract 119.02,06,011902,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,16.363990885969546,True,29.80666666666673,06,California,True,0.7978723404255319,0.5877659574468085,-0.21010638297872342,True,True,Both LST and HI hotspot,False,29.713333333333367,16.363990885969546,0.16888297872340421
94685,0,075,S,06075012202,1400000US06075012202,+37.7854270,-122.4196803,G5020,122.02,Census Tract 122.02,06,012202,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,16.363990885969546,True,29.713333333333367,06,California,True,0.7526595744680851,0.5877659574468085,-0.16489361702127658,True,True,Both LST and HI hotspot,False,29.713333333333367,16.363990885969546,0.16888297872340421
170458,0,075,S,06075012601,1400000US06075012601,+37.8022683,-122.4391509,G5020,126.01,Census Tract 126.01,06,012601,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,16.363990885969546,True,23.43169590643277,06,California,True,0.05851063829787234,0.5877659574468085,0.5292553191489362,False,True,HI-only hotspot,True,29.713333333333367,16.363990885969546,0.16888297872340421
609462,537823,075,S,06075012602,1400000US06075012602,+37.8062885,-122.4348613,G5020,126.02,Census Tract 126.02,06,012602,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,16.363990885969546,True,23.568279569892496,06,California,True,0.07446808510638298,0.5877659574468085,0.5132978723404256,False,True,HI-only hotspot,True,29.713333333333367,16.363990885969546,0.16888297872340421
352884,0,075,S,06075012902,1400000US06075012902,+37.8006183,-122.4321105,G5020,129.02,Census Tract 129.02,06,012902,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,16.363990885969546,True,25.752701149425317,06,California,True,0.14893617021276595,0.5877659574468085,0.43882978723404253,False,True,HI-only hotspot,True,29.713333333333367,16.363990885969546,0.16888297872340421
173031,0,075,S,06075013101,1400000US06075013101,+37.7937795,-122.4247496,G5020,131.01,Census Tract 131.01,06,013101,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,16.363990885969546,True,28.336461988304123,06,California,True,0.526595744680851,0.5877659574468085,0.061170212765957466,False,True,HI-only hotspot,True,29.713333333333367,16.363990885969546,0.16888297872340421
237884,0,075,S,06075013102,1400000US06075013102,+37.7926200,-122.4274313,G5020,131.02,Census Tract 131.02,06,013102,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,16.363990885969546,True,28.580151515151545,06,California,True,0.5957446808510638,0.5877659574468085,-0.007978723404255317,False,True,HI-only hotspot,True,29.713333333333367,16.363990885969546,0.16888297872340421
343934,0,075,S,06075015801,1400000US06075015801,+37.7813045,-122.4373585,G5020,158.01,Census Tract 158.01,06,015801,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,16.363990885969546,True,28.3133639143731,06,California,True,0.5212765957446809,0.5877659574468085,0.0664893617021276,False,True,HI-only hotspot,True,29.713333333333367,16.363990885969546,0.16888297872340421
522957,0,081,S,06081600701,1400000US06081600701,+37.7063622,-122.4625596,G5020,6007.01,Census Tract 6007.01,06,600701,False,san_francisco,Coastal / compact / bay-influenced,San Francisco,15.636442977794673,True,27.67475869809206,06,California,True,0.3617021276595745,0.09840425531914894,-0.26329787234042556,False,False,Neither hotspot,False,29.713333333333367,16.363990885969546,0.16888297872340421
215267,0,075,S,06075016802,1400000US06075016802,+37.7735446,-122.4249292,G5020,168.02,Census Tract 168.02,06,016802,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,16.363990885969546,True,29.090761904761926,06,California,True,0.6861702127659575,0.5877659574468085,-0.09840425531914898,False,True,HI-only hotspot,True,29.713333333333367,16.363990885969546,0.16888297872340421
313368,0,075,S,06075017101,1400000US06075017101,+37.7657245,-122.4460838,G5020,171.01,Census Tract 171.01,06,017101,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,16.363990885969546,True,27.297491749174956,06,California,True,0.31382978723404253,0.5877659574468085,0.27393617021276595,False,True,HI-only hotspot,True,29.713333333333367,16.363990885969546,0.16888297872340421
214051,0,075,S,06075017801,1400000US06075017801,+37.7820284,-122.4011589,G5020,178.01,Census Tract 178.01,06,017801,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,16.363990885969546,True,30.313357487922705,06,California,True,0.8563829787234043,0.5877659574468085,-0.2686170212765958,True,True,Both LST and HI hotspot,False,29.713333333333367,16.363990885969546,0.16888297872340421
544609,0,075,S,06075022704,1400000US06075022704,+37.7609519,-122.4019893,G5020,227.04,Census Tract 227.04,06,022704,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,16.363990885969546,True,32.26051851851856,06,California,True,0.9893617021276596,0.5877659574468085,-0.40159574468085113,True,True,Both LST and HI hotspot,False,29.713333333333367,16.363990885969546,0.16888297872340421
612500,0,075,S,06075025701,1400000US06075025701,+37.7315824,-122.4119407,G5020,257.01,Census Tract 257.01,06,025701,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,,True,29.28453936348412,06,California,False,,,,False,False,Missing,False,29.713333333333367,16.363990885969546,0.16888297872340421
533458,0,075,S,06075025702,1400000US06075025702,+37.7281305,-122.4057589,G5020,257.02,Census Tract 257.02,06,025702,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,,True,28.714224806201596,06,California,False,,,,False,False,Missing,False,29.713333333333367,16.363990885969546,0.16888297872340421
512854,0,075,S,06075031201,1400000US06075031201,+37.7217838,-122.4573318,G5020,312.01,Census Tract 312.01,06,031201,True,san_francisco,Coastal / compact / bay-influenced,San Francisco,15.636442977794673,True,28.126306460834783,06,California,True,0.4521276595744681,0.09840425531914894,-0.3537234042553192,False,False,Neither hotspot,False,29.713333333333367,16.363990885969546,0.16888297872340421
