STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,centroid_in_city,intersects_city,city,city_label,state_fips,state_name,city_context
06,075,020602,06075020602,1400000US06075020602,206.02,Census Tract 206.02,G5020,S,246264,0,+37.7578121,-122.4306825,True,True,san_francisco,San Francisco,06,California,Coastal / compact / bay-influenced
06,041,131100,06041131100,1400000US06041131100,1311,Census Tract 1311,G5020,S,127658592,8932931,+37.9207111,-122.5974613,False,True,san_francisco,San Francisco,06,California,Coastal / compact / bay-influenced
06,041,990100,06041990100,1400000US06041990100,9901,Census Tract 9901,G5020,S,0,655490076,+37.9956135,-123.0361398,False,True,san_francisco,San Francisco,06,California,Coastal / compact / bay-influenced
06,081,600402,06081600402,1400000US06081600402,6004.02,Census Tract 6004.02,G5020,S,403597,0,+37.7051376,-122.4529104,False,True,san_francisco,San Francisco,06,California,Coastal / compact / bay-influenced
06,081,600401,06081600401,1400000US06081600401,6004.01,Census Tract 6004.01,G5020,S,519966,0,+37.7054527,-122.4443647,False,True,san_francisco,San Francisco,06,California,Coastal / compact / bay-influenced
06,075,017102,06075017102,1400000US06075017102,171.02,Census Tract 171.02,G5020,S,294894,0,+37.7654353,-122.4504754,True,True,san_francisco,San Francisco,06,California,Coastal / compact / bay-influenced
06,075,012302,06075012302,1400000US06075012302,123.02,Census Tract 123.02,G5020,S,92653,0,+37.7870222,-122.4120970,True,True,san_francisco,San Francisco,06,California,Coastal / compact / bay-influenced
06,075,016801,06075016801,1400000US06075016801,168.01,Census Tract 168.01,G5020,S,226534,0,+37.7713309,-122.4290133,True,True,san_francisco,San Francisco,06,California,Coastal / compact / bay-influenced
06,075,011902,06075011902,1400000US06075011902,119.02,Census Tract 119.02,G5020,S,93053,0,+37.7909959,-122.4098067,True,True,san_francisco,San Francisco,06,California,Coastal / compact / bay-influenced
06,075,012202,06075012202,1400000US06075012202,122.02,Census Tract 122.02,G5020,S,94685,0,+37.7854270,-122.4196803,True,True,san_francisco,San Francisco,06,California,Coastal / compact / bay-influenced
06,075,012601,06075012601,1400000US06075012601,126.01,Census Tract 126.01,G5020,S,170458,0,+37.8022683,-122.4391509,True,True,san_francisco,San Francisco,06,California,Coastal / compact / bay-influenced
06,075,012602,06075012602,1400000US06075012602,126.02,Census Tract 126.02,G5020,S,609462,537823,+37.8062885,-122.4348613,True,True,san_francisco,San Francisco,06,California,Coastal / compact / bay-influenced
06,075,012902,06075012902,1400000US06075012902,129.02,Census Tract 129.02,G5020,S,352884,0,+37.8006183,-122.4321105,True,True,san_francisco,San Francisco,06,California,Coastal / compact / bay-influenced
06,075,013101,06075013101,1400000US06075013101,131.01,Census Tract 131.01,G5020,S,173031,0,+37.7937795,-122.4247496,True,True,san_francisco,San Francisco,06,California,Coastal / compact / bay-influenced
06,075,013102,06075013102,1400000US06075013102,131.02,Census Tract 131.02,G5020,S,237884,0,+37.7926200,-122.4274313,True,True,san_francisco,San Francisco,06,California,Coastal / compact / bay-influenced
06,075,015801,06075015801,1400000US06075015801,158.01,Census Tract 158.01,G5020,S,343934,0,+37.7813045,-122.4373585,True,True,san_francisco,San Francisco,06,California,Coastal / compact / bay-influenced
06,081,600701,06081600701,1400000US06081600701,6007.01,Census Tract 6007.01,G5020,S,522957,0,+37.7063622,-122.4625596,False,True,san_francisco,San Francisco,06,California,Coastal / compact / bay-influenced
06,075,016802,06075016802,1400000US06075016802,168.02,Census Tract 168.02,G5020,S,215267,0,+37.7735446,-122.4249292,True,True,san_francisco,San Francisco,06,California,Coastal / compact / bay-influenced
06,075,017101,06075017101,1400000US06075017101,171.01,Census Tract 171.01,G5020,S,313368,0,+37.7657245,-122.4460838,True,True,san_francisco,San Francisco,06,California,Coastal / compact / bay-influenced
06,075,017801,06075017801,1400000US06075017801,178.01,Census Tract 178.01,G5020,S,214051,0,+37.7820284,-122.4011589,True,True,san_francisco,San Francisco,06,California,Coastal / compact / bay-influenced
06,075,022704,06075022704,1400000US06075022704,227.04,Census Tract 227.04,G5020,S,544609,0,+37.7609519,-122.4019893,True,True,san_francisco,San Francisco,06,California,Coastal / compact / bay-influenced
