ALAND,AWATER,COUNTYFP,FUNCSTAT,GEOID,GEOIDFQ,INTPTLAT,INTPTLON,MTFCC,NAME,NAMELSAD,STATEFP,TRACTCE,centroid_in_city,city,city_context,city_label,hi_c,intersects_city,lst_c,state_fips,state_name,analysis_ready,lst_pct,hi_pct,hi_minus_lst_pct,lst_hot,hi_hot,mismatch_class,priority_flag,q75_lst_c,q75_hi_c,q75_hi_minus_lst_pct
73030,0,033,S,53033005304,1400000US53033005304,+47.6561001,-122.3150258,G5020,53.04,Census Tract 53.04,53,005304,True,seattle,Coastal / Pacific Northwest / water-constrained,Seattle,18.604142996193676,True,30.230916666666705,53,Washington,True,0.824468085106383,0.1622340425531915,-0.6622340425531915,True,False,LST-only hotspot,False,29.788480731225317,19.2244379817576,0.3603723404255319
806786,157022,033,S,53033005901,1400000US53033005901,+47.6530716,-122.3696366,G5020,59.01,Census Tract 59.01,53,005901,True,seattle,Coastal / Pacific Northwest / water-constrained,Seattle,18.844775426560606,True,27.34556145004424,53,Washington,True,0.2978723404255319,0.44148936170212766,0.14361702127659576,False,False,Neither hotspot,False,29.788480731225317,19.2244379817576,0.3603723404255319
755186,621334,033,S,53033005401,1400000US53033005401,+47.6475292,-122.3381077,G5020,54.01,Census Tract 54.01,53,005401,True,seattle,Coastal / Pacific Northwest / water-constrained,Seattle,18.838124601750206,True,29.479171578258047,53,Washington,True,0.6808510638297872,0.3670212765957447,-0.31382978723404253,False,False,Neither hotspot,False,29.788480731225317,19.2244379817576,0.3603723404255319
1623225,2170065,033,S,53033010102,1400000US53033010102,+47.5660585,-122.2688521,G5020,101.02,Census Tract 101.02,53,010102,True,seattle,Coastal / Pacific Northwest / water-constrained,Seattle,19.201777543178064,True,29.064091954023016,53,Washington,True,0.5797872340425532,0.5691489361702128,-0.010638297872340385,False,False,Neither hotspot,False,29.788480731225317,19.2244379817576,0.3603723404255319
2355577,55191,033,S,53033000602,1400000US53033000602,+47.7188129,-122.3363779,G5020,6.02,Census Tract 6.02,53,000602,True,seattle,Coastal / Pacific Northwest / water-constrained,Seattle,18.604142996193676,True,28.119363295880174,53,Washington,True,0.35638297872340424,0.1622340425531915,-0.19414893617021275,False,False,Neither hotspot,False,29.788480731225317,19.2244379817576,0.3603723404255319
197152,0,033,S,53033008003,1400000US53033008003,+47.6161316,-122.3495916,G5020,80.03,Census Tract 80.03,53,008003,True,seattle,Coastal / Pacific Northwest / water-constrained,Seattle,19.2244379817576,True,27.123041666666694,53,Washington,True,0.2925531914893617,0.776595744680851,0.4840425531914893,False,True,HI-only hotspot,True,29.788480731225317,19.2244379817576,0.3603723404255319
1689910,2027249,033,S,53033004102,1400000US53033004102,+47.6737465,-122.2517500,G5020,41.02,Census Tract 41.02,53,004102,True,seattle,Coastal / Pacific Northwest / water-constrained,Seattle,18.508207799178617,True,28.873019457509223,53,Washington,True,0.5,0.02127659574468085,-0.4787234042553192,False,False,Neither hotspot,False,29.788480731225317,19.2244379817576,0.3603723404255319
632167,0,033,S,53033010302,1400000US53033010302,+47.5573770,-122.2858807,G5020,103.02,Census Tract 103.02,53,010302,True,seattle,Coastal / Pacific Northwest / water-constrained,Seattle,19.2244379817576,True,31.752376811594218,53,Washington,True,0.9574468085106383,0.776595744680851,-0.18085106382978733,True,True,Both LST and HI hotspot,False,29.788480731225317,19.2244379817576,0.3603723404255319
358281,0,033,S,53033007001,1400000US53033007001,+47.6278767,-122.3603612,G5020,70.01,Census Tract 70.01,53,007001,True,seattle,Coastal / Pacific Northwest / water-constrained,Seattle,,True,27.58965721040191,53,Washington,False,,,,False,False,Missing,False,29.788480731225317,19.2244379817576,0.3603723404255319
674139,0,033,S,53033003601,1400000US53033003601,+47.6749093,-122.3260430,G5020,36.01,Census Tract 36.01,53,003601,True,seattle,Coastal / Pacific Northwest / water-constrained,Seattle,18.604142996193676,True,28.78241735537193,53,Washington,True,0.4787234042553192,0.1622340425531915,-0.3164893617021277,False,False,Neither hotspot,False,29.788480731225317,19.2244379817576,0.3603723404255319
