STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,centroid_in_city,intersects_city,city,city_label,state_fips,state_name,city_context
53,033,005304,53033005304,1400000US53033005304,53.04,Census Tract 53.04,G5020,S,73030,0,+47.6561001,-122.3150258,True,True,seattle,Seattle,53,Washington,Coastal / Pacific Northwest / water-constrained
53,033,005901,53033005901,1400000US53033005901,59.01,Census Tract 59.01,G5020,S,806786,157022,+47.6530716,-122.3696366,True,True,seattle,Seattle,53,Washington,Coastal / Pacific Northwest / water-constrained
53,033,005401,53033005401,1400000US53033005401,54.01,Census Tract 54.01,G5020,S,755186,621334,+47.6475292,-122.3381077,True,True,seattle,Seattle,53,Washington,Coastal / Pacific Northwest / water-constrained
53,033,010102,53033010102,1400000US53033010102,101.02,Census Tract 101.02,G5020,S,1623225,2170065,+47.5660585,-122.2688521,True,True,seattle,Seattle,53,Washington,Coastal / Pacific Northwest / water-constrained
53,033,000602,53033000602,1400000US53033000602,6.02,Census Tract 6.02,G5020,S,2355577,55191,+47.7188129,-122.3363779,True,True,seattle,Seattle,53,Washington,Coastal / Pacific Northwest / water-constrained
53,033,008003,53033008003,1400000US53033008003,80.03,Census Tract 80.03,G5020,S,197152,0,+47.6161316,-122.3495916,True,True,seattle,Seattle,53,Washington,Coastal / Pacific Northwest / water-constrained
53,033,004102,53033004102,1400000US53033004102,41.02,Census Tract 41.02,G5020,S,1689910,2027249,+47.6737465,-122.2517500,True,True,seattle,Seattle,53,Washington,Coastal / Pacific Northwest / water-constrained
53,033,010302,53033010302,1400000US53033010302,103.02,Census Tract 103.02,G5020,S,632167,0,+47.5573770,-122.2858807,True,True,seattle,Seattle,53,Washington,Coastal / Pacific Northwest / water-constrained
53,033,007001,53033007001,1400000US53033007001,70.01,Census Tract 70.01,G5020,S,358281,0,+47.6278767,-122.3603612,True,True,seattle,Seattle,53,Washington,Coastal / Pacific Northwest / water-constrained
53,033,003601,53033003601,1400000US53033003601,36.01,Census Tract 36.01,G5020,S,674139,0,+47.6749093,-122.3260430,True,True,seattle,Seattle,53,Washington,Coastal / Pacific Northwest / water-constrained
53,033,010101,53033010101,1400000US53033010101,101.01,Census Tract 101.01,G5020,S,871622,0,+47.5657253,-122.2906975,True,True,seattle,Seattle,53,Washington,Coastal / Pacific Northwest / water-constrained
53,033,004703,53033004703,1400000US53033004703,47.03,Census Tract 47.03,G5020,S,1211535,121121,+47.6643472,-122.3721352,True,True,seattle,Seattle,53,Washington,Coastal / Pacific Northwest / water-constrained
53,033,009802,53033009802,1400000US53033009802,98.02,Census Tract 98.02,G5020,S,922319,0,+47.5672342,-122.3830567,True,True,seattle,Seattle,53,Washington,Coastal / Pacific Northwest / water-constrained
53,033,005303,53033005303,1400000US53033005303,53.03,Census Tract 53.03,G5020,S,2432848,749176,+47.6540399,-122.3012544,True,True,seattle,Seattle,53,Washington,Coastal / Pacific Northwest / water-constrained
53,033,007301,53033007301,1400000US53033007301,73.01,Census Tract 73.01,G5020,S,250787,0,+47.6219263,-122.3308665,True,True,seattle,Seattle,53,Washington,Coastal / Pacific Northwest / water-constrained
53,033,008401,53033008401,1400000US53033008401,84.01,Census Tract 84.01,G5020,S,250921,0,+47.6123725,-122.3226009,True,True,seattle,Seattle,53,Washington,Coastal / Pacific Northwest / water-constrained
53,033,011802,53033011802,1400000US53033011802,118.02,Census Tract 118.02,G5020,S,1139612,1037832,+47.5187835,-122.2586613,True,True,seattle,Seattle,53,Washington,Coastal / Pacific Northwest / water-constrained
53,033,007002,53033007002,1400000US53033007002,70.02,Census Tract 70.02,G5020,S,441021,0,+47.6285230,-122.3541023,True,True,seattle,Seattle,53,Washington,Coastal / Pacific Northwest / water-constrained
53,033,000601,53033000601,1400000US53033000601,6.01,Census Tract 6.01,G5020,S,1431268,0,+47.7167031,-122.3232436,True,True,seattle,Seattle,53,Washington,Coastal / Pacific Northwest / water-constrained
