City,Percentile,LST_threshold_C,HI_threshold_C,LST_only_hotspot_km2,HI_only_hotspot_km2,Overlap_hotspot_km2,Union_hotspot_km2,Jaccard_Index
Phoenix,80,51.47,32.42,252.5,258.42,14.98,525.9,0.03
Miami,80,38.07,31.66,0.14,72.35,18.87,91.36,0.21
Las Vegas,80,48.53,29.58,36.13,4.26,33.65,74.05,0.45
Houston,80,38.21,32.16,221.29,297.18,132.01,650.47,0.2
Phoenix,85,51.78,32.42,197.36,271.73,1.66,470.76,0.0
Miami,85,38.28,31.66,0.08,76.56,14.66,91.3,0.16
Las Vegas,85,48.91,29.58,25.3,7.79,30.12,63.22,0.48
Houston,85,38.47,32.17,161.97,234.63,97.65,494.25,0.2
Phoenix,90,52.65,32.48,131.31,172.76,0.0,304.07,0.0
Miami,90,38.46,31.66,0.08,82.17,9.06,91.3,0.1
Las Vegas,90,49.23,29.87,11.94,13.04,24.88,49.85,0.5
Houston,90,38.72,32.17,155.45,151.09,18.31,324.84,0.06
