city,score,path,rows,crs,n_cols,heat_related_cols,all_columns_preview
houston,334,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/houston/houston_master_lst_hi_hotcompare.gpkg,654.0,EPSG:32615,38,"high_poverty_flag, lst_summer_mean_c, lst_summer_median_c, lst_hotspot_top20, lst_hotspot_top10, lst_hotspot_cut_top20_c, hi_summer_mean_c, hi_summer_median_c, lst_anomaly, hi_anomaly, lst_anom_class, hi_anom_class, lst_hotspot20, hi_hotspot20, hotspot_mismatch","STATEFP, COUNTYFP, TRACTCE, GEOID, NAME, NAMELSAD, ALAND, AWATER, area_km2, city, total_population, median_household_income, total_population_clean, median_household_income_clean, poverty_universe, below_poverty_count, poverty_universe_clean, below_poverty_count_clean, poverty_rate, low_income_flag, high_poverty_flag, inequity_group, lst_summer_mean_c, lst_summer_median_c, poverty_cut_city_median, lst_hotspot_top20, lst_hotspot_top10, lst_hotspot_cut_top20_c, hi_summer_mean_c, hi_summer_median_c, lst_anomaly, hi_anomaly, lst_anom_class, hi_anom_class, lst_hotspot20, hi_hotspot20, hotspot_mismatch, geometry"
houston,214,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/houston/houston_master_with_lst_hi.gpkg,654.0,EPSG:32615,35,"high_poverty_flag, lst_summer_mean_c, lst_summer_median_c, lst_hotspot_top20, lst_hotspot_top10, lst_hotspot_cut_top20_c, hi_summer_mean_c, hi_summer_median_c, lst_anomaly, hi_anomaly, lst_anom_class, hi_anom_class","STATEFP, COUNTYFP, TRACTCE, GEOID, NAME, NAMELSAD, ALAND, AWATER, area_km2, city, total_population, median_household_income, total_population_clean, median_household_income_clean, poverty_universe, below_poverty_count, poverty_universe_clean, below_poverty_count_clean, poverty_rate, low_income_flag, high_poverty_flag, inequity_group, lst_summer_mean_c, lst_summer_median_c, poverty_cut_city_median, lst_hotspot_top20, lst_hotspot_top10, lst_hotspot_cut_top20_c, hi_summer_mean_c, hi_summer_median_c, lst_anomaly, hi_anomaly, lst_anom_class, hi_anom_class, geometry"
houston,179,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/houston/houston_master_with_lst_hotspot.gpkg,654.0,EPSG:32615,29,"high_poverty_flag, lst_summer_mean_c, lst_summer_median_c, lst_hotspot_top20, lst_hotspot_top10, lst_hotspot_cut_top20_c","STATEFP, COUNTYFP, TRACTCE, GEOID, NAME, NAMELSAD, ALAND, AWATER, area_km2, city, total_population, median_household_income, total_population_clean, median_household_income_clean, poverty_universe, below_poverty_count, poverty_universe_clean, below_poverty_count_clean, poverty_rate, low_income_flag, high_poverty_flag, inequity_group, lst_summer_mean_c, lst_summer_median_c, poverty_cut_city_median, lst_hotspot_top20, lst_hotspot_top10, lst_hotspot_cut_top20_c, geometry"
houston,174,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/houston/houston_master_with_lst_hi_fixed.gpkg,654.0,EPSG:32615,25,"high_poverty_flag, lst_c, hi_c","STATEFP, COUNTYFP, TRACTCE, GEOID, NAME, NAMELSAD, ALAND, AWATER, area_km2, city, total_population, median_household_income, total_population_clean, median_household_income_clean, poverty_universe, below_poverty_count, poverty_universe_clean, below_poverty_count_clean, poverty_rate, low_income_flag, high_poverty_flag, inequity_group, lst_c, hi_c, geometry"
houston,118,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/houston/houston_master_gistar.gpkg,654.0,EPSG:32615,33,"high_poverty_flag, lst_summer_mean_c, lst_summer_median_c, lst_hotspot_top20, lst_hotspot_top10, lst_hotspot_cut_top20_c","STATEFP, COUNTYFP, TRACTCE, GEOID, NAME, NAMELSAD, ALAND, AWATER, area_km2, city, total_population, median_household_income, total_population_clean, median_household_income_clean, poverty_universe, below_poverty_count, poverty_universe_clean, below_poverty_count_clean, poverty_rate, low_income_flag, high_poverty_flag, inequity_group, lst_summer_mean_c, lst_summer_median_c, poverty_cut_city_median, lst_hotspot_top20, lst_hotspot_top10, lst_hotspot_cut_top20_c, gi_z, gi_p, gi_sig, gi_cluster, geometry"
houston,118,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/houston/houston_rq1_compare.gpkg,654.0,EPSG:32615,30,"high_poverty_flag, lst_c, hi_c, lst_hotspot, hi_hotspot","STATEFP, COUNTYFP, TRACTCE, GEOID, NAME, NAMELSAD, ALAND, AWATER, area_km2, city, total_population, median_household_income, total_population_clean, median_household_income_clean, poverty_universe, below_poverty_count, poverty_universe_clean, below_poverty_count_clean, poverty_rate, low_income_flag, high_poverty_flag, inequity_group, lst_c, hi_c, population, has_both, lst_hotspot, hi_hotspot, compare_group, geometry"
houston,118,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/rq1_threshold_stability_houston.gpkg,654.0,EPSG:3857,40,"lst_c, hi_c, lst_only_count, hi_only_count, lst_hot_10, hi_hot_10, lst_only_10, hi_only_10, lst_hot_15, hi_hot_15, lst_only_15, hi_only_15, lst_hot_20, hi_hot_20, lst_only_20, hi_only_20, lst_hot_25, hi_hot_25, lst_only_25, hi_only_25","GEOID, lst_c, hi_c, total_population, city, valid_pair, lst_only_count, hi_only_count, overlap_count, lst_hot_10, hi_hot_10, lst_only_10, hi_only_10, overlap_10, lst_hot_15, hi_hot_15, lst_only_15, hi_only_15, overlap_15, lst_hot_20, hi_hot_20, lst_only_20, hi_only_20, overlap_20, lst_hot_25, hi_hot_25, lst_only_25, hi_only_25, overlap_25, lst_hot_30, hi_hot_30, lst_only_30, hi_only_30, overlap_30, any_hotspot_count, max_count, stability_share, n_max_types, dominant_stability, geometry"
houston,106,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/houston/houston_master_with_lst.gpkg,654.0,EPSG:32615,25,"high_poverty_flag, lst_summer_mean_c, lst_summer_median_c","STATEFP, COUNTYFP, TRACTCE, GEOID, NAME, NAMELSAD, ALAND, AWATER, area_km2, city, total_population, median_household_income, total_population_clean, median_household_income_clean, poverty_universe, below_poverty_count, poverty_universe_clean, below_poverty_count_clean, poverty_rate, low_income_flag, high_poverty_flag, inequity_group, lst_summer_mean_c, lst_summer_median_c, geometry"
phoenix,334,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_master_lst_hi_hotcompare.gpkg,373.0,EPSG:32612,38,"high_poverty_flag, lst_summer_mean_c, lst_summer_median_c, lst_hotspot_top20, lst_hotspot_top10, lst_hotspot_cut_top20_c, hi_summer_mean_c, hi_summer_median_c, lst_anomaly, hi_anomaly, lst_anom_class, hi_anom_class, lst_hotspot20, hi_hotspot20, hotspot_mismatch","STATEFP, COUNTYFP, TRACTCE, GEOID, NAME, NAMELSAD, ALAND, AWATER, area_km2, city, total_population, median_household_income, total_population_clean, median_household_income_clean, poverty_universe, below_poverty_count, poverty_universe_clean, below_poverty_count_clean, poverty_rate, low_income_flag, high_poverty_flag, inequity_group, lst_summer_mean_c, lst_summer_median_c, poverty_cut_city_median, lst_hotspot_top20, lst_hotspot_top10, lst_hotspot_cut_top20_c, hi_summer_mean_c, hi_summer_median_c, lst_anomaly, hi_anomaly, lst_anom_class, hi_anom_class, lst_hotspot20, hi_hotspot20, hotspot_mismatch, geometry"
phoenix,214,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_master_with_lst_hi.gpkg,373.0,EPSG:32612,35,"high_poverty_flag, lst_summer_mean_c, lst_summer_median_c, lst_hotspot_top20, lst_hotspot_top10, lst_hotspot_cut_top20_c, hi_summer_mean_c, hi_summer_median_c, lst_anomaly, hi_anomaly, lst_anom_class, hi_anom_class","STATEFP, COUNTYFP, TRACTCE, GEOID, NAME, NAMELSAD, ALAND, AWATER, area_km2, city, total_population, median_household_income, total_population_clean, median_household_income_clean, poverty_universe, below_poverty_count, poverty_universe_clean, below_poverty_count_clean, poverty_rate, low_income_flag, high_poverty_flag, inequity_group, lst_summer_mean_c, lst_summer_median_c, poverty_cut_city_median, lst_hotspot_top20, lst_hotspot_top10, lst_hotspot_cut_top20_c, hi_summer_mean_c, hi_summer_median_c, lst_anomaly, hi_anomaly, lst_anom_class, hi_anom_class, geometry"
phoenix,179,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_master_with_lst_hotspot.gpkg,373.0,EPSG:32612,29,"high_poverty_flag, lst_summer_mean_c, lst_summer_median_c, lst_hotspot_top20, lst_hotspot_top10, lst_hotspot_cut_top20_c","STATEFP, COUNTYFP, TRACTCE, GEOID, NAME, NAMELSAD, ALAND, AWATER, area_km2, city, total_population, median_household_income, total_population_clean, median_household_income_clean, poverty_universe, below_poverty_count, poverty_universe_clean, below_poverty_count_clean, poverty_rate, low_income_flag, high_poverty_flag, inequity_group, lst_summer_mean_c, lst_summer_median_c, poverty_cut_city_median, lst_hotspot_top20, lst_hotspot_top10, lst_hotspot_cut_top20_c, geometry"
phoenix,174,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_master_with_lst_hi_fixed.gpkg,373.0,EPSG:32612,25,"high_poverty_flag, lst_c, hi_c","STATEFP, COUNTYFP, TRACTCE, GEOID, NAME, NAMELSAD, ALAND, AWATER, area_km2, city, total_population, median_household_income, total_population_clean, median_household_income_clean, poverty_universe, below_poverty_count, poverty_universe_clean, below_poverty_count_clean, poverty_rate, low_income_flag, high_poverty_flag, inequity_group, lst_c, hi_c, geometry"
phoenix,118,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_rq1_compare.gpkg,373.0,EPSG:32612,30,"high_poverty_flag, lst_c, hi_c, lst_hotspot, hi_hotspot","STATEFP, COUNTYFP, TRACTCE, GEOID, NAME, NAMELSAD, ALAND, AWATER, area_km2, city, total_population, median_household_income, total_population_clean, median_household_income_clean, poverty_universe, below_poverty_count, poverty_universe_clean, below_poverty_count_clean, poverty_rate, low_income_flag, high_poverty_flag, inequity_group, lst_c, hi_c, population, has_both, lst_hotspot, hi_hotspot, compare_group, geometry"
phoenix,118,/Users/yufeizhou/Desktop/heat-exposure-compare/data_processed/phoenix/phoenix_master_gistar.gpkg,373.0,EPSG:32612,33,"high_poverty_flag, lst_summer_mean_c, lst_summer_median_c, lst_hotspot_top20, lst_hotspot_top10, lst_hotspot_cut_top20_c","STATEFP, COUNTYFP, TRACTCE, GEOID, NAME, NAMELSAD, ALAND, AWATER, area_km2, city, total_population, median_household_income, total_population_clean, median_household_income_clean, poverty_universe, below_poverty_count, poverty_universe_clean, below_poverty_count_clean, poverty_rate, low_income_flag, high_poverty_flag, inequity_group, lst_summer_mean_c, lst_summer_median_c, poverty_cut_city_median, lst_hotspot_top20, lst_hotspot_top10, lst_hotspot_cut_top20_c, gi_z, gi_p, gi_sig, gi_cluster, geometry"
