ALAND,AWATER,COUNTYFP,FUNCSTAT,GEOID,GEOIDFQ,INTPTLAT,INTPTLON,MTFCC,NAME,NAMELSAD,STATEFP,TRACTCE,centroid_in_city,city,city_context,city_label,hi_c,intersects_city,lst_c,state_fips,state_name,analysis_ready,lst_pct,hi_pct,hi_minus_lst_pct,lst_hot,hi_hot,mismatch_class,priority_flag,q75_lst_c,q75_hi_c,q75_hi_minus_lst_pct,_ae_rowid,city_slug,alphaearth_year,alphaearth_collection,source_vector_path,source_vector_layer,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63
1929137,0,121,S,13121006601,1400000US13121006601,+33.7115643,-084.4223706,G5020,66.01,Census Tract 66.01,13,006601,True,atlanta,Inland / humid / sprawling Sun Belt,Atlanta,25.57905931610986,True,31.54398615156628,13,Georgia,True,0.2062780269058296,0.6928251121076233,0.4865470852017937,False,True,HI-only hotspot,True,34.39689905366018,25.57905931610986,0.2959641255605381,0,atlanta,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/atlanta/atlanta_master_lst_hi_hotcompare.gpkg,atlanta_master_lst_hi_hotcompare,-0.0659247681717377,-0.25100938175553467,-0.009122248459879117,0.13978644144057353,0.01756918714740329,-0.11180790626720896,-0.043402860844331884,-0.11712966816512096,-0.016160549829480727,-0.13384336455298904,0.05089623195639145,-0.07186240548001477,-0.2666359856443946,-0.1575373889648406,-0.08780291464351547,0.035230627225443775,-0.0526812085000421,0.12228627801277622,-0.060127363835425114,0.019065600148290396,-0.008998670161565045,0.06707272877209966,-0.12127172334013431,0.012829727932225202,-0.07607262980221875,0.22053111458783217,-0.06315262737849771,-0.01205107839597912,0.024108903416242094,0.050858807650733646,-0.007979566858279104,-0.03772373228647216,-0.09462471255996835,0.006623762368097155,0.004051433656457589,-0.14486788795895533,-0.19806944878948646,-0.16207287559191474,0.011613459454777023,-0.015881542038310225,-0.13259975596294715,0.006460556063993581,0.17134235474385193,0.03752139712820923,0.1406409914701271,0.12983675955619892,0.004113130910418409,-0.02766115776060339,0.23608862942299752,-0.14140002853585754,-0.09431492671550211,0.056838829281164696,-0.179312987183255,0.1538583742084733,0.1863051336744175,-0.08470348811838867,0.015045824060075198,0.11026918201833753,0.11030402963747406,-0.053363878748705386,0.026754094715613564,-0.14761868556634258,-0.10758147722268974,-0.021049214368081506
2687770,22678,063,S,13063040309,1400000US13063040309,+33.6436520,-084.3489428,G5020,403.09,Census Tract 403.09,13,040309,False,atlanta,Inland / humid / sprawling Sun Belt,Atlanta,25.653163101635094,True,32.586348195329116,13,Georgia,True,0.4080717488789238,0.8385650224215246,0.43049327354260086,False,True,HI-only hotspot,True,34.39689905366018,25.57905931610986,0.2959641255605381,1,atlanta,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/atlanta/atlanta_master_lst_hi_hotcompare.gpkg,atlanta_master_lst_hi_hotcompare,-0.059502784576291955,-0.19597584955658348,-0.01499674354987091,0.16973274050032677,0.03580776183771421,-0.055844110067131456,-0.030349477842433158,-0.09034539236126286,0.010484199042004073,-0.1176022607107609,0.03182731457469964,-0.07112926727871233,-0.2897890559920406,-0.10587557402689429,-0.0692375337409791,0.029898402991297254,-0.05331315440825161,0.0995533268346187,-0.035157514953726036,0.018880135840963173,-0.0019169811660536369,0.04915222594634042,-0.10057369134282693,0.012588304075469105,-0.05206523364488928,0.24230307382836636,-0.11461702144882868,-0.06284219608862553,0.04153064377719411,0.07787277572385314,-0.013076838575929377,-0.021655619509663892,-0.0845453490392329,0.012703032309618122,-0.0747373964034924,-0.1322583878138788,-0.19675888077898418,-0.14893583673759675,-0.008066825633390564,0.007819859255896415,-0.13551571414751046,0.04557811924347696,0.18148249641737324,0.03870510700765492,0.11346525686098928,0.15615813485165422,-0.0024507416350450966,-0.018200237654937102,0.22909446427333857,-0.15925602207231213,-0.11161791349686338,0.043446075890343785,-0.14587135946845395,0.183131076264249,0.1823810468029305,-0.060604308329984334,-0.0021605855188368316,0.13694744088047267,0.11913712096045821,-0.06895208238271974,0.03725823071480445,-0.16970304207836023,-0.08083694363465944,-0.03183106462197967
2401566,0,089,S,13089021405,1400000US13089021405,+33.8571530,-084.3293305,G5020,214.05,Census Tract 214.05,13,021405,False,atlanta,Inland / humid / sprawling Sun Belt,Atlanta,25.41871111496636,True,33.32399467376836,13,Georgia,True,0.5515695067264574,0.008968609865470852,-0.5426008968609866,False,False,Neither hotspot,False,34.39689905366018,25.57905931610986,0.2959641255605381,2,atlanta,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/atlanta/atlanta_master_lst_hi_hotcompare.gpkg,atlanta_master_lst_hi_hotcompare,-0.014781408747335606,-0.23321439684565404,-0.01869797037067698,0.1509310102652771,0.031133507728939722,-0.11961569201059237,-0.04215170031644126,-0.09297071157583403,0.035884636811921125,-0.15608855498086863,0.0820845938419861,-0.05984512610019991,-0.28469623644018793,-0.13557064916622513,-0.06338934336422244,0.07708558657264471,-0.048525274575208034,0.13413305932145755,-0.03840958881552476,0.026120991559103125,0.007729945357053772,0.07757483674337358,-0.09856633833992712,0.04729161715506979,-0.05377078254827344,0.22950960716452376,-0.06639355619748324,-0.034115785374761926,0.05309420443248599,0.02970390052029567,-0.012578198398894687,-0.013900238056026708,-0.14020202542732896,0.04490806660751572,0.05206329766061443,-0.164950870963558,-0.20066777612812267,-0.13400092644655054,0.00931956294299859,-0.04339894204889433,-0.1871685738039985,-0.010093299557472941,0.18665482915354817,0.05026583840879906,0.12711229196178464,0.13757221806834788,-0.0018366725578068954,-0.010838131286478191,0.2337368532629253,-0.1492597601122622,-0.09354155000513883,-0.0036894914244837733,-0.19313942947320906,0.16182567618645144,0.19721161965020237,-0.09825468233129853,0.047447144194412684,0.11726567520140842,0.089495427172264,-0.03193115011501577,0.03982988322605667,-0.1329663349215178,-0.07892233680554024,-0.0419546796601215
3623718,4234,089,S,13089021502,1400000US13089021502,+33.8172846,-084.3411507,G5020,215.02,Census Tract 215.02,13,021502,False,atlanta,Inland / humid / sprawling Sun Belt,Atlanta,25.448720951356844,True,33.80959045904592,13,Georgia,True,0.6457399103139013,0.0515695067264574,-0.5941704035874439,False,False,Neither hotspot,False,34.39689905366018,25.57905931610986,0.2959641255605381,3,atlanta,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/atlanta/atlanta_master_lst_hi_hotcompare.gpkg,atlanta_master_lst_hi_hotcompare,-0.03326185530441859,-0.22262395642225277,-0.054166283049967415,0.1643392687388061,0.05073511970105245,-0.12336459207600631,-0.0313768520069385,-0.055147717147456754,0.021647916212331156,-0.14248379808866632,0.06649102644737746,-0.07363386184181167,-0.28711458652189653,-0.108170578054974,-0.06892025319669023,0.06363078606059076,-0.05122952753697093,0.11724417864065378,-0.04557575840501154,0.019644825887427594,0.0183241122912473,0.03209872489644438,-0.09856720921046137,0.031276770553780905,-0.039437164514123685,0.216285501838967,-0.08130475298993275,-0.029805927093712548,0.017824269966294666,0.03148480250006507,-0.01979732173173099,0.00068307697565441,-0.12080075800075905,0.04653781327518034,0.01803282318957683,-0.14977264360559803,-0.21045959539337344,-0.1425069066616742,0.021184859644715223,-0.009125958584131677,-0.1530781482629685,0.0018790632138380755,0.19549843936709965,0.0403825193719616,0.1084651163599322,0.13857330925478478,-0.0018808160766234335,-0.012107408519199548,0.21220483579765845,-0.15713879472728254,-0.09951480274912688,0.03445677760853469,-0.16933388621440565,0.17062276785986405,0.20278226686556647,-0.06424995689529912,0.03176738112921993,0.15575685318574042,0.08452745779951878,-0.036041557441704584,0.04099524430801365,-0.1578894349767258,-0.061909233083725694,-0.024715795934558946
2661858,1934,089,S,13089022401,1400000US13089022401,+33.7884482,-084.3430661,G5020,224.01,Census Tract 224.01,13,022401,False,atlanta,Inland / humid / sprawling Sun Belt,Atlanta,25.448720951356844,True,32.72956812652072,13,Georgia,True,0.4439461883408072,0.0515695067264574,-0.3923766816143498,False,False,Neither hotspot,False,34.39689905366018,25.57905931610986,0.2959641255605381,4,atlanta,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/atlanta/atlanta_master_lst_hi_hotcompare.gpkg,atlanta_master_lst_hi_hotcompare,-0.034330992460694224,-0.17349997406584275,-0.05895228468623364,0.19435624694276737,0.043201182914546304,-0.12641927049518967,-0.008462540474342889,-0.0207582873455993,0.07262530921273602,-0.1645394312419063,0.08325817367022342,-0.08466273333385907,-0.3006973351018101,-0.1095510155451617,-0.05017388832772281,0.10863492386277866,-0.07092534503625836,0.10853319637420458,-0.04757067967996267,0.029432305246146373,0.00424947990406726,0.056433431045915465,-0.08499114460215679,0.05869773261658454,-0.0026197473815055745,0.21579443011961483,-0.1026837539325765,-0.05975566682558756,0.03690588371189004,0.035595662380526714,-0.04112252091933341,0.027527854668249224,-0.15501985285745795,0.06612454441324563,0.051233458725710286,-0.1547086907239947,-0.2059843506692399,-0.1805057521567987,-0.0009851906749712618,-0.0647903200204201,-0.14841181982077392,0.007365413674401588,0.226523257882322,0.042325689693095865,0.09528608624544872,0.13192131994991457,0.014031276889725908,-0.0373191528846618,0.22442335139084554,-0.15568840712071277,-0.1271212424004537,-0.009202828160812181,-0.15917603956951412,0.18693490824570907,0.1937722168508099,-0.056328753283623495,0.0528786345497979,0.1412002927743384,0.06372573774638791,-0.016803172144351366,0.02380251081545593,-0.15606512135383918,-0.046997500458455715,-0.03346669256646089
4863954,8932,089,S,13089022403,1400000US13089022403,+33.7761539,-084.3212938,G5020,224.03,Census Tract 224.03,13,022403,False,atlanta,Inland / humid / sprawling Sun Belt,Atlanta,25.448720951356844,True,32.08750785105431,13,Georgia,True,0.3273542600896861,0.0515695067264574,-0.2757847533632287,False,False,Neither hotspot,False,34.39689905366018,25.57905931610986,0.2959641255605381,5,atlanta,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/atlanta/atlanta_master_lst_hi_hotcompare.gpkg,atlanta_master_lst_hi_hotcompare,-0.043633250966736835,-0.13918758856250016,-0.0650433302874461,0.18372649412723618,0.03045235706806757,-0.11656929565879434,0.019337183965572362,0.006275687743847264,0.09338823813546966,-0.1662773901593812,0.082549777550489,-0.0898651514991603,-0.28375692576060146,-0.09023848322207798,-0.03933278118243397,0.13289716785391065,-0.07660649822728713,0.09548988917151065,-0.029792819861920092,0.02236406473701217,0.01812584567215789,0.06435057805257467,-0.08561041520014577,0.06454187659236829,0.009940045173689007,0.17682835184824358,-0.09856444190786574,-0.08677753713923811,0.027241819522818476,0.048046300721267414,-0.04427833295233204,0.03636433940229641,-0.17395729325679068,0.06714931484706771,0.026082536385142262,-0.13938028225894547,-0.215242848398203,-0.19164816710105023,-0.008670652380186121,-0.08344131819990919,-0.13715885150096,0.020654256066744724,0.21339430528026085,0.028443765055140676,0.08177101962003896,0.12622308974536173,0.024671073336460483,-0.04845621336970293,0.20868700965798148,-0.15818421689790632,-0.14872192789234442,-0.021788781143668435,-0.14674218169687617,0.18215998613903717,0.17825263220657034,-0.027395651068676544,0.032172827056116085,0.15169566117341965,0.0676942322331004,-0.013317154461129474,0.0007681790657949254,-0.16034867996181038,-0.023508165134272136,-0.03514905900472998
2256924,0,089,S,13089022700,1400000US13089022700,+33.7604613,-084.3039347,G5020,227,Census Tract 227,13,022700,False,atlanta,Inland / humid / sprawling Sun Belt,Atlanta,25.448720951356844,True,33.105968120018765,13,Georgia,True,0.5022421524663677,0.0515695067264574,-0.45067264573991034,False,False,Neither hotspot,False,34.39689905366018,25.57905931610986,0.2959641255605381,6,atlanta,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/atlanta/atlanta_master_lst_hi_hotcompare.gpkg,atlanta_master_lst_hi_hotcompare,-0.025052698311111943,-0.22424956690676326,-0.021470732575254513,0.15314751830759316,0.034961627576809866,-0.10058172307389592,-0.022535765709949612,-0.102989765704114,0.048176594299820415,-0.14781137689527798,0.11216069185568589,-0.09236617911706892,-0.2839341840401901,-0.1622110258610074,-0.07864513680526801,0.0833649472460275,-0.05421503747992785,0.09871248335458127,-0.06340716793149262,0.040677450954851965,-0.010060055258971455,0.08981579422758248,-0.12240137165634724,0.02896291001723299,-0.03322673413671422,0.24594110665462515,-0.05376715709702029,-0.036224514647672436,0.03660781277612636,0.041283827135412635,-0.03469406878738847,-0.04851902196844484,-0.18145907436095324,0.03268199533783763,0.04764998329017131,-0.17749022421215843,-0.19511597730942487,-0.169328934723789,-0.010212858768075575,-0.06135241260814052,-0.1518248974563885,0.002956611924573368,0.2121491324396747,0.03597232011819029,0.1358717323538231,0.15286163935949562,0.019218366454267492,-0.04418451439679762,0.23255890241208116,-0.12859622681492638,-0.1187790400227475,-0.007595543784446953,-0.1751076146062819,0.17940530418650646,0.19846095151653473,-0.08846666885669315,0.0624218117067917,0.11223652369004491,0.09281478392552446,-0.034175301264409416,0.04773696398169287,-0.11405983415775292,-0.09323962009890152,-0.03194348383266774
722972,0,121,S,13121001400,1400000US13121001400,+33.7770784,-084.3622634,G5020,14,Census Tract 14,13,001400,True,atlanta,Inland / humid / sprawling Sun Belt,Atlanta,25.556279934316485,True,35.10347345132746,13,Georgia,True,0.8116591928251121,0.4170403587443946,-0.3946188340807175,True,False,LST-only hotspot,False,34.39689905366018,25.57905931610986,0.2959641255605381,7,atlanta,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/atlanta/atlanta_master_lst_hi_hotcompare.gpkg,atlanta_master_lst_hi_hotcompare,-0.002363902359284902,-0.2702325669895642,0.008105021877660172,0.10108611444275002,0.031059050805501674,-0.12546336229706678,-0.03681882996106831,-0.12619936320127376,-0.009384632981309156,-0.12815978941124925,0.11005631628122155,-0.062076901412681865,-0.25849588345956737,-0.1689528184250019,-0.10181855975122137,0.05312775119383786,-0.029886203227805063,0.13394482721310538,-0.05105852725074358,0.01734283029513527,0.012749973323704833,0.06575813134306278,-0.1263986398490248,0.012769740587099501,-0.0532374753419494,0.2343649415548165,-0.04884759561616558,0.005265116756589703,0.023912555150489304,0.02246128917675491,-0.015167726199615815,-0.06090534729188615,-0.13010219051371227,0.010711439494743154,0.07445037593220093,-0.19565002396594536,-0.19932272618144745,-0.12623387736707087,-0.0010164114894260206,-0.03351948540792263,-0.17769138124659714,-0.02852118897672426,0.17928224798227607,0.022561667877461285,0.13687278773213546,0.14913926631285326,-0.0061784301600541465,-0.003024112415022507,0.23855672301745298,-0.09083943688884208,-0.08101652936937723,0.013314943735697434,-0.20874036610272892,0.1441892785052843,0.20301726737665254,-0.1042198052568609,0.06942699495689122,0.11284741865931351,0.10260585402214469,-0.01789276670487066,0.05808435239453684,-0.11659474625665542,-0.1261872963769791,-0.03346545503550596
920488,2683,121,S,13121001600,1400000US13121001600,+33.7664857,-084.3569997,G5020,16,Census Tract 16,13,001600,True,atlanta,Inland / humid / sprawling Sun Belt,Atlanta,25.534461919979474,True,35.37274021352315,13,Georgia,True,0.8565022421524664,0.24663677130044842,-0.6098654708520179,True,False,LST-only hotspot,False,34.39689905366018,25.57905931610986,0.2959641255605381,8,atlanta,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/atlanta/atlanta_master_lst_hi_hotcompare.gpkg,atlanta_master_lst_hi_hotcompare,-0.038087274746325374,-0.24062042504795872,-0.026553652406215145,0.15088513133751263,0.05083586822781342,-0.1396676421404801,-0.016158167444535614,-0.08217381095507242,-0.01007778414703921,-0.12741836945335977,0.07224686517022086,-0.08387906098719179,-0.2717377615706877,-0.16081724039218545,-0.10090221391677814,0.058998296538519374,-0.04462272203233025,0.1179808524990787,-0.06741708242549072,0.03024363897741385,0.010220026428315177,0.036162883334083365,-0.12224093847396958,0.012402056780617118,-0.023643465483589567,0.22085301612944472,-0.06789524840853933,-0.023271960673488048,0.016784694659798746,0.03892324415674956,-0.05720057349573181,-0.033557132369541005,-0.13516934504537303,0.021069070182365562,0.051064766847587865,-0.17694512040996827,-0.19806139264960243,-0.1844009795438441,-0.010740931864053062,-0.030585973962234007,-0.13637377467791498,0.011125506714874354,0.18894752186027122,0.01716975427483538,0.11285891722741029,0.15472111172759603,0.0002813615064735245,-0.01787045760962244,0.2172914676313034,-0.11371020739741827,-0.10273093697021235,0.04399000795146433,-0.1770952720625815,0.16333713166114838,0.19508653193957318,-0.07113019157799472,0.061146532800652735,0.13865840291687845,0.08811271842750817,-0.012598988310057237,0.03716703927288258,-0.1511676307288447,-0.11470764108461497,-0.024749072235993024
393883,0,121,S,13121003600,1400000US13121003600,+33.7518731,-084.4029233,G5020,36,Census Tract 36,13,003600,True,atlanta,Inland / humid / sprawling Sun Belt,Atlanta,25.559057907705924,True,35.21826558265584,13,Georgia,True,0.8295964125560538,0.5560538116591929,-0.2735426008968609,True,False,LST-only hotspot,False,34.39689905366018,25.57905931610986,0.2959641255605381,9,atlanta,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/atlanta/atlanta_master_lst_hi_hotcompare.gpkg,atlanta_master_lst_hi_hotcompare,0.012060460450140724,-0.335935617327212,0.031199841515612142,0.0655884281470616,0.07747721390031384,-0.1012475114155362,-0.036304503853220996,-0.1457931297387625,-0.08674076545301433,-0.08071249384854516,0.018895590233861153,-0.059502083161150535,-0.2086380671698148,-0.21061755307481975,-0.1382282891754349,-0.0930550271055351,0.023896449971558716,0.15941384793544508,-0.08770193534532918,-0.010460152248086092,-0.02231950086548959,-0.014621913859537362,-0.15582478761750873,-0.05112483913732666,-0.07773465394780575,0.24570809015051284,-0.000433564439447115,0.032226515118820305,0.012206584624728165,0.0540289975915769,0.026929117586040077,-0.09965036146793009,-0.01890044672307315,-0.0634535233622096,0.049669638911776816,-0.13695515571593264,-0.18782257004340688,-0.15373678524767204,0.040522142086626876,0.09011427688565207,-0.10731823157499924,-0.07413558946018249,0.09881140627072978,-0.009328171683753095,0.16950293357690807,0.10377899482887963,-0.055286149155977904,0.02218515868661527,0.13202614520032963,-0.07225661609506924,-0.039690231147919065,0.10503789064570954,-0.25994916657277,0.15202361719363994,0.176900963957715,-0.13708787229278827,0.022662054194260265,0.09128987925231605,0.12269114624204899,-0.030522977810759015,0.0368507708922203,-0.10296501503472616,-0.16989187098703828,0.055405323028040514
10632486,241569,121,S,13121009802,1400000US13121009802,+33.8636555,-084.4250506,G5020,98.02,Census Tract 98.02,13,009802,True,atlanta,Inland / humid / sprawling Sun Belt,Atlanta,25.52822429321844,True,29.992335719256427,13,Georgia,True,0.03139013452914798,0.21973094170403587,0.18834080717488788,False,False,Neither hotspot,False,34.39689905366018,25.57905931610986,0.2959641255605381,10,atlanta,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/atlanta/atlanta_master_lst_hi_hotcompare.gpkg,atlanta_master_lst_hi_hotcompare,-0.0611367983253018,-0.1068164587452127,-0.05094278253180156,0.1528713334638876,0.02131172482510148,-0.15933548490364025,-0.030694569109967033,0.02302914497395184,0.09991925866897922,-0.1650198368597603,0.068825076693339,-0.07090925203759392,-0.2784062379936339,-0.07332724713802255,-0.054231554987172824,0.10789012675076497,-0.0949338893390204,0.09470137521210792,-0.08104633090494928,-0.005340109921625641,0.022078008155370258,0.04716306927252996,-0.09149904801605988,0.08890904788211333,-0.01301915723658611,0.14246904397254365,-0.1444014320359271,-0.06663998649758783,0.020176875608686192,0.04891495780372523,-0.03953173284668688,0.05531636862203614,-0.12422045899332283,0.02851668411377733,0.028761642695925765,-0.12976656921819063,-0.20823353771873054,-0.18166951613174412,0.02427133348515192,-0.1016635242409123,-0.16202335192099016,-0.01156819242311947,0.21350875930664323,0.030064342409829248,0.0761109747698996,0.12707239777524956,0.025777528621627646,-0.04455874667833017,0.23657586781271112,-0.15612051869213378,-0.13695871359161513,0.00967637521015728,-0.12478381743340164,0.1655598166077533,0.17068877126764323,0.006498479863313284,0.024234746441363458,0.15715645378990148,0.028150965980042516,-0.01755957465137688,0.007805605720350511,-0.1981915650025501,-0.018932239554115715,-0.031036522890957607
660642,0,121,S,13121006801,1400000US13121006801,+33.7102924,-084.3677884,G5020,68.01,Census Tract 68.01,13,006801,True,atlanta,Inland / humid / sprawling Sun Belt,Atlanta,25.57905931610986,True,33.38557471264372,13,Georgia,True,0.5695067264573991,0.6928251121076233,0.12331838565022424,False,True,HI-only hotspot,True,34.39689905366018,25.57905931610986,0.2959641255605381,11,atlanta,2024,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/atlanta/atlanta_master_lst_hi_hotcompare.gpkg,atlanta_master_lst_hi_hotcompare,-0.12069161619076185,-0.23831223470460342,0.03539815170087951,0.13258663107865165,0.06378323117875141,-0.009999788049888199,-0.01775353986784269,-0.1405094005282514,-0.027993851178312615,-0.1505246826626324,-0.04257447568842494,-0.12356915146200714,-0.2527456721984294,-0.15256328267978833,-0.09507169303325225,0.011309960352695473,-0.03736573867892589,0.16117530200150493,-0.06309794168765658,0.050251742112084254,-0.0007057668553352844,0.031235902225910602,-0.12538887554046815,0.0029895095525652366,-0.07679252970361876,0.22817487460772062,-0.022351439344037077,-0.14594989728020452,0.03317981195995309,0.058731889177369906,-0.06408918560162402,-0.06775304532767988,-0.1010959333934113,0.002600525643624065,-0.09965242487986585,-0.1175026656541073,-0.15528264593010427,-0.18501870944006135,-0.06085708093608647,0.09193177613453332,-0.009317854889376804,0.028708602018974273,0.12786443839451198,0.03522518050491556,0.15271797524539882,0.14682719649294473,-0.04120772087445389,-0.017551348784946023,0.1472253448631109,-0.13389349958490213,-0.08879584742896347,0.13754467776623772,-0.16183352041101753,0.1592915479711311,0.14516188288993304,-0.05350884455258501,-0.028854724024486505,0.15240542574184265,0.10955809643093149,-0.0658102154496718,-0.01003830812609816,-0.12130477524942558,-0.13039255715068293,-0.028861656668112478
