city_slug,city_label,source_vector_path,source_vector_layer,source_rows,output_rows,n_A_cols,n_nonempty_A_cols,n_rows_any_A,n_rows_complete_A64,pct_rows_any_A,pct_rows_complete_A64,ee_tiles_intersecting,crs_original,lonlat_bounds
las_vegas,Las Vegas,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_figures/three_city_lstadaptive_heat_index_mismatch_GIS_READY.gpkg,las_vegas,458,458,64,64,458,458,100.0,100.0,6,EPSG:4269,[-115.896925   35.001857 -114.042819   36.853662]
los_angeles,Los Angeles,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/los_angeles/los_angeles_master_lst_hi_hotcompare.gpkg,master_lst_hi_hotcompare,1108,1108,64,64,1108,1108,100.0,100.0,2,EPSG:4326,[-118.668162   33.697778 -118.155289   34.337306]
miami,Miami,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/miami/miami_master_lst_hi_hotcompare.gpkg,master_lst_hi_hotcompare,129,129,64,64,129,129,100.0,100.0,1,EPSG:4326,[-80.318608  25.707593 -80.13908   25.855786]
boston,Boston,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/boston/boston_master_lst_hi_hotcompare.gpkg,master_lst_hi_hotcompare,207,207,64,64,207,207,100.0,100.0,2,EPSG:4326,[-71.191247  42.227911 -70.648072  42.444296]
san_francisco,San Francisco,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/san_francisco/san_francisco_master_lst_hi_hotcompare.gpkg,san_francisco_master_lst_hi_hotcompare,260,260,64,64,260,260,100.0,100.0,2,EPSG:4326,[-123.173825   37.053858 -122.044587   38.296263]
atlanta,Atlanta,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/atlanta/atlanta_master_lst_hi_hotcompare.gpkg,atlanta_master_lst_hi_hotcompare,223,223,64,64,223,223,100.0,100.0,1,EPSG:4326,[-84.582506  33.603477 -84.251991  33.915881]
seattle,Seattle,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/seattle/seattle_master_lst_hi_hotcompare.gpkg,seattle_master_lst_hi_hotcompare,199,199,64,64,199,199,100.0,100.0,4,EPSG:4326,[-123.038404   47.317294 -122.190639   47.972953]
chicago,Chicago,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/chicago/chicago_master_lst_hi_hotcompare.gpkg,chicago_master_lst_hi_hotcompare,872,872,64,64,872,872,100.0,100.0,1,EPSG:4326,[-87.959935  41.622575 -87.111162  42.153426]
dallas,Dallas,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/dallas/dallas_master_lst_hi_hotcompare.gpkg,dallas_master_lst_hi_hotcompare,449,449,64,64,449,449,100.0,100.0,2,EPSG:4326,[-97.038291  32.545214 -96.29674   33.028072]
new_york,New York,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/new_york/new_york_master_lst_hi_hotcompare.gpkg,new_york_master_lst_hi_hotcompare,2365,2365,64,64,2365,2365,100.0,100.0,1,EPSG:4326,[-74.258843  40.476578 -73.48439   40.928056]
