column,dtype,non_null_count,missing_count,example_values,is_alphaearth_A00_A63
GEOID,int64,6270,0,32003002954; 32003004709; 32003002915; 32003002916; 32003002919,False
city,object,6270,0,las_vegas; los_angeles; miami; boston; san_francisco,False
lst_c,float64,6049,221,47.63033681765392; 48.71075348075352; 45.333606434717574; 46.128563790560506; 46.16793430068524,False
hi_c,float64,6080,190,30.68612509371; 32.08101575859078; 31.392363162761036; 31.627775852444717; 30.76536905919516,False
hi_minus_lst,float64,1852,4418,-16.94421172394392; -16.629737722162737; -14.647481341007571; -15.442438696850504; -15.48180920697524,False
lst_hot_q75,object,1902,4368,False; True,False
hi_hot_q75,object,1902,4368,False; True,False
mismatch_class,object,6270,0,Neither hotspot; Both LST and HI hotspot; HI-only hotspot; LST-only hotspot; Missing,False
priority_flag,bool,6270,0,False; True,False
lst_z_city,float64,458,5812,0.4737832128827203; 1.289647796824772; -1.2605671005654655; -0.6602639263106658; -0.6305337250285509,False
hi_z_city,float64,458,5812,-0.3579773999890631; 0.8586085896011912; 0.2579843823605234; 0.4633049764770542; -0.2888629521000184,False
hi_minus_lst_z,float64,458,5812,-0.8317606128717834; -0.4310392072235807; 0.9025897005764026; 0.3022865263216027; 0.2725563250394878,False
lst_rank3,object,458,5812,High LST; Low LST; Mid LST,False
hi_rank3,object,458,5812,Low HI; High HI; Mid HI,False
bivar_lst_hi,object,458,5812,High LST / Low HI; High LST / High HI; Low LST / Low HI; Mid LST / Low HI; High LST / Mid HI,False
_ae_rowid,int64,6270,0,0; 1; 2; 3; 4,False
city_slug,object,6270,0,las_vegas; los_angeles; miami; boston; san_francisco,False
city_label,object,6270,0,Las Vegas; Los Angeles; Miami; Boston; San Francisco,False
alphaearth_year,int64,6270,0,2024,False
alphaearth_collection,object,6270,0,GOOGLE/SATELLITE_EMBEDDING/V1/ANNUAL,False
source_vector_path,object,6270,0,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_figures/three_city_lstadaptive_heat_index_mismatch_GIS_READY.gpkg; /Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/los_angeles/los_angeles_master_lst_hi_hotcompare.gpkg; /Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/miami/miami_master_lst_hi_hotcompare.gpkg; /Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/boston/boston_master_lst_hi_hotcompare.gpkg; /Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/san_francisco/san_francisco_master_lst_hi_hotcompare.gpkg,False
source_vector_layer,object,6270,0,las_vegas; master_lst_hi_hotcompare; san_francisco_master_lst_hi_hotcompare; atlanta_master_lst_hi_hotcompare; seattle_master_lst_hi_hotcompare,False
A00,float64,6270,0,0.1704002077097021; 0.1635368714717417; 0.1725234586465319; 0.1737576552534947; 0.1627694691314209,True
A01,float64,6270,0,-0.1742746778277866; -0.1428903384666591; -0.1480142667809887; -0.1553305960028726; -0.1032236750001625,True
A02,float64,6270,0,0.1362472090730203; 0.1447992078091351; 0.1697225892430819; 0.1404637621207124; 0.1515886927192067,True
A03,float64,6270,0,0.0545320288197408; 0.0669559678981338; 0.0698714427202973; 0.0701209909923125; 0.0588487833929186,True
A04,float64,6270,0,0.0117136173190963; -0.0056329659316994; 0.0254043147354836; 0.0157137586531129; 0.007883629066813,True
A05,float64,6270,0,-0.1398955858798558; -0.1127104198471577; -0.0884327879489954; -0.0944787083043899; -0.0933448774456425,True
A06,float64,6270,0,-0.040681882987804; -0.0154483924432471; -0.0120987621185423; -0.018285658119224; 0.0125982678715403,True
A07,float64,6270,0,-0.1231343836651853; -0.0766503413635781; -0.0674210585287291; -0.0670770083427961; -0.0628901228520946,True
A08,float64,6270,0,-0.2856599094214032; -0.2886920110171284; -0.3056002334989294; -0.3075714528031951; -0.2985956493868326,True
A09,float64,6270,0,-0.0314452126055756; -0.0854047213170733; -0.1334276958519954; -0.1250813948546408; -0.110087125355566,True
A10,float64,6270,0,0.118164011395195; 0.1243798429096075; 0.1043291638258511; 0.106994098850354; 0.1188272777718184,True
A11,float64,6270,0,0.0947477773099426; 0.0560110247569764; 0.0710883286457525; 0.0661250780791316; 0.0580840127350914,True
A12,float64,6270,0,-0.1245163645458983; -0.1482280785292802; -0.1426978137925827; -0.1504674666574728; -0.1601299296489387,True
A13,float64,6270,0,-0.1828342370489255; -0.1282179007154282; -0.1154405862049076; -0.1292558106796647; -0.114320559540575,True
A14,float64,6270,0,-0.0646132892620789; -0.0233076855173782; -0.034537560723257; -0.0232369541756864; 0.002244296254138,True
A15,float64,6270,0,-0.0810067175213541; -0.0827518552837731; -0.0627681549482716; -0.0562273975719317; -0.0760884490995215,True
