score,rows,cols,path,layer,row_filtered,n_lst_cols,n_hi_cols,n_hot_cols,n_demo_cols,lst_cols_preview,hi_cols_preview,hot_cols_preview
1926,458,16,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_figures/three_city_lstadaptive_heat_index_mismatch_GIS_READY.gpkg,las_vegas,True,7,7,1,0,"lst_c, hi_minus_lst, lst_hot_q75, lst_z_city, hi_minus_lst_z, lst_rank3","hi_c, hi_minus_lst, hi_hot_q75, hi_z_city, hi_minus_lst_z, hi_rank3",mismatch_class
1701,535,31,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/las_vegas/working/las_vegas_analysis_ready.gpkg,las_vegas_analysis_ready,True,3,3,2,5,"lst_c, hi_minus_lst, high_lst","hi_c, hi_minus_lst, high_hi","mismatch_class, gap_class"
1701,535,31,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/share_for_chenchen_10cities_no_houston_phoenix/01_spatial_gpkg_or_vector/las_vegas__las_vegas_analysis_ready.gpkg,las_vegas_analysis_ready,True,3,3,2,5,"lst_c, hi_minus_lst, high_lst","hi_c, hi_minus_lst, high_hi","mismatch_class, gap_class"
1663,535,33,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/las_vegas/working/las_vegas_heat_ready_input.geojson,,True,2,2,0,5,"lst_c, hi_minus_lst","hi_c, hi_minus_lst",
1663,535,33,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/las_vegas/working/las_vegas_heat_ready_input.gpkg,las_vegas_heat_ready_input,True,2,2,0,5,"lst_c, hi_minus_lst","hi_c, hi_minus_lst",
1662,535,32,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/las_vegas/working/las_vegas_heat_extraction_input.geojson,,True,2,2,0,5,"lst_c, hi_minus_lst","hi_c, hi_minus_lst",
1662,535,32,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/las_vegas/working/las_vegas_heat_extraction_input.gpkg,las_vegas_heat_extraction_input,True,2,2,0,5,"lst_c, hi_minus_lst","hi_c, hi_minus_lst",
1637,458,27,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_advanced_figures/three_city_GIS_ADVANCED.gpkg,las_vegas,True,8,8,2,0,"lst_c, hi_minus_lst, lst_hot_q75, lst_z_city, hi_minus_lst_z, lst_rank3","hi_c, hi_minus_lst, hi_hot_q75, hi_z_city, hi_minus_lst_z, hi_rank3","mismatch_class, neighborhood_shift_class"
1602,458,42,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/twelve_city_final_figures/twelve_city_lstadaptive_heat_index_mismatch_GIS_READY.gpkg,twelve_city_lstadaptive_heat_index_mismatch_GIS_READY,True,11,11,1,0,"lst_c, hi_minus_lst, lst_pct_city, lst_z_city, hi_minus_lst_pct, hi_minus_lst_z","hi_c, hi_minus_lst, hi_pct_city, hi_z_city, hi_minus_lst_pct, hi_minus_lst_z",mismatch_class
1578,458,18,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/six_city_expansion_figures/six_city_lstadaptive_heat_index_mismatch_GIS_READY.gpkg,six_city_lstadaptive_hi_mismatch,True,7,7,1,0,"lst_c, hi_minus_lst, lst_pct_city, lst_z_city, hi_minus_lst_pct, hi_minus_lst_z","hi_c, hi_minus_lst, hi_pct_city, hi_z_city, hi_minus_lst_pct, hi_minus_lst_z",mismatch_class
1576,77,26,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/las_vegas/working/las_vegas_missing_climate_tracts.gpkg,las_vegas_missing_climate_tracts,True,2,2,0,5,"lst_c, hi_minus_lst","hi_c, hi_minus_lst",
1576,458,16,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_figures/three_city_lstadaptive_heat_index_mismatch_GIS_READY.geojson,,True,7,7,1,0,"lst_c, hi_minus_lst, lst_hot_q75, lst_z_city, hi_minus_lst_z, lst_rank3","hi_c, hi_minus_lst, hi_hot_q75, hi_z_city, hi_minus_lst_z, hi_rank3",mismatch_class
1355,458,35,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_hotspot_shift_figures/hotspot_shift_deeper_GIS_READY.gpkg,tracts_with_shift_metrics,True,10,10,3,0,"lst_c, hi_minus_lst, lst_hot_q75, lst_z_city, hi_minus_lst_z, lst_rank3","hi_c, hi_minus_lst, hi_hot_q75, hi_z_city, hi_minus_lst_z, hi_rank3","mismatch_class, neighborhood_shift_class, percentile_balance_class"
1295,458,35,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_hotspot_shift_figures/hotspot_shift_deeper_tracts.geojson,,True,10,10,3,0,"lst_c, hi_minus_lst, lst_hot_q75, lst_z_city, hi_minus_lst_z, lst_rank3","hi_c, hi_minus_lst, hi_hot_q75, hi_z_city, hi_minus_lst_z, hi_rank3","mismatch_class, neighborhood_shift_class, percentile_balance_class"
1287,458,27,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_advanced_figures/three_city_GIS_ADVANCED.geojson,,True,8,8,2,0,"lst_c, hi_minus_lst, lst_hot_q75, lst_z_city, hi_minus_lst_z, lst_rank3","hi_c, hi_minus_lst, hi_hot_q75, hi_z_city, hi_minus_lst_z, hi_rank3","mismatch_class, neighborhood_shift_class"
1287,458,27,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_advanced_figures/three_city_GIS_ADVANCED.gpkg,all_cities,True,8,8,2,0,"lst_c, hi_minus_lst, lst_hot_q75, lst_z_city, hi_minus_lst_z, lst_rank3","hi_c, hi_minus_lst, hi_hot_q75, hi_z_city, hi_minus_lst_z, hi_rank3","mismatch_class, neighborhood_shift_class"
56,13333,6,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_frontier_figures/mismatch_frontier_lines_all_cities.gpkg,frontiers,True,0,0,2,0,,,"class_i, class_j"
