score,rows,cols,path,layer,row_filtered,n_lst_cols,n_hi_cols,n_hot_cols,n_demo_cols,lst_cols_preview,hi_cols_preview,hot_cols_preview
1944,2365,34,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/new_york/new_york_master_lst_hi_hotcompare.gpkg,new_york_master_lst_hi_hotcompare,True,6,6,1,0,"lst_c, lst_pct, hi_minus_lst_pct, lst_hot, q75_lst_c, q75_hi_minus_lst_pct","hi_c, hi_pct, hi_minus_lst_pct, hi_hot, q75_hi_c, q75_hi_minus_lst_pct",mismatch_class
1944,2365,34,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/share_for_chenchen_10cities_no_houston_phoenix/01_spatial_gpkg_or_vector/new_york__new_york_master_lst_hi_hotcompare.gpkg,new_york_master_lst_hi_hotcompare,True,6,6,1,0,"lst_c, lst_pct, hi_minus_lst_pct, lst_hot, q75_lst_c, q75_hi_minus_lst_pct","hi_c, hi_pct, hi_minus_lst_pct, hi_hot, q75_hi_c, q75_hi_minus_lst_pct",mismatch_class
1844,2365,34,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/new_york/working/new_york_heat_master_template.gpkg,new_york_heat_master_template,True,6,6,1,0,"lst_c, lst_pct, hi_minus_lst_pct, lst_hot, q75_lst_c, q75_hi_minus_lst_pct","hi_c, hi_pct, hi_minus_lst_pct, hi_hot, q75_hi_c, q75_hi_minus_lst_pct",mismatch_class
1602,2365,42,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/twelve_city_final_figures/twelve_city_lstadaptive_heat_index_mismatch_GIS_READY.gpkg,twelve_city_lstadaptive_heat_index_mismatch_GIS_READY,True,11,11,1,0,"lst_c, hi_minus_lst, lst_pct_city, lst_z_city, hi_minus_lst_pct, hi_minus_lst_z","hi_c, hi_minus_lst, hi_pct_city, hi_z_city, hi_minus_lst_pct, hi_minus_lst_z",mismatch_class
1294,2365,34,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/city_expansion_12city/step2_new_6city_lst_hi_combined.gpkg,step2_new_6city_lst_hi_combined,True,6,6,1,0,"lst_c, lst_pct, hi_minus_lst_pct, lst_hot, q75_lst_c, q75_hi_minus_lst_pct","hi_c, hi_pct, hi_minus_lst_pct, hi_hot, q75_hi_c, q75_hi_minus_lst_pct",mismatch_class
76,2327,26,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/new_york/working/new_york_tracts_boundary_acs.gpkg,tracts_boundary_acs,True,0,0,0,4,,,
76,2327,26,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/new_york/new_york_tracts_boundary_acs.gpkg,tracts_boundary_acs,True,0,0,0,4,,,
11,2365,21,/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/new_york/working/new_york_tracts_boundary.gpkg,new_york_tracts_boundary,True,0,0,0,0,,,
11,2365,21,/Users/yufeizhou/Desktop/heat-exposure-compare/data/processed/new_york/new_york_tracts_boundary.gpkg,new_york_tracts_boundary,True,0,0,0,0,,,
-147,1,3,/Users/yufeizhou/Desktop/heat-exposure-compare/.venv-1/lib/python3.14/site-packages/bqplot/map_data/USStatesMap.json,,True,0,0,0,0,,,
-147,1,3,/Users/yufeizhou/Desktop/heat-exposure-compare/.venv-2/lib/python3.14/site-packages/bqplot/map_data/USStatesMap.json,,True,0,0,0,0,,,
-391,1,9,/Users/yufeizhou/Desktop/heat-exposure-compare/.venv-2/lib/python3.14/site-packages/libpysal/examples/us_income/us48.shp,,True,0,0,0,0,,,
-524,2327,26,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/city_expansion/step2_new_city_boundary_acs_all_FIXED.gpkg,new_city_tracts_boundary_acs,True,0,0,0,4,,,
