STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,city,city_name,NAME_acs,population,poverty_universe,poverty_below,poverty_rate,acs_year,state,county,tract,tract_area_km2
06,037,204920,06037204920,1400000US06037204920,2049.20,Census Tract 2049.20,G5020,S,909972,0,+34.0175004,-118.1974975,los_angeles,Los Angeles,,,,,,,,,,0.9095216419332146
06,037,205110,06037205110,1400000US06037205110,2051.10,Census Tract 2051.10,G5020,S,286962,0,+34.0245059,-118.2142985,los_angeles,Los Angeles,,,,,,,,,,0.2868201284321896
06,037,205120,06037205120,1400000US06037205120,2051.20,Census Tract 2051.20,G5020,S,1466242,0,+34.0187542,-118.2117951,los_angeles,Los Angeles,,,,,,,,,,1.465519779546506
06,037,206010,06037206010,1400000US06037206010,2060.10,Census Tract 2060.10,G5020,S,1418137,20551,+34.0682177,-118.2320356,los_angeles,Los Angeles,,,,,,,,,,1.4379980638742285
06,037,206020,06037206020,1400000US06037206020,2060.20,Census Tract 2060.20,G5020,S,843243,30290,+34.0571230,-118.2311021,los_angeles,Los Angeles,,,,,,,,,,0.8731159792278862
06,037,206050,06037206050,1400000US06037206050,2060.50,Census Tract 2060.50,G5020,S,1643425,141255,+34.0325743,-118.2243204,los_angeles,Los Angeles,,,,,,,,,,1.7838165687048362
06,037,111402,06037111402,1400000US06037111402,1114.02,Census Tract 1114.02,G5020,S,971230,0,+34.2611726,-118.4957411,los_angeles,Los Angeles,,,,,,,,,,0.9709082805170526
06,037,111303,06037111303,1400000US06037111303,1113.03,Census Tract 1113.03,G5020,S,1563907,0,+34.2612078,-118.5128459,los_angeles,Los Angeles,,,,,,,,,,1.56339867140588
06,037,104321,06037104321,1400000US06037104321,1043.21,Census Tract 1043.21,G5020,S,519857,0,+34.2716582,-118.4180839,los_angeles,Los Angeles,,,,,,,,,,0.5196605964599273
06,037,104322,06037104322,1400000US06037104322,1043.22,Census Tract 1043.22,G5020,S,692312,0,+34.2742393,-118.4218751,los_angeles,Los Angeles,,,,,,,,,,0.6920501811110041
06,037,108203,06037108203,1400000US06037108203,1082.03,Census Tract 1082.03,G5020,S,1372380,0,+34.2930831,-118.5616551,los_angeles,Los Angeles,,,,,,,,,,1.3719825817054148
06,037,231901,06037231901,1400000US06037231901,2319.01,Census Tract 2319.01,G5020,S,244763,0,+33.9983026,-118.2761377,los_angeles,Los Angeles,,,,,,,,,,0.24465191740580605
06,037,232402,06037232402,1400000US06037232402,2324.02,Census Tract 2324.02,G5020,S,543260,0,+33.9985350,-118.3135729,los_angeles,Los Angeles,,,,,,,,,,0.5430234633800901
06,037,135204,06037135204,1400000US06037135204,1352.04,Census Tract 1352.04,G5020,S,1857531,0,+34.1890902,-118.6495411,los_angeles,Los Angeles,,,,,,,,,,1.8571022184315342
06,037,132302,06037132302,1400000US06037132302,1323.02,Census Tract 1323.02,G5020,S,647601,0,+34.1956759,-118.5273085,los_angeles,Los Angeles,,,,,,,,,,0.6474011536260174
06,037,135115,06037135115,1400000US06037135115,1351.15,Census Tract 1351.15,G5020,S,331039,2486,+34.1846696,-118.6097925,los_angeles,Los Angeles,,,,,,,,,,0.3334396126912809
06,037,132301,06037132301,1400000US06037132301,1323.01,Census Tract 1323.01,G5020,S,631000,0,+34.1992573,-118.5273425,los_angeles,Los Angeles,,,,,,,,,,0.6308018846169463
06,037,134907,06037134907,1400000US06037134907,1349.07,Census Tract 1349.07,G5020,S,391494,0,+34.1909915,-118.5939054,los_angeles,Los Angeles,,,,,,,,,,0.3913903873913008
06,037,119003,06037119003,1400000US06037119003,1190.03,Census Tract 1190.03,G5020,S,842110,9604,+34.2501205,-118.4331362,los_angeles,Los Angeles,,,,,,,,,,0.8513961622544355
06,037,111401,06037111401,1400000US06037111401,1114.01,Census Tract 1114.01,G5020,S,840800,0,+34.2539293,-118.4966913,los_angeles,Los Angeles,,,,,,,,,,0.8405212152071149
06,037,103401,06037103401,1400000US06037103401,1034.01,Census Tract 1034.01,G5020,S,1401638,0,+34.2539688,-118.3183847,los_angeles,Los Angeles,,,,,,,,,,1.4010253759181062
06,037,207400,06037207400,1400000US06037207400,2074,Census Tract 2074,G5020,S,862957,6458,+34.0562223,-118.2466420,los_angeles,Los Angeles,,,,,,,,,,0.8690016176586742
06,037,192410,06037192410,1400000US06037192410,1924.10,Census Tract 1924.10,G5020,S,683899,0,+34.0798577,-118.3181008,los_angeles,Los Angeles,,,,,,,,,,0.6836026226589473
06,037,192510,06037192510,1400000US06037192510,1925.10,Census Tract 1925.10,G5020,S,340747,0,+34.0798690,-118.3068568,los_angeles,Los Angeles,,,,,,,,,,0.34059685881518503
06,037,192520,06037192520,1400000US06037192520,1925.20,Census Tract 1925.20,G5020,S,307803,0,+34.0799255,-118.3024972,los_angeles,Los Angeles,,,,,,,,,,0.30766752378328277
06,037,192610,06037192610,1400000US06037192610,1926.10,Census Tract 1926.10,G5020,S,415408,0,+34.0813650,-118.2961539,los_angeles,Los Angeles,,,,,,,,,,0.4152207148525495
06,037,192700,06037192700,1400000US06037192700,1927,Census Tract 1927,G5020,S,531211,0,+34.0800134,-118.2881064,los_angeles,Los Angeles,,,,,,,,,,0.5309696194983828
06,037,194500,06037194500,1400000US06037194500,1945,Census Tract 1945,G5020,S,685341,0,+34.0781753,-118.3695958,los_angeles,Los Angeles,,,,,,,,,,0.6850612182912293
06,037,195100,06037195100,1400000US06037195100,1951,Census Tract 1951,G5020,S,1566301,329063,+34.1022274,-118.2669741,los_angeles,Los Angeles,,,,,,,,,,1.894485465249308
06,037,195300,06037195300,1400000US06037195300,1953,Census Tract 1953,G5020,S,580349,0,+34.0992506,-118.2836893,los_angeles,Los Angeles,,,,,,,,,,0.5800875937436101
06,037,137501,06037137501,1400000US06037137501,1375.01,Census Tract 1375.01,G5020,S,2514414,0,+34.1649344,-118.5768036,los_angeles,Los Angeles,,,,,,,,,,2.5137109362131467
06,037,137502,06037137502,1400000US06037137502,1375.02,Census Tract 1375.02,G5020,S,2090222,0,+34.1634518,-118.5976927,los_angeles,Los Angeles,,,,,,,,,,2.089664953067066
06,037,195500,06037195500,1400000US06037195500,1955,Census Tract 1955,G5020,S,1215212,0,+34.0881865,-118.2646124,los_angeles,Los Angeles,,,,,,,,,,1.2146467908153173
