ALAND,AWATER,COUNTYFP,FUNCSTAT,GEOID,GEOIDFQ,INTPTLAT,INTPTLON,MTFCC,NAME,NAMELSAD,STATEFP,TRACTCE,centroid_in_city,city,city_context,city_label,hi_c,intersects_city,lst_c,state_fips,state_name,analysis_ready,lst_pct,hi_pct,hi_minus_lst_pct,lst_hot,hi_hot,mismatch_class,priority_flag,q75_lst_c,q75_hi_c,q75_hi_minus_lst_pct
213987,0,081,S,36081003400,1400000US36081003400,+40.6847731,-073.8581871,G5020,34,Census Tract 34,36,003400,True,new_york,Coastal / megacity / dense urban core,New York,22.718605371242266,True,33.2346233766234,36,New York,True,0.6920498084291188,0.5675287356321839,-0.12452107279693492,False,False,Neither hotspot,False,33.461953775316275,22.880559719472675,0.2017480842911878
146970,0,081,S,36081003900,1400000US36081003900,+40.7627994,-073.9409316,G5020,39,Census Tract 39,36,003900,True,new_york,Coastal / megacity / dense urban core,New York,22.590481736003547,True,30.78000000000003,36,New York,True,0.25023946360153254,0.2921455938697318,0.04190613026819928,False,False,Neither hotspot,False,33.461953775316275,22.880559719472675,0.2017480842911878
180006,0,081,S,36081003600,1400000US36081003600,+40.6837714,-073.8568176,G5020,36,Census Tract 36,36,003600,True,new_york,Coastal / megacity / dense urban core,New York,22.71368916749782,True,33.414468412943,36,New York,True,0.7380268199233716,0.5660919540229885,-0.1719348659003831,False,False,Neither hotspot,False,33.461953775316275,22.880559719472675,0.2017480842911878
386629,14591,081,S,36081003700,1400000US36081003700,+40.7624148,-073.9434494,G5020,37,Census Tract 37,36,003700,True,new_york,Coastal / megacity / dense urban core,New York,22.587843520090072,True,31.035000000000025,36,New York,True,0.2832854406130268,0.22413793103448276,-0.05914750957854403,False,False,Neither hotspot,False,33.461953775316275,22.880559719472675,0.2017480842911878
176214,0,081,S,36081003800,1400000US36081003800,+40.6847999,-073.8474941,G5020,38,Census Tract 38,36,003800,True,new_york,Coastal / megacity / dense urban core,New York,22.649130488699566,True,33.82469448584204,36,New York,True,0.8338122605363985,0.47270114942528735,-0.3611111111111111,True,False,LST-only hotspot,False,33.461953775316275,22.880559719472675,0.2017480842911878
174292,0,081,S,36081004001,1400000US36081004001,+40.6832481,-073.8458743,G5020,40.01,Census Tract 40.01,36,004001,True,new_york,Coastal / megacity / dense urban core,New York,22.628044894121725,True,33.80766233766234,36,New York,True,0.8318965517241379,0.4188218390804598,-0.4130747126436781,True,False,LST-only hotspot,False,33.461953775316275,22.880559719472675,0.2017480842911878
200287,0,081,S,36081004200,1400000US36081004200,+40.6818145,-073.8579641,G5020,42,Census Tract 42,36,004200,True,new_york,Coastal / megacity / dense urban core,New York,22.71991784192517,True,33.48090909090911,36,New York,True,0.7538314176245211,0.6503831417624522,-0.10344827586206895,True,False,LST-only hotspot,False,33.461953775316275,22.880559719472675,0.2017480842911878
170813,0,081,S,36081004300,1400000US36081004300,+40.7609451,-073.9375143,G5020,43,Census Tract 43,36,004300,True,new_york,Coastal / megacity / dense urban core,New York,22.590481736003547,True,30.78000000000003,36,New York,True,0.25023946360153254,0.2921455938697318,0.04190613026819928,False,False,Neither hotspot,False,33.461953775316275,22.880559719472675,0.2017480842911878
216834,0,081,S,36081077907,1400000US36081077907,+40.7249623,-073.8184802,G5020,779.07,Census Tract 779.07,36,077907,True,new_york,Coastal / megacity / dense urban core,New York,22.628044894121725,True,32.370000000000005,36,New York,True,0.4904214559386973,0.4188218390804598,-0.07159961685823751,False,False,Neither hotspot,False,33.461953775316275,22.880559719472675,0.2017480842911878
269563,0,081,S,36081024000,1400000US36081024000,+40.7032775,-073.8050793,G5020,240,Census Tract 240,36,024000,True,new_york,Coastal / megacity / dense urban core,New York,22.628044894121725,True,34.69505263157897,36,New York,True,0.9454022988505747,0.4188218390804598,-0.5265804597701149,True,False,LST-only hotspot,False,33.461953775316275,22.880559719472675,0.2017480842911878
