raw_dim,Houston,Phoenix,group
A01,False,True,Phoenix_only
A02,True,False,Houston_only
A03,False,True,Phoenix_only
A04,True,True,shared
A07,True,False,Houston_only
A09,False,True,Phoenix_only
A16,True,False,Houston_only
A17,True,False,Houston_only
A19,False,True,Phoenix_only
A22,True,True,shared
A25,True,False,Houston_only
A26,False,True,Phoenix_only
A28,True,False,Houston_only
A31,True,False,Houston_only
A32,True,False,Houston_only
A34,True,False,Houston_only
A40,False,True,Phoenix_only
A42,True,False,Houston_only
A44,False,True,Phoenix_only
A47,False,True,Phoenix_only
A51,True,False,Houston_only
A52,False,True,Phoenix_only
A56,True,False,Houston_only
A58,False,True,Phoenix_only
A59,True,True,shared
A61,False,True,Phoenix_only
A62,False,True,Phoenix_only
A63,False,True,Phoenix_only
