city,pc,top_k,best_variable,best_mean_abs_spearman_r,best_max_abs_spearman_r,best_n_dims,best_dims
Houston,PC1,4,ALAND,0.6312061630681582,0.6545136643012416,4,"A16, A07, A56, A34"
Houston,PC1,6,ALAND,0.6183476800711956,0.6545136643012416,6,"A16, A07, A56, A62, A34, A13"
Houston,PC1,8,ALAND,0.6141977847505633,0.6545136643012416,8,"A16, A07, A56, A50, A62, A34"
Houston,PC1,10,ALAND,0.6037943340261195,0.6545136643012416,10,"A16, A07, A56, A50, A62, A34"
Houston,PC1,12,ALAND,0.6037943340261195,0.6545136643012416,10,"A16, A07, A56, A50, A62, A34"
Houston,PC2,4,lst_c,0.4538208317786848,0.6680924138479848,4,"A51, A42, A25, A32"
Houston,PC2,6,lst_c,0.4851053502037228,0.6680924138479848,6,"A51, A08, A42, A43, A25, A32"
Houston,PC2,8,lst_c,0.43045417793529883,0.6680924138479848,8,"A51, A08, A42, A43, A12, A25"
Houston,PC2,10,lst_c,0.3834078426593356,0.6680924138479848,9,"A51, A08, A42, A43, A12, A25"
Houston,PC2,12,lst_c,0.3834078426593356,0.6680924138479848,9,"A51, A08, A42, A43, A12, A25"
Houston,PC3,4,hi_minus_lst,0.296387350832726,0.4490708932087418,4,"A28, A17, A02, A31"
Houston,PC3,6,hi_minus_lst,0.27549497608609735,0.4490708932087418,6,"A28, A17, A24, A02, A38, A31"
Houston,PC3,8,median_household_income_clean,0.27433190822862547,0.3552130433675619,8,"A28, A24, A19, A38, A02, A21"
Houston,PC3,10,median_household_income_clean,0.25457672247349666,0.3552130433675619,10,"A28, A46, A24, A19, A38, A02"
Houston,PC3,12,lst_c,0.31940628532367843,0.8060503076568499,12,"A50, A03, A28, A24, A17, A46"
Houston,PC4,4,lst_c,0.18526053799650305,0.2808945165943154,4,"A25, A22, A59, A04"
Houston,PC4,6,lst_c,0.32213030476544496,0.6176611644532655,6,"A15, A11, A25, A22, A59, A04"
Houston,PC4,8,lst_c,0.33567289566371844,0.6176611644532655,8,"A15, A11, A37, A25, A40, A22"
Houston,PC4,10,lst_c,0.342442866064355,0.6176611644532655,10,"A15, A05, A11, A37, A25, A40"
Houston,PC4,12,lst_c,0.3654642597794317,0.6907576392451159,12,"A62, A15, A05, A11, A37, A25"
Phoenix,PC1,4,ALAND,0.48186348120341427,0.5699619984636594,4,"A62, A40, A52, A01"
Phoenix,PC1,6,ALAND,0.5094270433244645,0.5699619984636594,6,"A62, A36, A46, A40, A52, A01"
Phoenix,PC1,8,ALAND,0.49603537884299026,0.5699619984636594,8,"A62, A36, A46, A40, A34, A52"
Phoenix,PC1,10,ALAND,0.48817465342283334,0.5699619984636594,9,"A62, A36, A46, A40, A34, A48"
Phoenix,PC1,12,ALAND,0.46737601298224996,0.5699619984636594,11,"A62, A36, A46, A40, A34, A48"
Phoenix,PC2,4,median_household_income_clean,0.24605564075893407,0.4898040782483058,4,"A63, A04, A61, A44"
Phoenix,PC2,6,hi_minus_lst,0.25247616852101257,0.4727580199134088,6,"A44, A61, A35, A23, A04, A63"
Phoenix,PC2,8,median_household_income_clean,0.23511973684867987,0.5621430003707596,8,"A05, A63, A04, A23, A61, A35"
Phoenix,PC2,10,median_household_income_clean,0.23511973684867987,0.5621430003707596,8,"A05, A63, A04, A23, A61, A35"
Phoenix,PC2,12,median_household_income_clean,0.23230096215639678,0.5621430003707596,9,"A05, A63, A04, A23, A37, A61"
Phoenix,PC3,4,hi_minus_lst,0.4344421861529567,0.6268421444412418,4,"A59, A22, A09, A58"
Phoenix,PC3,6,hi_minus_lst,0.43520206407404743,0.6268421444412418,6,"A59, A21, A22, A09, A58, A16"
Phoenix,PC3,8,hi_minus_lst,0.4010931453420442,0.6268421444412418,8,"A59, A21, A22, A38, A09, A58"
Phoenix,PC3,10,hi_minus_lst,0.41250584111574906,0.6268421444412418,10,"A59, A21, A33, A22, A38, A24"
Phoenix,PC3,12,hi_minus_lst,0.4053095974436927,0.6268421444412418,12,"A59, A21, A33, A22, A07, A38"
Phoenix,PC4,4,hi_minus_lst,0.30499527300022333,0.4008620421098127,4,"A26, A47, A03, A19"
Phoenix,PC4,6,hi_minus_lst,0.2345435196052165,0.4008620421098127,6,"A26, A47, A03, A19, A31, A17"
Phoenix,PC4,8,hi_minus_lst,0.2516769535888307,0.5357541868297884,8,"A28, A26, A47, A03, A19, A31"
Phoenix,PC4,10,hi_minus_lst,0.2516769535888307,0.5357541868297884,8,"A28, A26, A47, A03, A19, A31"
Phoenix,PC4,12,hi_minus_lst,0.23321993416267794,0.5357541868297884,9,"A28, A26, A47, A03, A19, A31"
