city,pc,pc_num,variable,n_dims,mean_abs_spearman_r,max_abs_spearman_r,top_dims
Houston,PC1,1,ALAND,12,0.5966674199048132,0.6545136643012416,"A16(-0.655), A07(0.644), A56(-0.622)"
Houston,PC1,1,lst_c,12,0.5351964734298015,0.8060503076568499,"A50(0.806), A16(0.697), A62(-0.691)"
Houston,PC1,1,hi_minus_lst,12,0.49962556642166556,0.789815977170291,"A50(-0.790), A16(-0.661), A62(0.652)"
Houston,PC1,1,AWATER,12,0.44168138469251206,0.532106712045577,"A07(0.532), A50(-0.495), A62(0.482)"
Houston,PC1,1,total_population_clean,12,0.1861446633816157,0.2747406268648374,"A13(0.275), A16(-0.243), A20(-0.216)"
Houston,PC1,1,median_household_income_clean,12,0.15507636253956833,0.314819471094271,"A55(-0.315), A00(0.263), A56(0.255)"
Houston,PC1,1,hi_c,12,0.14952660447833335,0.28716694703674817,"A41(-0.287), A01(-0.241), A50(0.211)"
Houston,PC1,1,poverty_rate,12,0.11573223968348295,0.23371515708066637,"A55(0.234), A00(-0.196), A56(-0.184)"
Houston,PC2,2,lst_c,12,0.38036477603891905,0.6680924138479848,"A51(0.668), A08(-0.666), A42(-0.602)"
Houston,PC2,2,hi_minus_lst,12,0.3698009531717801,0.667814461474866,"A51(-0.668), A08(0.659), A42(0.600)"
Houston,PC2,2,ALAND,12,0.18085227519925687,0.3815412753948414,"A51(-0.382), A08(0.366), A30(-0.289)"
Houston,PC2,2,median_household_income_clean,12,0.17684846282992114,0.3202163444978317,"A40(-0.320), A44(0.312), A42(0.267)"
Houston,PC2,2,poverty_rate,12,0.1594271162060381,0.31357832529379054,"A40(0.314), A44(-0.255), A42(-0.232)"
Houston,PC2,2,AWATER,12,0.14620547790505964,0.2903994469402703,"A18(-0.290), A44(-0.203), A30(-0.198)"
Houston,PC2,2,total_population_clean,12,0.12014361501805255,0.24080909525724317,"A51(-0.241), A43(0.204), A08(0.176)"
Houston,PC2,2,hi_c,12,0.07509165729716936,0.23104015113750315,"A63(0.231), A42(-0.144), A08(-0.116)"
Houston,PC3,3,lst_c,12,0.3194062853236785,0.8060503076568499,"A50(0.806), A03(-0.537), A28(-0.404)"
Houston,PC3,3,hi_minus_lst,12,0.30911977861660767,0.789815977170291,"A50(-0.790), A03(0.461), A28(0.449)"
Houston,PC3,3,ALAND,12,0.24933632283436616,0.6178950936955684,"A50(-0.618), A03(0.486), A46(0.477)"
Houston,PC3,3,median_household_income_clean,12,0.23159600773610142,0.35521304336756193,"A28(0.355), A46(-0.350), A24(0.339)"
Houston,PC3,3,AWATER,12,0.2287871880048636,0.49545113145392894,"A50(-0.495), A17(-0.440), A09(0.429)"
