city,pc,pc_num,variable,n_dims,mean_abs_spearman_r,max_abs_spearman_r,top_dims
Houston,PC1,1,ALAND,12,0.5966674199048132,0.6545136643012416,"A16(-0.655), A07(0.644), A56(-0.622)"
Houston,PC1,1,lst_c,12,0.5351964734298015,0.8060503076568499,"A50(0.806), A16(0.697), A62(-0.691)"
Houston,PC1,1,hi_minus_lst,12,0.49962556642166556,0.789815977170291,"A50(-0.790), A16(-0.661), A62(0.652)"
Houston,PC1,1,AWATER,12,0.44168138469251206,0.532106712045577,"A07(0.532), A50(-0.495), A62(0.482)"
Houston,PC2,2,lst_c,12,0.38036477603891905,0.6680924138479848,"A51(0.668), A08(-0.666), A42(-0.602)"
Houston,PC2,2,hi_minus_lst,12,0.3698009531717801,0.667814461474866,"A51(-0.668), A08(0.659), A42(0.600)"
Houston,PC2,2,ALAND,12,0.18085227519925687,0.3815412753948414,"A51(-0.382), A08(0.366), A30(-0.289)"
Houston,PC2,2,median_household_income_clean,12,0.17684846282992114,0.3202163444978317,"A40(-0.320), A44(0.312), A42(0.267)"
Houston,PC3,3,lst_c,12,0.3194062853236785,0.8060503076568499,"A50(0.806), A03(-0.537), A28(-0.404)"
Houston,PC3,3,hi_minus_lst,12,0.30911977861660767,0.789815977170291,"A50(-0.790), A03(0.461), A28(0.449)"
Houston,PC3,3,ALAND,12,0.24933632283436616,0.6178950936955684,"A50(-0.618), A03(0.486), A46(0.477)"
Houston,PC3,3,median_household_income_clean,12,0.23159600773610142,0.35521304336756193,"A28(0.355), A46(-0.350), A24(0.339)"
Houston,PC4,4,lst_c,12,0.36546425977943175,0.6907576392451159,"A62(-0.691), A15(-0.618), A05(-0.617)"
Houston,PC4,4,hi_minus_lst,12,0.33185169270786125,0.6518258328166191,"A62(0.652), A15(0.600), A05(0.576)"
Houston,PC4,4,ALAND,12,0.2926163178266016,0.6063571869590346,"A62(0.606), A11(-0.590), A05(0.573)"
Houston,PC4,4,AWATER,12,0.2171142045352306,0.4823708606615424,"A62(0.482), A11(-0.428), A48(-0.398)"
Phoenix,PC1,1,ALAND,12,0.45944136462066365,0.5699619984636594,"A62(0.570), A36(0.568), A46(0.561)"
Phoenix,PC1,1,median_household_income_clean,12,0.28803872993678215,0.5355575799426048,"A62(0.536), A36(0.507), A40(0.419)"
Phoenix,PC1,1,poverty_rate,12,0.22819575212580276,0.4595658310338476,"A62(-0.460), A36(-0.457), A46(-0.362)"
Phoenix,PC1,1,hi_minus_lst,12,0.16144349314188794,0.4835476469444365,"A57(0.484), A01(-0.376), A43(0.302)"
Phoenix,PC2,2,median_household_income_clean,12,0.20552661075369338,0.5621430003707596,"A05(0.562), A63(-0.490), A13(0.265)"
Phoenix,PC2,2,hi_minus_lst,12,0.19637639860222034,0.4727580199134088,"A44(-0.473), A26(0.401), A61(-0.297)"
Phoenix,PC2,2,hi_c,12,0.1908554613957811,0.4273881986509248,"A06(0.427), A63(0.350), A23(-0.307)"
Phoenix,PC2,2,poverty_rate,12,0.17752460237503956,0.4267555307592123,"A63(0.427), A05(-0.426), A13(-0.225)"
Phoenix,PC3,3,hi_minus_lst,12,0.4053095974436927,0.6268421444412418,"A59(0.627), A21(-0.598), A33(0.536)"
Phoenix,PC3,3,lst_c,12,0.39743772509986747,0.5987549721798415,"A59(-0.599), A21(0.551), A33(-0.474)"
Phoenix,PC3,3,median_household_income_clean,12,0.35435286992581544,0.612618542372701,"A15(0.613), A07(0.607), A58(-0.593)"
Phoenix,PC3,3,poverty_rate,12,0.3391125594070831,0.5810085280863007,"A15(-0.581), A07(-0.557), A58(0.545)"
Phoenix,PC4,4,hi_minus_lst,12,0.26676849746772946,0.5357541868297884,"A28(-0.536), A53(0.445), A26(0.401)"
Phoenix,PC4,4,lst_c,12,0.2423125355430985,0.5345080033538656,"A28(0.535), A53(-0.499), A26(-0.370)"
Phoenix,PC4,4,hi_c,12,0.20619026525551717,0.43535493010714554,"A08(-0.435), A49(0.407), A03(-0.326)"
Phoenix,PC4,4,median_household_income_clean,12,0.18588506330838106,0.5290286407558645,"A49(-0.529), A09(-0.318), A31(0.285)"
