city,pc,sign,rank,embedding_dim,loading,abs_loading,explained_variance_ratio,cumulative_explained_variance
Houston,PC1,negative,1,A41,-0.17036057807857008,0.17036057807857008,0.3316581107188599,0.3316581107188599
Houston,PC1,negative,2,A55,-0.17077938377433807,0.17077938377433807,0.3316581107188599,0.3316581107188599
Houston,PC1,negative,3,A01,-0.17702210889150827,0.17702210889150827,0.3316581107188599,0.3316581107188599
Houston,PC1,negative,4,A62,-0.17968272897356544,0.17968272897356544,0.3316581107188599,0.3316581107188599
Houston,PC1,negative,5,A13,-0.18415389437338597,0.18415389437338597,0.3316581107188599,0.3316581107188599
Houston,PC1,negative,6,A07,-0.19557193606131865,0.19557193606131865,0.3316581107188599,0.3316581107188599
Houston,PC1,positive,1,A56,0.19749499714175076,0.19749499714175076,0.3316581107188599,0.3316581107188599
Houston,PC1,positive,2,A16,0.19430923996529,0.19430923996529,0.3316581107188599,0.3316581107188599
Houston,PC1,positive,3,A34,0.1922481075081102,0.1922481075081102,0.3316581107188599,0.3316581107188599
Houston,PC1,positive,4,A50,0.1794601686021968,0.1794601686021968,0.3316581107188599,0.3316581107188599
Houston,PC1,positive,5,A20,0.17601388869132548,0.17601388869132548,0.3316581107188599,0.3316581107188599
Houston,PC1,positive,6,A00,0.17532891459170497,0.17532891459170497,0.3316581107188599,0.3316581107188599
Houston,PC2,negative,1,A18,-0.19324189227175076,0.19324189227175076,0.17926325703850957,0.5109213677573695
Houston,PC2,negative,2,A44,-0.1961572992169584,0.1961572992169584,0.17926325703850957,0.5109213677573695
Houston,PC2,negative,3,A43,-0.20800552867267447,0.20800552867267447,0.17926325703850957,0.5109213677573695
Houston,PC2,negative,4,A08,-0.2182420730412987,0.2182420730412987,0.17926325703850957,0.5109213677573695
Houston,PC2,negative,5,A42,-0.2287034388403287,0.2287034388403287,0.17926325703850957,0.5109213677573695
Houston,PC2,negative,6,A25,-0.2292059913338159,0.2292059913338159,0.17926325703850957,0.5109213677573695
Houston,PC2,positive,1,A32,0.25876411175567254,0.25876411175567254,0.17926325703850957,0.5109213677573695
Houston,PC2,positive,2,A51,0.23521669900868827,0.23521669900868827,0.17926325703850957,0.5109213677573695
Houston,PC2,positive,3,A12,0.19666654986049517,0.19666654986049517,0.17926325703850957,0.5109213677573695
Houston,PC2,positive,4,A30,0.16038155972451903,0.16038155972451903,0.17926325703850957,0.5109213677573695
Houston,PC2,positive,5,A40,0.14789562322285849,0.14789562322285849,0.17926325703850957,0.5109213677573695
Houston,PC2,positive,6,A63,0.14079660130493138,0.14079660130493138,0.17926325703850957,0.5109213677573695
Houston,PC3,negative,1,A09,-0.20091029661541046,0.20091029661541046,0.09077491132503017,0.6016962790823996
Houston,PC3,negative,2,A19,-0.22377345895473547,0.22377345895473547,0.09077491132503017,0.6016962790823996
Houston,PC3,negative,3,A38,-0.23784752591967337,0.23784752591967337,0.09077491132503017,0.6016962790823996
Houston,PC3,negative,4,A24,-0.25407446896447317,0.25407446896447317,0.09077491132503017,0.6016962790823996
Houston,PC3,negative,5,A28,-0.2618879419394167,0.2618879419394167,0.09077491132503017,0.6016962790823996
Houston,PC3,negative,6,A31,-0.27260070112011725,0.27260070112011725,0.09077491132503017,0.6016962790823996
Houston,PC3,positive,1,A17,0.28553730600141564,0.28553730600141564,0.09077491132503017,0.6016962790823996
Houston,PC3,positive,2,A02,0.2658458487465599,0.2658458487465599,0.09077491132503017,0.6016962790823996
Houston,PC3,positive,3,A21,0.2322763026043844,0.2322763026043844,0.09077491132503017,0.6016962790823996
Houston,PC3,positive,4,A46,0.21259231374928717,0.21259231374928717,0.09077491132503017,0.6016962790823996
Houston,PC3,positive,5,A50,0.16366349894019258,0.16366349894019258,0.09077491132503017,0.6016962790823996
Houston,PC3,positive,6,A03,0.16353704445241735,0.16353704445241735,0.09077491132503017,0.6016962790823996
Houston,PC4,negative,1,A62,-0.1766495339753233,0.1766495339753233,0.07179264673015207,0.6734889258125517
Houston,PC4,negative,2,A48,-0.18332390770320528,0.18332390770320528,0.07179264673015207,0.6734889258125517
Houston,PC4,negative,3,A37,-0.19783214630365442,0.19783214630365442,0.07179264673015207,0.6734889258125517
Houston,PC4,negative,4,A11,-0.20710618732298947,0.20710618732298947,0.07179264673015207,0.6734889258125517
Houston,PC4,negative,5,A15,-0.21338502649680988,0.21338502649680988,0.07179264673015207,0.6734889258125517
Houston,PC4,negative,6,A22,-0.29639653082306544,0.29639653082306544,0.07179264673015207,0.6734889258125517
Houston,PC4,positive,1,A04,0.316699343709518,0.316699343709518,0.07179264673015207,0.6734889258125517
Houston,PC4,positive,2,A59,0.31170953369003257,0.31170953369003257,0.07179264673015207,0.6734889258125517
Houston,PC4,positive,3,A25,0.22584161234170827,0.22584161234170827,0.07179264673015207,0.6734889258125517
