pc,variable,spearman_r,n,abs_spearman_r
PC1,ALAND,-0.7256388787569361,654,0.7256388787569361
PC1,AWATER,-0.539278551999048,654,0.539278551999048
PC1,total_population,-0.2252612446129164,654,0.2252612446129164
PC1,total_population_clean,-0.2252612446129164,654,0.2252612446129164
PC1,below_poverty_count,-0.15173566969953017,654,0.15173566969953017
PC1,below_poverty_count_clean,-0.15173566969953017,654,0.15173566969953017
PC1,median_household_income,0.11605070057074386,654,0.11605070057074386
PC1,median_household_income_clean,0.10610020745458715,645,0.10610020745458715
PC1,poverty_rate,-0.051720381612941624,651,0.051720381612941624
PC2,median_household_income,-0.2738680516723745,654,0.2738680516723745
PC2,median_household_income_clean,-0.26522412256313027,645,0.26522412256313027
PC2,poverty_rate,0.2295017530441826,651,0.2295017530441826
PC2,below_poverty_count,0.13700592573039833,654,0.13700592573039833
PC2,below_poverty_count_clean,0.13700592573039833,654,0.13700592573039833
PC2,total_population,-0.12537761620652546,654,0.12537761620652546
PC2,total_population_clean,-0.12537761620652546,654,0.12537761620652546
PC2,AWATER,0.11806264590201043,654,0.11806264590201043
PC2,ALAND,-0.024741224087419095,654,0.024741224087419095
PC3,median_household_income_clean,-0.402839788177641,645,0.402839788177641
PC3,median_household_income,-0.38769101536930056,654,0.38769101536930056
PC3,poverty_rate,0.311559243950792,651,0.311559243950792
PC3,below_poverty_count,0.3029494483026155,654,0.3029494483026155
PC3,below_poverty_count_clean,0.3029494483026155,654,0.3029494483026155
PC3,AWATER,-0.15601144940178857,654,0.15601144940178857
PC3,total_population,0.028955245589517318,654,0.028955245589517318
PC3,total_population_clean,0.028955245589517318,654,0.028955245589517318
PC3,ALAND,-0.021771699773932035,654,0.021771699773932035
