STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,ALAND,AWATER,area_km2,city,total_population,median_household_income,total_population_clean,median_household_income_clean,poverty_universe,below_poverty_count,poverty_universe_clean,below_poverty_count_clean,poverty_rate,low_income_flag,high_poverty_flag,inequity_group,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,n_nonnull_embed
48,201,421101,48201421101,4211.01,Census Tract 4211.01,1238555,0,1.239310916337853,Houston,2646,57959,2646,57959.0,2646,762,2646,762,0.28798185941043086,True,True,Low income + High poverty,0.0187312712937588,-0.2564901100224712,0.1235082437086755,0.0962085296767865,-0.0185825662906634,-0.1002182126823088,-0.0329136253230335,-0.1442933247733507,-0.1685347240917526,0.0122256153978923,0.0646768978719451,0.0178152601769514,-0.189319049590544,-0.1753154959707153,-0.0975707330975451,-0.0564857549992193,0.0541747574768741,0.1227529244716046,-0.0463855777215824,-0.0456974355378531,-0.0109474607106946,0.0974091767145055,-0.2138295295190584,-0.0885824444936248,-0.1413999032796676,0.2064384052102923,0.0124781849069667,0.037996313926022,-0.0459134900701215,0.1398711652106553,0.1507673093283641,-0.1088466809051493,0.0011858652467301,-0.0903434294924294,-0.0314252898910984,0.0325765162887888,-0.1427207865748522,-0.0542740252346577,-0.0093218482705875,0.1037635960342436,-0.0508283705257319,-0.037651572258698,0.0435906042576518,0.0103118474913855,0.0465628572552617,0.1283565945148657,-0.0171630268011694,0.0448101611271285,0.177364174825783,-0.0240300046681409,-0.0215045057726626,0.1175978239351499,-0.2731183881670087,0.1416414656914997,0.1604823517927441,-0.2156069434185053,0.0230210833091252,0.0697637836173055,0.1551557754813435,-0.0338348698027327,0.0116380332510565,-0.098969676618974,-0.1667298743967046,0.0475287425977469,64
48,201,423301,48201423301,4233.01,Census Tract 4233.01,1654036,22924,1.6780739256949924,Houston,4897,61979,4897,61979.0,4897,499,4897,499,0.1018991219113743,False,False,High income + Low poverty,0.0346967973941868,-0.2790587488955751,0.1161544615462421,0.1615756815752811,0.0049483042412144,-0.0574619571395258,-0.0632238282052469,-0.1134280938182769,-0.0683184125501711,-0.0724541481988892,0.0636514150872648,0.0068362596736007,-0.2351268014505044,-0.1587885386134611,-0.0880226059446036,0.0328960829127799,-0.0252540237175418,0.1643220785066632,0.0093496274912264,-0.0478152169443525,-0.0625577700537376,0.1278976104049033,-0.1230125679090769,-0.0458823137289672,-0.0929241548450138,0.2899018286001782,0.0053232164843453,-0.0241878758676871,-0.0111308110381648,0.1226079661611838,0.1029574405553041,-0.143943864548186,-0.0854100279088065,-0.0280381880275898,-0.0441880208873074,0.0506276795922578,-0.1298162052668866,-0.1026927169149962,-0.0086359533015867,0.0457913641746631,-0.0770503214394448,-0.0647832056731336,0.0966511194430454,0.0900917970280377,0.0815938975468477,0.1027800776996577,-0.0281372648591652,0.0411181283346986,0.2036580505488651,-0.0724744198848892,-0.03437443528499,-0.0275216533992241,-0.2512467797538694,0.2224416328047966,0.1381344598829315,-0.2530127526446259,0.0376948817180135,0.0720235568547675,0.1150969421574801,-0.0899418685866317,0.0670554633640053,-0.00462088125168,-0.1193708552471233,0.031185188160837,64
48,201,453401,48201453401,4534.01,Census Tract 4534.01,963415,0,0.9641231439176076,Houston,2953,72572,2953,72572.0,2940,714,2940,714,0.24285714285714285,False,True,High income + High poverty,0.0516499864973427,-0.2883836057850525,0.1132081436801597,0.1553847419565382,0.0008459251342392,-0.0822651446055036,-0.0617688802126266,-0.1139927817612293,-0.1073882335464283,-0.0566105372870617,0.0439758499428085,0.0307490467684136,-0.2208924462124721,-0.1639166524829654,-0.1092391339495673,0.0025514400504094,0.0055886180364902,0.1682954805050112,0.001317534944031,-0.0304898420594753,-0.0689794799831791,0.1432001231824817,-0.1301413291596299,-0.0497266766705289,-0.06886756307763,0.3124485361157517,0.0292785936674977,-0.0148370134472851,-0.0009481540401534,0.0976086290905555,0.0894389056237996,-0.1273245113487843,-0.089786503052852,-0.0424115183937744,0.0249389171911657,0.0275532125781137,-0.133749417959623,-0.1009884914677484,0.0120975517550994,0.0515304763955937,-0.0705261013176159,-0.0806533340186793,0.0900751272414435,0.0729038852730171,0.0743516359232657,0.0956664450188578,-0.0261677610992524,0.0354709481458573,0.2085106371389304,-0.07520350154583,0.0068220525299098,-0.0131113229604047,-0.2438324165909623,0.2089442605175986,0.1386949797450444,-0.2672561158490681,0.0580730061456111,0.0480505412229081,0.0948216820065122,-0.0799868279659521,0.0962724455685931,0.018347096540214,-0.1268327204166032,0.0329041783570424,64
48,201,331100,48201331100,3311,Census Tract 3311,3231321,0,3.23292758453961,Houston,3979,53974,3979,53974.0,3972,1034,3972,1034,0.26032225579053375,True,True,Low income + High poverty,0.0217264693719013,-0.240182458275073,0.1273342621298406,0.1663917194802913,0.0300123712457516,-0.0310221369804339,-0.0091878331713815,-0.1211931024398611,-0.0903056276786681,0.0050684440651983,0.0331285821967355,-0.0326035099489028,-0.2293904139281536,-0.166911607309698,-0.1179994023811526,-0.0345489547420911,-0.0119914447926409,0.1356375409727207,-0.0333847845544029,-0.0484189246499139,-0.0801350346712921,0.1249960902215613,-0.1976462509057008,-0.0460896123774866,-0.1047049015028714,0.2913780843058829,-0.0386305796790526,-0.0338159726615399,0.0043099506841709,0.1745426188490807,0.1055019606488889,-0.133794489392074,-0.048382224157497,-0.0711004843238986,-0.0314292046207798,0.0481701681397782,-0.1439001202004141,-0.1298791813940797,-0.0020192260841553,0.0298251876772925,-0.0650528481457233,-0.0421217621248116,0.0902208963803481,0.0482458465721853,0.0788422749321419,0.1086423476658808,-0.0177282514557386,-0.0012345254525054,0.179474220179238,-0.0590310516983645,-0.0613174225261658,-0.0035318042311006,-0.2478844645833955,0.2237420734072709,0.1235490335625969,-0.2194744361053725,0.0024252707855468,0.0728474897164889,0.1313997301970604,-0.0297470554971757,0.02016973619056,-0.0506831539318901,-0.1439539862671968,0.0447892177625177,64
48,201,331200,48201331200,3312,Census Tract 3312,3546122,0,3.547892747988621,Houston,5051,29650,5051,29650.0,5037,2017,5037,2017,0.4004367679174112,True,True,Low income + High poverty,-0.0134000843000689,-0.2042260423321065,0.103653490134201,0.1717459072182752,0.0093592213766954,-0.004845241079814,0.0004659640797864,-0.0356280274851046,-0.0551092721962406,0.0493603410567542,0.0200150625599532,-0.02976720895894,-0.2139034775739887,-0.1227479935618511,-0.0935343897737839,0.0075843199979916,-0.0763069421222711,0.103691855936286,-0.057168584110809,-0.063211846513455,-0.1326859907228048,0.1290789402076957,-0.1594189028202931,-0.0365393911800144,-0.10688839072491,0.254078343371911,-0.102290214025068,-0.0267528708892912,0.0230485349562869,0.1970580120734648,0.0978797775829509,-0.1270669126431517,0.0113103324070845,-0.0694616944401874,-0.1038435011010238,0.0725021760595924,-0.1239230343265338,-0.1540384707786867,0.0065243886984649,-0.0176466726005327,-0.0519050525146541,-0.009367139612733,0.1161670498889458,0.052288562252789,0.0618858986692015,0.0994891482402595,-0.0061253462819715,-0.0245822318411916,0.1939498191886621,-0.0343524242196415,-0.1226153905883064,-0.0420331877624441,-0.1893572363662857,0.2615044675622364,0.0654951942145318,-0.1843443544921142,-0.0763803856921585,0.0572161478009483,0.1441686442997635,-0.0189623478413147,-0.0246453546662371,-0.1285600252877966,-0.0817811784046727,0.0216583121459754,64
48,201,331300,48201331300,3313,Census Tract 3313,4538667,24568,4.565564519123447,Houston,4823,49222,4823,49222.0,4823,1372,4823,1372,0.2844702467343977,True,True,Low income + High poverty,-0.061048419330559,-0.1712869528478554,0.1381276313108948,0.167399709012039,0.0072287072419612,0.0714914873959875,0.0208052124091199,-0.0630443845280283,-0.0847332446763071,0.0438055318883186,0.0254411204349533,-0.0503978147907092,-0.2098903867298902,-0.0815551340009211,-0.1048277626019291,-0.0239324676629063,-0.0669244608393355,0.1211110643480462,-0.0486346155057681,-0.0457173892104304,-0.1321141739577291,0.1426282405989282,-0.1878682176713943,-0.0557099962864907,-0.1343314646984066,0.271341120201211,-0.0479365763258185,-0.0744186916587158,-0.0102257018359085,0.1801825417851343,0.0944494204660404,-0.1445193328832855,-0.0030131395738641,-0.0772950141028613,-0.1162115677328251,0.1085781694267277,-0.0882859018597856,-0.132491546637004,3.6938713222643994e-05,0.0347302631355352,-0.0451677287587443,-0.0220494768250524,0.0934956692629062,0.0391509228351615,0.0367875347293495,0.1252924481541771,0.0164699469809572,0.0103334970116169,0.168754820667082,-0.0204491627031716,-0.094739828603739,-0.0137252663837889,-0.1962120793122558,0.2137061686073072,0.1237439559726183,-0.1677224307226246,-0.0861547279031998,0.0769415383155137,0.1398769805278195,-0.0338453358822615,-0.0265969203334703,-0.1046082390315976,-0.0781064026306634,0.0298198766139049,64
48,201,331400,48201331400,3314,Census Tract 3314,1557754,13166,1.5716870085504633,Houston,3281,21580,3281,21580.0,3281,2543,3281,2543,0.7750685766534593,True,True,Low income + High poverty,-0.0943090049282961,-0.1587144156513402,0.1234113077212784,0.1583425179236929,-0.0256746827303646,0.0407293088472948,0.0255103164308735,-0.0477968238015414,-0.0875104075559491,0.0245022241045462,0.0065599548901454,-0.0508204671017282,-0.1727865358558637,-0.0606132711159587,-0.0832537925633869,0.0120196180004715,-0.0562958171470283,0.1567038436032073,-0.0705825482244271,-0.0252808190537964,-0.1578758025183811,0.1512270712983958,-0.2069081181243789,-0.0527692394411126,-0.1223405516029316,0.2595496318411583,-0.0697823859456804,-0.1446707610654527,-0.0379414170011395,0.2139594379876793,0.0597326871033181,-0.1612522112105513,-0.0042722266377814,-0.0923399671696987,-0.1607555951194565,0.1193038462285017,-0.0903763821528978,-0.1454748666600769,-0.0058451196437245,0.0055919153701579,-0.0356022196562193,-0.0204208086376562,0.0847098422801771,0.0608452857323771,0.0048141612695517,0.111845774468425,0.0017582177335271,-0.0205176083337424,0.1663695246367434,-0.0093467205553121,-0.0984306050816218,-0.0336672811742378,-0.1727409403217678,0.2327105529125268,0.1015025010683727,-0.0824750170038431,-0.1157176198983892,0.0970822933150433,0.1093052846505094,-0.0613661011556542,-0.052262995823894,-0.0856799698307139,-0.1003009449671887,0.0561606874779463,64
48,201,321700,48201321700,3217,Census Tract 3217,1929788,6157,1.9366352882054383,Houston,3243,73970,3243,73970.0,3236,355,3236,355,0.10970333745364648,False,False,High income + Low poverty,0.001378801582783,-0.2561864568034685,0.1381711942102275,0.1557359411064365,0.0172609928905974,0.0015327634577734,-0.0377539360183454,-0.1032392194813365,-0.083309499708479,-0.0182535092327608,0.0518953922888826,-0.0234766099983326,-0.2155713926741004,-0.1451047372003511,-0.0900368529642181,0.006055733616359,-0.0229570589661958,0.1454088531704011,-0.0002324901489287,-0.0368388082282659,-0.0942977447229525,0.1367426553720533,-0.1659221910538905,-0.0384470149112807,-0.1075879337071167,0.320590978284262,0.0131215312540142,-0.0269231984428238,-0.0148492363486181,0.1442726358162391,0.0900813441845667,-0.1398001238532292,-0.1045173060472383,-0.0452574182881878,-0.0553483298600918,0.0335744907018446,-0.1210070036615577,-0.1019427226738123,-0.0105239914075701,0.038088020286869,-0.0629934314256747,-0.0500563942556635,0.0939466861266076,0.0518652637455168,0.1025006565229697,0.1127804053959982,-0.0147761854355093,0.0244444349025254,0.1824915470613761,-0.0430323574496321,-0.0709513467244673,-0.0393203746192282,-0.2424959500804099,0.2055400159108475,0.1505920959639199,-0.2254102286471275,-0.0083379020259953,0.056849145198682,0.1261438680738113,-0.0499198739347833,0.04834072726207,-0.027938544989082,-0.1154180182266274,0.0110913474342774,64
48,201,521402,48201521402,5214.02,Census Tract 5214.02,930581,0,0.9311810027518986,Houston,3413,51042,3413,51042.0,3413,1306,3413,1306,0.382654556108995,True,True,Low income + High poverty,0.0410604098674331,-0.2663082534008111,0.1273584697791359,0.1541972351788284,-0.0114796005286134,-0.0624172206689314,-0.0433163917925667,-0.1245729129072523,-0.0903004307948102,-0.0607041544974056,0.0438933809830581,0.0076030453782323,-0.2427506653455053,-0.1531875541732,-0.0957213688801449,0.0156411238961834,-0.0296037141633943,0.1598619839281231,0.0065415778764626,-0.0271657397119728,-0.0713911582158688,0.1598109613079586,-0.1342510266420496,-0.0471241879731184,-0.0971944288159948,0.3131270992079066,-0.0076574991973801,-0.0071037443716409,0.0046147878733284,0.1065682526224246,0.1075971263117319,-0.1430028125034688,-0.0922865386131093,-0.0299996595249303,-0.006497135300126,0.0369154112328834,-0.1488217353738811,-0.0881191640636164,-0.0049242432280087,0.000330854708982,-0.0858107972649875,-0.062492749435504,0.0962878702823755,0.0798237135445231,0.0847403924569034,0.1099790037711755,-0.0084086467750396,0.0290193363552453,0.2106084787219653,-0.0667168422636625,-0.0380821923428763,-0.0331151632507314,-0.254741731286734,0.2123223376863293,0.1355854109100908,-0.2496890698978131,0.0268255721585085,0.061946353570823,0.117361557740254,-0.0688638271772133,0.0727789564391394,-0.0132923526381167,-0.1354258518634725,0.0239220931407135,64
48,201,250901,48201250901,2509.01,Census Tract 2509.01,3415734,1170962,4.587978185680629,Houston,4022,97010,4022,97010.0,4022,366,4022,366,0.09099950273495773,False,False,High income + Low poverty,0.0041070642207752,-0.2208336005908673,-0.0003191656502837,0.1474547166312295,-0.0383475748269753,-0.0148847491700267,-0.0084326822853865,-0.0253105723009746,-0.0728867694460304,0.062365643047693,0.0334062631881285,-0.0622101710284865,-0.1991253282646295,-0.0941393308604661,-0.049682753448354,0.0602713714777459,-0.0936132031835936,0.0060976302201949,-0.027107591021919,-0.0278557706930423,-0.0652213944644405,0.059903839242589,-0.1413404673604588,-0.0187561829553915,-0.090715799228726,0.1964069238985612,-0.0450170661033895,-0.038940465116843,0.0499654031161435,0.1357855784859861,0.0672597773470234,-0.0456817095840352,-0.0758460023343575,-0.0048063412229653,-0.1371092297263194,0.043303881781594,-0.0676432418198739,-0.0934673346107468,0.0137689152131869,0.0196327989200627,-0.1446910495226139,0.0018852927619139,0.1490665785878958,0.0758892757848709,0.0754767935455401,0.1570199770511657,-0.0744648486457308,0.0212290036600428,0.143430165104218,-0.0953211901990063,-0.1528516823335454,-0.0396166320860364,-0.146887710148816,0.1704324023489565,0.1121136173977077,-0.1691967169216969,-0.0278531111007874,0.1284614774900714,0.1942754427901547,-0.0870164535636507,0.0023082071045007,-0.1215084542669506,0.0172158842685534,0.0672761000130997,64
