GEOID,city,STATEFP,COUNTYFP,TRACTCE,NAME,NAMELSAD,ALAND,AWATER,area_km2,total_population,total_population_clean,median_household_income_clean,poverty_rate,lst_c,air_temp_c,rh_pct,hi_c,hi_minus_lst
32001950100,las_vegas,32,001,950100,9501,Census Tract 9501,9579192495,144611540,9718.544252748712,,,,,,,,,
32001950301,las_vegas,32,001,950301,9503.01,Census Tract 9503.01,4483313,0,4.4822799977737855,,,,,,,,,
32001950302,las_vegas,32,001,950302,9503.02,Census Tract 9503.02,5825693,0,5.824439789800966,,,,,,,,,
32001950400,las_vegas,32,001,950400,9504,Census Tract 9504,33945200,85200,34.0212125071524,,,,,,,,,
32001950500,las_vegas,32,001,950500,9505,Census Tract 9505,381112780,6227866,387.2296770377582,,,,,,,,,
32001950600,las_vegas,32,001,950600,9506,Census Tract 9506,1813277003,14960975,1828.0509782596705,,,,,,,,,
32001950700,las_vegas,32,001,950700,9507,Census Tract 9507,1003011317,24857410,1027.7115501257535,,,,,,,,,
32003000101,las_vegas,32,003,000101,1.01,Census Tract 1.01,3767445,16683,3.783566463525683,,,,,,,,,
32003000103,las_vegas,32,003,000103,1.03,Census Tract 1.03,1298899,0,1.2986673988219442,,,,,,,,,
32003000105,las_vegas,32,003,000105,1.05,Census Tract 1.05,2034699,0,2.0343843813551707,,,,,,,,,
32003000106,las_vegas,32,003,000106,1.06,Census Tract 1.06,1361238,0,1.36101212401556,,,,,,,,,
32003000107,las_vegas,32,003,000107,1.07,Census Tract 1.07,1248433,0,1.2482280429266148,,,,,,,,,
32003000108,las_vegas,32,003,000108,1.08,Census Tract 1.08,959920,0,0.9597628183887102,,,,,,,,,
32003000109,las_vegas,32,003,000109,1.09,Census Tract 1.09,968318,0,0.9681550905130628,,,,,,,,,
32003000201,las_vegas,32,003,000201,2.01,Census Tract 2.01,2185454,0,2.185165317564316,,,,,,,,,
32003000203,las_vegas,32,003,000203,2.03,Census Tract 2.03,2033657,0,2.0333927960851033,,,,,,,,,
32003000204,las_vegas,32,003,000204,2.04,Census Tract 2.04,1738371,0,1.738143197265926,,,,,,,,,
32003000301,las_vegas,32,003,000301,3.01,Census Tract 3.01,3657040,0,3.6566043028309423,,,,,,,,,
32003000302,las_vegas,32,003,000302,3.02,Census Tract 3.02,2309196,0,2.3089085063789514,,,,,,,,,
32003000401,las_vegas,32,003,000401,4.01,Census Tract 4.01,933885,0,0.9337833522696054,,,,,,,,,
