path,name,matched_text_keys,n_matches
/Users/yufeizhou/Desktop/heat-exposure-compare/notebooks/04_heat_pilot_setup.ipynb,04_heat_pilot_setup.ipynb,"air_temp_c, heat index, hi_c, relative humidity",4
/Users/yufeizhou/Desktop/heat-exposure-compare/notebooks/04_heat_pilot_setup.ipynb,04_heat_pilot_setup.ipynb,"air_temp_c, heat index, hi_c, relative humidity",4
/Users/yufeizhou/Desktop/heat-exposure-compare/notebooks/05_rq1_city_comparison.ipynb,05_rq1_city_comparison.ipynb,"heat index, hi_c, hi_minus_lst, relative humidity",4
/Users/yufeizhou/Desktop/heat-exposure-compare/notebooks/05_rq1_city_comparison.ipynb,05_rq1_city_comparison.ipynb,"heat index, hi_c, hi_minus_lst, relative humidity",4
/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/las_vegas/final/las_vegas_heat_extraction_input_readme.md,las_vegas_heat_extraction_input_readme.md,"air_temp_c, hi_c, hi_minus_lst, rh_pct",4
/Users/yufeizhou/Desktop/heat-exposure-compare/city_intake/las_vegas/final/las_vegas_heat_master_template_readme.md,las_vegas_heat_master_template_readme.md,"air_temp_c, hi_c, hi_minus_lst, rh_pct",4
/Users/yufeizhou/Desktop/heat-exposure-compare/notebooks/08_rq1_deep_dive_maps.ipynb,08_rq1_deep_dive_maps.ipynb,"heat index, hi_c, hi_minus_lst",3
/Users/yufeizhou/Desktop/heat-exposure-compare/notebooks/08_rq1_deep_dive_maps.ipynb,08_rq1_deep_dive_maps.ipynb,"heat index, hi_c, hi_minus_lst",3
/Users/yufeizhou/Desktop/heat-exposure-compare/notebooks/07_build_new_city_inputs.ipynb,07_build_new_city_inputs.ipynb,"heat index, hi_c",2
/Users/yufeizhou/Desktop/heat-exposure-compare/notebooks/07_build_new_city_inputs.ipynb,07_build_new_city_inputs.ipynb,"heat index, hi_c",2
/Users/yufeizhou/Desktop/heat-exposure-compare/notebooks/09_rq1_interactive_overlay_maps.ipynb,09_rq1_interactive_overlay_maps.ipynb,"heat index, hi_c",2
/Users/yufeizhou/Desktop/heat-exposure-compare/notebooks/09_rq1_interactive_overlay_maps.ipynb,09_rq1_interactive_overlay_maps.ipynb,"heat index, hi_c",2
/Users/yufeizhou/Desktop/heat-exposure-compare/notebooks/10_alphaearth_pc_interpretation.ipynb,10_alphaearth_pc_interpretation.ipynb,"hi_c, hi_minus_lst",2
