city,GEOID,lst_c,hi_c,hi_minus_lst_z,mismatch_class,priority_flag
houston,48201554809,48.381186596864104,33.80729690919834,-4.644311265241285,Neither hotspot,False
phoenix,04013613300,58.40586967174826,31.306490363261293,-4.283169776312115,LST-only hotspot,False
houston,48201552002,50.807701171289615,33.93924337591106,-3.8629861577379874,LST-only hotspot,False
phoenix,04013612402,60.280839598751925,32.31501968078751,-3.565701824848951,LST-only hotspot,False
houston,48201553300,50.00298882063431,33.94824273698787,-3.441963821826567,LST-only hotspot,False
houston,48201552603,50.08238170672362,34.00160875013897,-2.784070845374507,LST-only hotspot,False
phoenix,04013611300,58.81312123015694,32.30897859005257,-2.73831594808966,LST-only hotspot,False
houston,48201251200,42.86310211184123,33.80516410259068,-2.5803276994591746,Neither hotspot,True
phoenix,04013613000,55.39096623539749,31.306490363261293,-2.561599341432533,Neither hotspot,False
phoenix,04013610002,58.81344082682895,32.424856621511154,-2.5330477319618843,LST-only hotspot,False
houston,48201540504,51.32889949118106,34.058837858159514,-2.5187424073656244,LST-only hotspot,False
phoenix,04013611900,58.40556559112432,32.30897859005257,-2.5055934899613614,LST-only hotspot,False
phoenix,04013104219,59.2802660584659,32.62849711203191,-2.438561551884192,LST-only hotspot,False
houston,48201251402,44.146570763715886,33.85616989910326,-2.4092342498194963,Neither hotspot,True
phoenix,04013612500,55.058107799575644,31.306490363261293,-2.371530487086485,Neither hotspot,False
phoenix,04013612301,58.15587061556585,32.31501968078751,-2.352301842487578,Neither hotspot,False
houston,48201511202,50.969490255523816,34.06943130034954,-2.245949466617494,LST-only hotspot,False
phoenix,04013615201,58.717939281819234,32.58828848276658,-2.1887512043307873,LST-only hotspot,False
houston,48201534002,49.20076265790208,34.02301365415947,-2.1739691800182275,Neither hotspot,False
houston,48201221502,50.58214239840533,34.067329047283266,-2.126237688081414,LST-only hotspot,False
houston,48201520601,50.61876663236508,34.06943130034954,-2.1130172500930557,LST-only hotspot,False
houston,48201542305,50.56563089591627,34.06800545457297,-2.1112593371817647,LST-only hotspot,False
phoenix,04013612600,54.59680028240158,31.306490363261293,-2.1081146266051167,Neither hotspot,False
phoenix,04013612200,57.71990789336617,32.31501968078751,-2.1033583691413646,Neither hotspot,False
houston,48201532301,50.71922815205028,34.075192871938214,-2.0768173413239577,LST-only hotspot,False
houston,48201521201,50.65464116224323,34.075192871938214,-2.052337405708654,LST-only hotspot,False
phoenix,04013104000,58.531964264066715,32.62849711203191,-2.0112661930768563,LST-only hotspot,False
houston,48201240101,48.43812372817606,34.014314113169966,-1.997064568589899,Neither hotspot,False
houston,48201520501,50.270563886610915,34.06943130034954,-1.9810405033426752,LST-only hotspot,False
phoenix,04013612000,57.47156372901357,32.31501968078751,-1.961548861788847,Neither hotspot,False
