city,i,j,class_i,class_j,pair_label,same_class
houston,0,376,HI-only hotspot,Both LST and HI hotspot,Both | HI-only,False
houston,0,344,HI-only hotspot,Both LST and HI hotspot,Both | HI-only,False
houston,0,429,HI-only hotspot,HI-only hotspot,HI-only | HI-only,True
houston,0,427,HI-only hotspot,Both LST and HI hotspot,Both | HI-only,False
houston,0,315,HI-only hotspot,Both LST and HI hotspot,Both | HI-only,False
houston,0,476,HI-only hotspot,HI-only hotspot,HI-only | HI-only,True
houston,1,217,HI-only hotspot,HI-only hotspot,HI-only | HI-only,True
houston,1,339,HI-only hotspot,HI-only hotspot,HI-only | HI-only,True
houston,1,251,HI-only hotspot,HI-only hotspot,HI-only | HI-only,True
houston,1,377,HI-only hotspot,HI-only hotspot,HI-only | HI-only,True
houston,1,207,HI-only hotspot,Both LST and HI hotspot,Both | HI-only,False
houston,1,541,HI-only hotspot,Both LST and HI hotspot,Both | HI-only,False
houston,1,543,HI-only hotspot,Neither hotspot,HI-only | Neither,False
houston,1,542,HI-only hotspot,Neither hotspot,HI-only | Neither,False
houston,2,416,Both LST and HI hotspot,HI-only hotspot,Both | HI-only,False
houston,2,177,Both LST and HI hotspot,Both LST and HI hotspot,Both | Both,True
houston,2,196,Both LST and HI hotspot,Both LST and HI hotspot,Both | Both,True
houston,2,383,Both LST and HI hotspot,Both LST and HI hotspot,Both | Both,True
houston,3,4,LST-only hotspot,Neither hotspot,LST-only | Neither,False
houston,3,72,LST-only hotspot,Neither hotspot,LST-only | Neither,False
houston,3,220,LST-only hotspot,Neither hotspot,LST-only | Neither,False
houston,3,482,LST-only hotspot,LST-only hotspot,LST-only | LST-only,True
houston,3,232,LST-only hotspot,LST-only hotspot,LST-only | LST-only,True
houston,3,294,LST-only hotspot,Neither hotspot,LST-only | Neither,False
houston,3,445,LST-only hotspot,Neither hotspot,LST-only | Neither,False
houston,3,446,LST-only hotspot,Neither hotspot,LST-only | Neither,False
houston,4,293,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,4,6,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,4,72,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,4,5,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,4,220,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,5,454,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,5,6,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,5,211,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,5,220,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,6,454,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,6,523,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,6,292,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,6,293,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,7,185,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,7,467,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,8,80,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,8,202,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,8,509,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,8,500,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,8,213,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,9,313,LST-only hotspot,HI-only hotspot,HI-only | LST-only,False
houston,9,192,LST-only hotspot,Both LST and HI hotspot,Both | LST-only,False
houston,9,83,LST-only hotspot,LST-only hotspot,LST-only | LST-only,True
houston,9,345,LST-only hotspot,LST-only hotspot,LST-only | LST-only,True
houston,9,491,LST-only hotspot,LST-only hotspot,LST-only | LST-only,True
houston,9,361,LST-only hotspot,LST-only hotspot,LST-only | LST-only,True
houston,9,222,LST-only hotspot,LST-only hotspot,LST-only | LST-only,True
houston,9,29,LST-only hotspot,Neither hotspot,LST-only | Neither,False
houston,9,281,LST-only hotspot,LST-only hotspot,LST-only | LST-only,True
houston,9,282,LST-only hotspot,Neither hotspot,LST-only | Neither,False
houston,10,29,LST-only hotspot,Neither hotspot,LST-only | Neither,False
houston,10,11,LST-only hotspot,Neither hotspot,LST-only | Neither,False
houston,10,409,LST-only hotspot,LST-only hotspot,LST-only | LST-only,True
houston,10,366,LST-only hotspot,Neither hotspot,LST-only | Neither,False
houston,10,150,LST-only hotspot,Neither hotspot,LST-only | Neither,False
houston,11,29,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,11,60,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,11,409,Neither hotspot,LST-only hotspot,LST-only | Neither,False
houston,12,30,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,12,491,Neither hotspot,LST-only hotspot,LST-only | Neither,False
houston,12,361,Neither hotspot,LST-only hotspot,LST-only | Neither,False
houston,13,341,LST-only hotspot,Neither hotspot,LST-only | Neither,False
houston,13,30,LST-only hotspot,Neither hotspot,LST-only | Neither,False
houston,13,365,LST-only hotspot,Neither hotspot,LST-only | Neither,False
houston,13,361,LST-only hotspot,LST-only hotspot,LST-only | LST-only,True
houston,14,76,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,14,15,Neither hotspot,LST-only hotspot,LST-only | Neither,False
houston,14,96,Neither hotspot,LST-only hotspot,LST-only | Neither,False
houston,14,59,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,14,537,Neither hotspot,LST-only hotspot,LST-only | Neither,False
houston,15,76,LST-only hotspot,Neither hotspot,LST-only | Neither,False
houston,15,131,LST-only hotspot,Neither hotspot,LST-only | Neither,False
houston,15,156,LST-only hotspot,Neither hotspot,LST-only | Neither,False
houston,15,537,LST-only hotspot,LST-only hotspot,LST-only | LST-only,True
houston,16,471,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,16,516,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,17,237,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,17,369,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,17,18,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,17,179,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,17,178,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,18,237,Neither hotspot,Neither hotspot,Neither | Neither,True
houston,18,236,Neither hotspot,Neither hotspot,Neither | Neither,True
