shift_path_bin,n,mean_hi_minus_lst_pct,median_hi_minus_lst_pct,priority_pct,mean_lst_c,mean_hi_c,city
0-20%,26,0.21913969454953058,0.1256830601092896,50.0,48.10270531765006,34.1957281874232,houston
20-40%,12,0.020643594414086208,-0.0318761384335155,41.66666666666667,50.06160890187641,34.19809785111112,houston
40-60%,2,-0.032786885245901676,-0.032786885245901676,0.0,50.083041529916386,34.19809785111112,houston
60-80%,4,0.3324225865209472,0.35792349726775957,25.0,47.718147660858705,34.19202079399131,houston
80-100%,21,0.12464220660941974,0.1502732240437159,19.047619047619047,48.78477729868552,34.19005068827128,houston
0-20%,21,-0.40655479059093524,-0.3900602409638554,0.0,57.34785020135839,32.51828279508168,phoenix
20-40%,23,-0.3309979046621268,-0.3780120481927711,13.043478260869565,57.29158385099731,32.704209106581864,phoenix
40-60%,27,-0.11813922356091033,-0.10843373493975905,25.925925925925924,56.980280577959775,33.307652800449276,phoenix
60-80%,22,-0.028751369112814874,0.0007530120481927804,22.727272727272727,57.80844786745343,33.55697033077599,phoenix
80-100%,22,0.12185104052573935,0.1340361445783133,59.09090909090909,58.00704220350752,33.72982013322338,phoenix
0-20%,4,-0.44268558951965065,-0.47707423580786024,0.0,48.81351637024544,31.18817590039249,las_vegas
20-40%,5,0.18558951965065504,0.14847161572052403,60.0,48.15307079871492,32.71354000246714,las_vegas
40-60%,0,,,,,,las_vegas
60-80%,0,,,,,,las_vegas
80-100%,1,0.33842794759825334,0.33842794759825334,100.0,47.40568457565621,32.65889608934392,las_vegas
