pc,explained_variance_ratio,cumulative_explained_variance
1,0.32801050180082625,0.32801050180082625
2,0.16278531083630146,0.4907958126371277
3,0.13671836734705262,0.6275141799841804
4,0.07617614484853572,0.7036903248327161
5,0.07242873433172195,0.776119059164438
6,0.04816467097928609,0.8242837301437241
7,0.025586423739900107,0.8498701538836242
8,0.017930861102440368,0.8678010149860645
9,0.017110931388281677,0.8849119463743462
10,0.01592426512674481,0.900836211501091
11,0.013174795687486026,0.9140110071885771
12,0.01056115879385818,0.9245721659824353
13,0.010091875479722427,0.9346640414621578
14,0.0077369580280401895,0.942400999490198
15,0.00663670152559092,0.9490377010157889
16,0.005979363181450964,0.9550170641972399
17,0.0055539587834274535,0.9605710229806673
18,0.004493953747729966,0.9650649767283973
19,0.003884374065774577,0.9689493507941719
20,0.0035906795419709822,0.9725400303361429
21,0.0028032872103537,0.9753433175464966
22,0.002792914894848228,0.9781362324413448
23,0.001947072601993895,0.9800833050433387
24,0.0018421159322213195,0.98192542097556
25,0.0017099036869847742,0.9836353246625448
26,0.0016907665261807247,0.9853260911887255
27,0.0014582062414677547,0.9867842974301932
28,0.001339695213742838,0.9881239926439361
29,0.001188986790189522,0.9893129794341257
30,0.001040882289276194,0.9903538617234019
31,0.0009615474755426842,0.9913154091989446
32,0.0008590804241857769,0.9921744896231304
33,0.0008378358327714432,0.9930123254559018
34,0.0007102248260758881,0.9937225502819776
35,0.0006465020606293411,0.994369052342607
36,0.0005975891448322233,0.9949666414874392
37,0.0005116333844535345,0.9954782748718927
38,0.0004839028576745859,0.9959621777295673
39,0.000420378740152826,0.9963825564697201
40,0.0003699490106999728,0.99675250548042
41,0.00035031028100066414,0.9971028157614207
42,0.0003333576791907836,0.9974361734406114
43,0.0003024545410486287,0.99773862798166
44,0.00025917876892278714,0.9979978067505828
45,0.00023955402736559718,0.9982373607779484
46,0.0002221211476089209,0.9984594819255573
47,0.00019027992532921826,0.9986497618508866
48,0.0001796023233808737,0.9988293641742675
49,0.00015550512885944106,0.9989848693031269
50,0.00013760643663883929,0.9991224757397658
51,0.00011712098731769252,0.9992395967270834
52,0.00010177789506377345,0.9993413746221472
53,9.625602071917717e-05,0.9994376306428664
54,9.10538156830723e-05,0.9995286844585495
55,8.243131040597341e-05,0.9996111157689554
56,6.617719416338035e-05,0.9996772929631188
57,6.073603175352118e-05,0.9997380289948723
58,5.564376733427908e-05,0.9997936727622065
59,4.994869237147385e-05,0.9998436214545781
60,4.715056094831093e-05,0.9998907720155263
61,3.953398541278928e-05,0.9999303060009391
62,3.2711761747150986e-05,0.9999630177626863
63,2.2649916496883542e-05,0.9999856676791832
64,1.4332320816694212e-05,0.9999999999999999
