STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,ALAND,AWATER,area_km2,city,total_population,median_household_income,total_population_clean,median_household_income_clean,poverty_universe,below_poverty_count,poverty_universe_clean,below_poverty_count_clean,poverty_rate,low_income_flag,high_poverty_flag,inequity_group,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,n_nonnull_embed
04,013,117200,04013117200,1172,Census Tract 1172,7360771,0,7.35659509597991,Phoenix,1125,65735,1125,65735.0,1125,292,1125,292,0.25955555555555554,True,True,Low income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,082016,04013082016,820.16,Census Tract 820.16,5194775,1855,5.194239031824162,Phoenix,4197,90156,4197,90156.0,4149,530,4149,530,0.1277416244878284,False,False,High income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,104402,04013104402,1044.02,Census Tract 1044.02,2556177,25320,2.580104783518164,Phoenix,2435,70455,2435,70455.0,2435,305,2435,305,0.12525667351129363,True,False,Low income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,104701,04013104701,1047.01,Census Tract 1047.01,1067401,0,1.0668026440017557,Phoenix,2727,68613,2727,68613.0,2727,639,2727,639,0.23432343234323433,True,True,Low income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,104702,04013104702,1047.02,Census Tract 1047.02,1449651,0,1.448833548334368,Phoenix,3662,42543,3662,42543.0,3662,770,3662,770,0.21026761332605134,True,True,Low income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,112512,04013112512,1125.12,Census Tract 1125.12,11578967,4914,11.578018395735766,Phoenix,807,42656,807,42656.0,807,371,807,371,0.459727385377943,True,True,Low income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,104218,04013104218,1042.18,Census Tract 1042.18,2582894,0,2.5815651382310194,Phoenix,3921,79427,3921,79427.0,3813,362,3813,362,0.0949383687385261,False,False,High income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,104225,04013104225,1042.25,Census Tract 1042.25,2494692,16877,2.510275864844376,Phoenix,3805,100871,3805,100871.0,3795,228,3795,228,0.06007905138339921,False,False,High income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,104219,04013104219,1042.19,Census Tract 1042.19,2574890,0,2.573564288842438,Phoenix,4232,76458,4232,76458.0,3370,497,3370,497,0.14747774480712167,False,True,High income + High poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
04,013,104801,04013104801,1048.01,Census Tract 1048.01,6027649,0,6.0241983884868375,Phoenix,3983,138636,3983,138636.0,3967,287,3967,287,0.07234686160826821,False,False,High income + Low poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
