city,path,status,reason,n_total,n_ready,score,lst_col,hi_col,geoid_col,selected
houston,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/city_expansion/step3_new_city_lst_hi_combined_FIXED.gpkg,wrong_city,city column exists but no rows for houston,1444,0,-999999,,,,False
houston,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_figures/three_city_lstadaptive_heat_index_mismatch_GIS_READY.gpkg,ok,ok,549,549,559549,lst_c,hi_c,GEOID,True
houston,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_advanced_figures/three_city_GIS_ADVANCED.gpkg,ok,ok,549,549,554549,lst_c,hi_c,GEOID,False
houston,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/city_expansion/step2_new_city_boundary_acs_all_FIXED.gpkg,wrong_city,city column exists but no rows for houston,3771,0,-999999,,,,False
houston,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_hotspot_shift_figures/hotspot_shift_deeper_GIS_READY.gpkg,missing_columns,"missing GEOID, LST, HI",2,0,-999999,,,,False
houston,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_hotspot_shift_figures/hotspot_centroid_displacement_GIS_READY.gpkg,missing_columns,"missing GEOID, LST, HI",2,0,-999999,,,,False
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/city_expansion/step3_new_city_lst_hi_combined_FIXED.gpkg,wrong_city,city column exists but no rows for phoenix,1444,0,-999999,,,,False
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_figures/three_city_lstadaptive_heat_index_mismatch_GIS_READY.gpkg,wrong_city,city column exists but no rows for phoenix,549,0,-999999,,,,False
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/paper_gis_advanced_figures/three_city_GIS_ADVANCED.gpkg,ok,ok,332,332,337332,lst_c,hi_c,GEOID,True
phoenix,/Users/yufeizhou/Desktop/heat-exposure-compare/outputs/pilot/alphaearth/city_expansion/step2_new_city_boundary_acs_all_FIXED.gpkg,wrong_city,city column exists but no rows for phoenix,3771,0,-999999,,,,False
