city_label,city_context,broad_context,story_group,mechanism_type,ready_pct,hi_minus_lst_hotspot_pct,n_valid_tracts,total_area_km2,hi_only_area_pct,lst_only_area_pct,both_area_pct,neither_area_pct,hi_only_mean_radial_norm,lst_only_mean_radial_norm,hi_minus_lst_radial_norm,radial_interpretation,hi_lst_centroid_distance_km,hi_only_components,lst_only_components,both_components,hi_only_largest_patch_pct,lst_only_largest_patch_pct
San Francisco,Coastal / compact / bay-influenced,Coastal / water-influenced,Strong HI-shift,Strong HI-dominant,72.3076923076923,53.191489361702125,188,2042.6377428178253,53.02657587300824,,0.9364856421952465,46.03693848479649,0.7674284208103359,,,Cannot compare,,3,0,1,51.36895112595703,
Miami,Coastal / humid,Coastal / water-influenced,Strong HI-shift,Strong HI-dominant,96.89922480620154,49.6,125,116.7162519435793,54.67454541480765,1.7169772175686333,19.16081824298124,24.44765912464248,0.43961363396819264,0.3478262757682735,0.09178735819991912,HI-only more peripheral,5.433059995646878,1,1,2,100.00000000000003,100.00000000000007
Boston,Coastal / temperate,Coastal / water-influenced,Strong HI-shift,Strong HI-dominant,92.27053140096618,36.12565445026178,191,269.4624737184049,25.898817321899685,3.4852639651443376,3.6792098835174154,66.93670882943856,0.7265798847561191,0.578221445707203,0.1483584390489161,HI-only more peripheral,8.253208598014373,4,5,2,95.01256863177873,48.442812350086754
Atlanta,Inland / humid / sprawling Sun Belt,Inland Sun Belt,Moderate HI-shift,Moderate HI-dominant,100.0,13.90134529147982,223,592.938039277029,46.621803600137,6.071690261717353,8.64638225560803,38.66012388253762,0.5305036632600231,0.2893696567425802,0.24113400651744288,HI-only more peripheral,9.849763206559873,1,1,2,99.9999999999999,100.0000000000002
Seattle,Coastal / Pacific Northwest / water-constrained,Coastal / water-influenced,Moderate HI-shift,Moderate HI-dominant,94.47236180904522,11.170212765957444,188,886.6026281762388,36.66751376245825,8.154107335136072,0.8768409069281754,54.30153799547749,0.4033226175245719,0.6734723044021818,-0.2701496868776099,HI-only more central,9.169771759384577,1,5,3,100.00000000000004,71.015717954941
Chicago,Great Lakes / large grid city,Great Lakes,Moderate HI-shift,Moderate HI-dominant,100.0,11.009174311926609,872,2545.660479735988,10.932196369320353,1.0008601875953518,6.102989122655931,81.96395432042836,0.7817262410489756,0.520057307796542,0.26166893325243357,HI-only more peripheral,6.653869859938253,6,4,6,55.36673800849461,76.27711658825524
Los Angeles,Coastal / dry,Coastal / water-influenced,Moderate HI-shift,Moderate HI-dominant,97.47292418772562,8.148148148148145,1080,1214.0109899617378,17.769321263766592,13.483879159551973,6.112241867414987,62.63455770926647,0.30623847819354777,0.38517072647330197,-0.0789322482797542,Similar radial position,16.84864300288807,3,3,1,79.17474628328046,77.96519400120843
Dallas,Inland / large Sun Belt / car-oriented,Inland Sun Belt,LST-shift,Mixed / transitional,100.0,6.013363028953231,449,1858.6540971184922,32.3800688874163,5.644437925483007,5.703896177004539,56.27159701009615,0.4501959338917885,0.4191193561264927,0.03107657776529582,Similar radial position,20.717061514724534,7,6,3,71.62984736276684,33.99964186227773
Phoenix,Inland / desert,Inland desert,Mixed / transitional,Mixed / transitional,100.0,4.216867469879515,332,1443.280819404505,20.600040542102864,36.183719621252266,3.975018562835645,39.241221273809245,0.7212192298101242,0.703570671007402,0.017648558802722203,Similar radial position,39.878579355764586,5,11,10,49.655634542363494,56.3243548287784
Houston,Coastal / humid,Coastal / water-influenced,Mixed / transitional,Mixed / transitional,100.0,0.3642987249544624,549,1472.2367357500673,15.662497205018006,9.169543901354766,2.9870044189223606,72.18095447470488,0.5604401542451685,0.36063063484756386,0.1998095193976046,HI-only more peripheral,9.92369345884477,12,40,17,35.62505433723128,10.939497974692365
New York,Coastal / megacity / dense core,Coastal / water-influenced,Mixed / transitional,Mixed / transitional,88.28752642706131,0.3352490421455911,2088,1055.0417478395416,41.0517280625019,13.176085202062357,2.348527888375678,43.42365884706007,0.5358466422013297,0.40680714717382355,0.12903949502750617,HI-only more peripheral,25.66196628145281,2,6,2,99.86376364276028,80.91708898961778
Las Vegas,Inland / desert,Inland desert,Coupled LST-HI,Coupled LST-HI,100.0,0.0,458,20793.238072054904,12.610046242525245,4.915659703860443,1.9659418226937508,80.50835223092056,0.28749878466646156,0.4056795102801825,-0.11818072561372095,HI-only more central,66.64327949455506,6,9,4,96.83349629199918,56.82342497942749
