city_1,city_2,context_1,context_2,story_1,story_2,gap_1,gap_2,corr_1,corr_2,signature_distance,similarity_score
Atlanta,Seattle,Inland Sun Belt,Coastal / water-influenced,Moderate apparent-heat shift,Moderate apparent-heat shift,13.90134529147982,11.170212765957444,-0.268547625635977,-0.0637213215272988,1.8593630650845765,0.34972823570777334
Seattle,New York,Coastal / water-influenced,Coastal / water-influenced,Moderate apparent-heat shift,Mixed / transitional,11.170212765957444,0.3352490421455911,-0.0637213215272988,0.0533020407087778,2.0538820605634247,0.32745206925754866
Dallas,Houston,Inland Sun Belt,Coastal / water-influenced,Mixed / transitional,Mixed / transitional,6.013363028953231,0.3642987249544624,0.1087414753143568,0.3412754779438834,2.117107956998295,0.32081019130405014
Houston,Las Vegas,Coastal / water-influenced,Inland desert,Mixed / transitional,Coupled / aligned,0.3642987249544624,0.0,0.3412754779438834,0.7502048289967429,2.2467606979327024,0.3079992931529343
Phoenix,Houston,Inland desert,Coastal / water-influenced,Mixed / transitional,Mixed / transitional,4.216867469879515,0.3642987249544624,0.2912812422021387,0.3412754779438834,2.2574067463818066,0.3069926717351951
Atlanta,New York,Inland Sun Belt,Coastal / water-influenced,Moderate apparent-heat shift,Mixed / transitional,13.90134529147982,0.3352490421455911,-0.268547625635977,0.0533020407087778,2.403474278056688,0.2938174107697323
Los Angeles,Houston,Coastal / water-influenced,Coastal / water-influenced,Moderate apparent-heat shift,Mixed / transitional,8.148148148148145,0.3642987249544624,0.3502317109155967,0.3412754779438834,2.49215968885515,0.2863557480465146
Los Angeles,New York,Coastal / water-influenced,Coastal / water-influenced,Moderate apparent-heat shift,Mixed / transitional,8.148148148148145,0.3352490421455911,0.3502317109155967,0.0533020407087778,2.5143223641635815,0.2845498780069946
Atlanta,Dallas,Inland Sun Belt,Inland Sun Belt,Moderate apparent-heat shift,Mixed / transitional,13.90134529147982,6.013363028953231,-0.268547625635977,0.1087414753143568,2.5902827261879784,0.2785295967657012
Chicago,Las Vegas,Great Lakes,Inland desert,Moderate apparent-heat shift,Coupled / aligned,11.009174311926609,0.0,0.631142924321808,0.7502048289967429,2.5908335014977317,0.27848687486704726
Dallas,New York,Inland Sun Belt,Coastal / water-influenced,Mixed / transitional,Mixed / transitional,6.013363028953231,0.3352490421455911,0.1087414753143568,0.0533020407087778,2.8827845725674757,0.25754712405760743
Seattle,Los Angeles,Coastal / water-influenced,Coastal / water-influenced,Moderate apparent-heat shift,Moderate apparent-heat shift,11.170212765957444,8.148148148148145,-0.0637213215272988,0.3502317109155967,2.8918888182455578,0.25694464736811123
Phoenix,Las Vegas,Inland desert,Inland desert,Mixed / transitional,Coupled / aligned,4.216867469879515,0.0,0.2912812422021387,0.7502048289967429,2.933986850018431,0.2541950540570096
Chicago,Los Angeles,Great Lakes,Coastal / water-influenced,Moderate apparent-heat shift,Moderate apparent-heat shift,11.009174311926609,8.148148148148145,0.631142924321808,0.3502317109155967,2.957597520061533,0.25267854927917277
Boston,Seattle,Coastal / water-influenced,Coastal / water-influenced,Strong apparent-heat shift,Moderate apparent-heat shift,36.12565445026178,11.170212765957444,0.0001509635897057,-0.0637213215272988,3.031735103530255,0.24803216836452951
Atlanta,Los Angeles,Inland Sun Belt,Coastal / water-influenced,Moderate apparent-heat shift,Moderate apparent-heat shift,13.90134529147982,8.148148148148145,-0.268547625635977,0.3502317109155967,3.1260853931255705,0.24236047117834494
Boston,Atlanta,Coastal / water-influenced,Inland Sun Belt,Strong apparent-heat shift,Moderate apparent-heat shift,36.12565445026178,13.90134529147982,0.0001509635897057,-0.268547625635977,3.1404213372690224,0.24152131354331907
Los Angeles,Dallas,Coastal / water-influenced,Inland Sun Belt,Moderate apparent-heat shift,Mixed / transitional,8.148148148148145,6.013363028953231,0.3502317109155967,0.1087414753143568,3.14966775229331,0.24098314845745206
Los Angeles,Phoenix,Coastal / water-influenced,Inland desert,Moderate apparent-heat shift,Mixed / transitional,8.148148148148145,4.216867469879515,0.3502317109155967,0.2912812422021387,3.152940982955406,0.24079321235341955
Los Angeles,Las Vegas,Coastal / water-influenced,Inland desert,Moderate apparent-heat shift,Coupled / aligned,8.148148148148145,0.0,0.3502317109155967,0.7502048289967429,3.2570011080971426,0.23490715050506408
Chicago,Dallas,Great Lakes,Inland Sun Belt,Moderate apparent-heat shift,Mixed / transitional,11.009174311926609,6.013363028953231,0.631142924321808,0.1087414753143568,3.282170126785054,0.23352645280134512
Dallas,Las Vegas,Inland Sun Belt,Inland desert,Mixed / transitional,Coupled / aligned,6.013363028953231,0.0,0.1087414753143568,0.7502048289967429,3.3378163289649616,0.23053073808650817
Houston,New York,Coastal / water-influenced,Coastal / water-influenced,Mixed / transitional,Mixed / transitional,0.3642987249544624,0.3352490421455911,0.3412754779438834,0.0533020407087778,3.4050551034351857,0.2270119162005878
