GEOID,city,area_km2,total_population_clean,median_household_income_clean,poverty_rate,inequity_group
04013117200,Phoenix,7.35659509597991,1125,65735.0,0.25955555555555554,Low income + High poverty
04013082016,Phoenix,5.194239031824162,4197,90156.0,0.1277416244878284,High income + Low poverty
04013104402,Phoenix,2.580104783518164,2435,70455.0,0.12525667351129363,Low income + Low poverty
04013104701,Phoenix,1.0668026440017557,2727,68613.0,0.23432343234323433,Low income + High poverty
04013104702,Phoenix,1.448833548334368,3662,42543.0,0.21026761332605134,Low income + High poverty
04013112512,Phoenix,11.578018395735766,807,42656.0,0.459727385377943,Low income + High poverty
04013104218,Phoenix,2.5815651382310194,3921,79427.0,0.0949383687385261,High income + Low poverty
04013104225,Phoenix,2.510275864844376,3805,100871.0,0.06007905138339921,High income + Low poverty
04013104219,Phoenix,2.573564288842438,4232,76458.0,0.14747774480712167,High income + High poverty
04013104801,Phoenix,6.0241983884868375,3983,138636.0,0.07234686160826821,High income + Low poverty
04013104802,Phoenix,3.2987164451739894,5632,79085.0,0.15295629820051415,High income + High poverty
04013104900,Phoenix,2.5832640979693045,4293,116188.0,0.028965195047886007,High income + Low poverty
04013105102,Phoenix,19.090334826710002,4682,106919.0,0.09506437768240343,High income + Low poverty
04013115801,Phoenix,1.298973466989635,3754,39474.0,0.2757059136920618,Low income + High poverty
04013082017,Phoenix,3.153942919050332,5875,102500.0,0.10672340425531915,High income + Low poverty
04013107102,Phoenix,1.3487752472180585,4639,46881.0,0.279191128506197,Low income + High poverty
04013107201,Phoenix,1.2975265726933702,4879,29615.0,0.5848275862068966,Low income + High poverty
04013107500,Phoenix,2.6079591989662125,3520,108542.0,0.04602272727272727,High income + Low poverty
04013107700,Phoenix,2.6184556975112288,3903,89043.0,0.03139475038600103,High income + Low poverty
04013107800,Phoenix,3.611256535560367,2390,109338.0,0.03933054393305439,High income + Low poverty
04013111100,Phoenix,3.213746585783261,4717,99787.0,0.04748781004875981,High income + Low poverty
04013111201,Phoenix,1.9108613374897376,6379,53798.0,0.0665086887835703,Low income + Low poverty
04013111202,Phoenix,0.8949868751532984,1782,70840.0,0.18464144551101072,Low income + High poverty
04013082205,Phoenix,2.5095685370696965,6702,88809.0,0.10263709919089002,High income + Low poverty
04013104401,Phoenix,2.5477810261586904,5686,38151.0,0.24105698364191983,Low income + High poverty
04013105503,Phoenix,0.650341428350785,4193,45677.0,0.24612449320295732,Low income + High poverty
04013109702,Phoenix,1.404951745026927,5571,58523.0,0.20786516853932585,Low income + High poverty
04013109801,Phoenix,1.2190578101148601,4593,42260.0,0.3030698889614631,Low income + High poverty
04013109704,Phoenix,0.6084649312647992,2530,56118.0,0.16679841897233202,Low income + High poverty
04013109705,Phoenix,0.5604377886598872,1840,96111.0,0.15108695652173912,High income + High poverty
04013109900,Phoenix,2.6173376895089255,7204,57222.0,0.23772321428571427,Low income + High poverty
04013106801,Phoenix,0.7025990857700852,4581,32229.0,0.5094339622641509,Low income + High poverty
04013109101,Phoenix,1.2853257847037052,3626,61688.0,0.17264202978488694,Low income + High poverty
04013106001,Phoenix,0.7025560376661408,1853,48456.0,0.34473398479913137,Low income + High poverty
04013108302,Phoenix,1.3327816773068335,2688,76181.0,0.06473214285714286,High income + Low poverty
04013082018,Phoenix,1.3253356887785892,5203,82106.0,0.08053046319431098,High income + Low poverty
04013616500,Phoenix,2.0112680810548893,3685,78088.0,0.15472312703583063,High income + High poverty
04013618700,Phoenix,1.2581718189370708,2939,84813.0,0.08063967335828513,High income + Low poverty
