NAME,total_population,median_household_income,state,county,tract,GEOID,city
Census Tract 6701.01; Fort Bend County; Texas,6123,62454,48,157,670101,48157670101,Houston
Census Tract 6701.02; Fort Bend County; Texas,3348,70198,48,157,670102,48157670102,Houston
Census Tract 6702.01; Fort Bend County; Texas,1687,105456,48,157,670201,48157670201,Houston
Census Tract 6702.02; Fort Bend County; Texas,5107,57017,48,157,670202,48157670202,Houston
Census Tract 6703; Fort Bend County; Texas,3429,49038,48,157,670300,48157670300,Houston
Census Tract 6704; Fort Bend County; Texas,4462,73304,48,157,670400,48157670400,Houston
Census Tract 6705; Fort Bend County; Texas,5309,93261,48,157,670500,48157670500,Houston
Census Tract 6706.02; Fort Bend County; Texas,1894,51591,48,157,670602,48157670602,Houston
Census Tract 6706.03; Fort Bend County; Texas,5861,76134,48,157,670603,48157670603,Houston
Census Tract 6706.04; Fort Bend County; Texas,4413,83566,48,157,670604,48157670604,Houston
Census Tract 6707; Fort Bend County; Texas,8620,106167,48,157,670700,48157670700,Houston
Census Tract 6708.01; Fort Bend County; Texas,4179,80199,48,157,670801,48157670801,Houston
Census Tract 6708.02; Fort Bend County; Texas,4643,77132,48,157,670802,48157670802,Houston
Census Tract 6708.03; Fort Bend County; Texas,2782,93470,48,157,670803,48157670803,Houston
Census Tract 6708.04; Fort Bend County; Texas,3770,101676,48,157,670804,48157670804,Houston
Census Tract 6709.02; Fort Bend County; Texas,9910,99167,48,157,670902,48157670902,Houston
Census Tract 6709.03; Fort Bend County; Texas,8964,131875,48,157,670903,48157670903,Houston
Census Tract 6709.04; Fort Bend County; Texas,5149,124633,48,157,670904,48157670904,Houston
Census Tract 6710.01; Fort Bend County; Texas,5268,99525,48,157,671001,48157671001,Houston
Census Tract 6710.02; Fort Bend County; Texas,5694,79844,48,157,671002,48157671002,Houston
Census Tract 6711.01; Fort Bend County; Texas,2413,99762,48,157,671101,48157671101,Houston
Census Tract 6711.02; Fort Bend County; Texas,5860,67830,48,157,671102,48157671102,Houston
Census Tract 6712; Fort Bend County; Texas,5797,82346,48,157,671200,48157671200,Houston
Census Tract 6713; Fort Bend County; Texas,3948,59007,48,157,671300,48157671300,Houston
Census Tract 6714.01; Fort Bend County; Texas,1906,87878,48,157,671401,48157671401,Houston
Census Tract 6714.02; Fort Bend County; Texas,6209,71945,48,157,671402,48157671402,Houston
Census Tract 6715.01; Fort Bend County; Texas,7876,99466,48,157,671501,48157671501,Houston
Census Tract 6715.02; Fort Bend County; Texas,1551,115417,48,157,671502,48157671502,Houston
Census Tract 6716.01; Fort Bend County; Texas,6139,92946,48,157,671601,48157671601,Houston
Census Tract 6716.02; Fort Bend County; Texas,3165,129550,48,157,671602,48157671602,Houston
Census Tract 6717; Fort Bend County; Texas,4467,148523,48,157,671700,48157671700,Houston
Census Tract 6718; Fort Bend County; Texas,4386,76289,48,157,671800,48157671800,Houston
Census Tract 6719; Fort Bend County; Texas,4000,99947,48,157,671900,48157671900,Houston
