ALAND,AWATER,COUNTYFP,GEOID,NAME,NAMELSAD,STATEFP,TRACTCE,area_km2,below_poverty_count,below_poverty_count_clean,city,high_poverty_flag,inequity_group,low_income_flag,hi_summer_mean_c,hi_summer_median_c,median_household_income,median_household_income_clean,poverty_rate,poverty_universe,poverty_universe_clean,total_population,total_population_clean
1238555,0,201,48201421101,4211.01,Census Tract 4211.01,48,421101,1.239310916337853,762,762,Houston,True,Low income + High poverty,True,34.19809785111112,34.19809785111112,57959,57959.0,0.28798185941043086,2646,2646,2646,2646
1654036,22924,201,48201423301,4233.01,Census Tract 4233.01,48,423301,1.6780739256949924,499,499,Houston,False,High income + Low poverty,False,34.19907681151132,34.19907681151132,61979,61979.0,0.1018991219113743,4897,4897,4897,4897
963415,0,201,48201453401,4534.01,Census Tract 4534.01,48,453401,0.9641231439176076,714,714,Houston,True,High income + High poverty,False,34.19907681151132,34.19907681151132,72572,72572.0,0.24285714285714285,2940,2940,2953,2953
3231321,0,201,48201331100,3311,Census Tract 3311,48,331100,3.23292758453961,1034,1034,Houston,True,Low income + High poverty,True,34.18305435169938,34.18305435169938,53974,53974.0,0.26032225579053375,3972,3972,3979,3979
3546122,0,201,48201331200,3312,Census Tract 3312,48,331200,3.547892747988621,2017,2017,Houston,True,Low income + High poverty,True,34.18305435169938,34.18305435169938,29650,29650.0,0.4004367679174112,5037,5037,5051,5051
4538667,24568,201,48201331300,3313,Census Tract 3313,48,331300,4.565564519123447,1372,1372,Houston,True,Low income + High poverty,True,34.18305435169938,34.18305435169938,49222,49222.0,0.2844702467343977,4823,4823,4823,4823
1557754,13166,201,48201331400,3314,Census Tract 3314,48,331400,1.5716870085504633,2543,2543,Houston,True,Low income + High poverty,True,34.18305435169938,34.18305435169938,21580,21580.0,0.7750685766534593,3281,3281,3281,3281
1929788,6157,201,48201321700,3217,Census Tract 3217,48,321700,1.9366352882054383,355,355,Houston,False,High income + Low poverty,False,34.175943089573586,34.175943089573586,73970,73970.0,0.10970333745364648,3236,3236,3243,3243
930581,0,201,48201521402,5214.02,Census Tract 5214.02,48,521402,0.9311810027518986,1306,1306,Houston,True,Low income + High poverty,True,,,51042,51042.0,0.382654556108995,3413,3413,3413,3413
3415734,1170962,201,48201250901,2509.01,Census Tract 2509.01,48,250901,4.587978185680629,366,366,Houston,False,High income + Low poverty,False,33.932678593872126,33.932678593872126,97010,97010.0,0.09099950273495773,4022,4022,4022,4022
4621018,0,201,48201520501,5205.01,Census Tract 5205.01,48,520501,4.6238278706518985,1094,1094,Houston,True,Low income + High poverty,True,34.06943130034954,34.06943130034954,43578,43578.0,0.2722747635639622,4018,4018,4040,4040
4084021,370,201,48201521701,5217.01,Census Tract 5217.01,48,521701,4.087149644853333,2021,2021,Houston,True,Low income + High poverty,True,34.075192871938214,34.075192871938214,33479,33479.0,0.4397302001740644,4596,4596,4673,4673
787306,619,201,48201550201,5502.01,Census Tract 5502.01,48,550201,0.7883596710778226,414,414,Houston,True,Low income + High poverty,True,,,29000,29000.0,0.2608695652173913,1587,1587,1587,1587
1407194,469,201,48201521702,5217.02,Census Tract 5217.02,48,521702,1.4085752258643247,1317,1317,Houston,True,Low income + High poverty,True,34.07404055762048,34.075192871938214,35281,35281.0,0.4502564102564103,2925,2925,2925,2925
353492,0,201,48201520603,5206.03,Census Tract 5206.03,48,520603,0.3537148006834823,307,307,Houston,False,Low income + Low poverty,True,34.06943130034954,34.06943130034954,41534,41534.0,0.14584323040380048,2105,2105,2141,2141
481055,0,201,48201521201,5212.01,Census Tract 5212.01,48,521201,0.48136651529272967,562,562,Houston,True,Low income + High poverty,True,34.075192871938214,34.075192871938214,58606,58606.0,0.30510314875135724,1842,1842,1842,1842
1569963,31001,201,48201532004,5320.04,Census Tract 5320.04,48,532004,1.601924105189231,1591,1591,Houston,True,Low income + High poverty,True,34.06943130034954,34.06943130034954,35485,35485.0,0.31473788328387736,5055,5055,5055,5055
1010818,12188,201,48201532003,5320.03,Census Tract 5320.03,48,532003,1.023627995649628,2301,2301,Houston,True,Low income + High poverty,True,34.06943130034954,34.06943130034954,34683,34683.0,0.5886415963161934,3909,3909,3909,3909
4668823,0,201,48201232701,2327.01,Census Tract 2327.01,48,232701,4.670432578463886,2421,2421,Houston,True,Low income + High poverty,True,34.179591570025146,34.179591570025146,38835,38835.0,0.33205321629406115,7291,7291,7379,7379
1205215,0,201,48201420600,4206,Census Tract 4206,48,420600,1.2059527453052585,198,198,Houston,False,High income + Low poverty,False,34.189995108284705,34.189995108284705,92279,92279.0,0.08567719601903938,2311,2311,2311,2311
2275968,19664,201,48201420700,4207,Census Tract 4207,48,420700,2.297033247095139,12,12,Houston,False,High income + Low poverty,False,34.189995108284705,34.189995108284705,205833,205833.0,0.004707728520988623,2549,2549,2549,2549
1406083,4860,201,48201314001,3140.01,Census Tract 3140.01,48,314001,1.4116779850838517,335,335,Houston,False,High income + Low poverty,False,34.17749953067773,34.17749953067773,67969,67969.0,0.12864823348694315,2604,2604,2936,2936
1514407,5507,201,48201320602,3206.02,Census Tract 3206.02,48,320602,1.5204948287928566,1412,1412,Houston,True,Low income + High poverty,True,34.175943089573586,34.175943089573586,47667,47667.0,0.30017006802721086,4704,4704,4704,4704
827362,0,201,48201450100,4501,Census Tract 4501,48,450100,0.8279582020647208,42,42,Houston,False,High income + Low poverty,False,34.182124562548104,34.182124562548104,148922,148922.0,0.021461420541645376,1957,1957,1957,1957
