NAME,poverty_universe,below_poverty_count,state,county,tract,GEOID,city
Census Tract 6701.01; Fort Bend County; Texas,6102,1053,48,157,670101,48157670101,Houston
Census Tract 6701.02; Fort Bend County; Texas,3184,252,48,157,670102,48157670102,Houston
Census Tract 6702.01; Fort Bend County; Texas,1687,44,48,157,670201,48157670201,Houston
Census Tract 6702.02; Fort Bend County; Texas,5107,1119,48,157,670202,48157670202,Houston
Census Tract 6703; Fort Bend County; Texas,3429,1011,48,157,670300,48157670300,Houston
Census Tract 6704; Fort Bend County; Texas,4450,354,48,157,670400,48157670400,Houston
Census Tract 6705; Fort Bend County; Texas,5299,359,48,157,670500,48157670500,Houston
Census Tract 6706.02; Fort Bend County; Texas,1894,351,48,157,670602,48157670602,Houston
Census Tract 6706.03; Fort Bend County; Texas,5861,111,48,157,670603,48157670603,Houston
Census Tract 6706.04; Fort Bend County; Texas,4398,408,48,157,670604,48157670604,Houston
Census Tract 6707; Fort Bend County; Texas,8583,852,48,157,670700,48157670700,Houston
Census Tract 6708.01; Fort Bend County; Texas,4179,272,48,157,670801,48157670801,Houston
Census Tract 6708.02; Fort Bend County; Texas,4643,393,48,157,670802,48157670802,Houston
Census Tract 6708.03; Fort Bend County; Texas,2782,32,48,157,670803,48157670803,Houston
Census Tract 6708.04; Fort Bend County; Texas,3184,72,48,157,670804,48157670804,Houston
Census Tract 6709.02; Fort Bend County; Texas,9910,814,48,157,670902,48157670902,Houston
Census Tract 6709.03; Fort Bend County; Texas,8964,875,48,157,670903,48157670903,Houston
Census Tract 6709.04; Fort Bend County; Texas,5149,62,48,157,670904,48157670904,Houston
Census Tract 6710.01; Fort Bend County; Texas,5162,133,48,157,671001,48157671001,Houston
Census Tract 6710.02; Fort Bend County; Texas,5694,400,48,157,671002,48157671002,Houston
Census Tract 6711.01; Fort Bend County; Texas,2386,73,48,157,671101,48157671101,Houston
Census Tract 6711.02; Fort Bend County; Texas,5672,777,48,157,671102,48157671102,Houston
Census Tract 6712; Fort Bend County; Texas,5737,174,48,157,671200,48157671200,Houston
Census Tract 6713; Fort Bend County; Texas,3948,625,48,157,671300,48157671300,Houston
Census Tract 6714.01; Fort Bend County; Texas,1882,101,48,157,671401,48157671401,Houston
Census Tract 6714.02; Fort Bend County; Texas,6207,990,48,157,671402,48157671402,Houston
Census Tract 6715.01; Fort Bend County; Texas,7684,779,48,157,671501,48157671501,Houston
Census Tract 6715.02; Fort Bend County; Texas,1551,50,48,157,671502,48157671502,Houston
Census Tract 6716.01; Fort Bend County; Texas,6139,176,48,157,671601,48157671601,Houston
Census Tract 6716.02; Fort Bend County; Texas,3165,122,48,157,671602,48157671602,Houston
Census Tract 6717; Fort Bend County; Texas,4467,237,48,157,671700,48157671700,Houston
Census Tract 6718; Fort Bend County; Texas,4386,336,48,157,671800,48157671800,Houston
Census Tract 6719; Fort Bend County; Texas,4000,242,48,157,671900,48157671900,Houston
Census Tract 6720.02; Fort Bend County; Texas,6577,694,48,157,672002,48157672002,Houston
Census Tract 6720.03; Fort Bend County; Texas,1654,525,48,157,672003,48157672003,Houston
Census Tract 6720.04; Fort Bend County; Texas,6028,601,48,157,672004,48157672004,Houston
Census Tract 6721; Fort Bend County; Texas,3719,244,48,157,672100,48157672100,Houston
Census Tract 6722.01; Fort Bend County; Texas,2218,48,48,157,672201,48157672201,Houston
Census Tract 6722.02; Fort Bend County; Texas,2514,309,48,157,672202,48157672202,Houston
Census Tract 6723.03; Fort Bend County; Texas,2828,272,48,157,672303,48157672303,Houston
Census Tract 6723.04; Fort Bend County; Texas,4786,221,48,157,672304,48157672304,Houston
Census Tract 6723.05; Fort Bend County; Texas,5372,618,48,157,672305,48157672305,Houston
Census Tract 6723.06; Fort Bend County; Texas,3104,272,48,157,672306,48157672306,Houston
Census Tract 6724.01; Fort Bend County; Texas,2686,536,48,157,672401,48157672401,Houston
Census Tract 6724.02; Fort Bend County; Texas,6963,619,48,157,672402,48157672402,Houston
Census Tract 6725; Fort Bend County; Texas,7271,1241,48,157,672500,48157672500,Houston
Census Tract 6726.02; Fort Bend County; Texas,6564,1385,48,157,672602,48157672602,Houston
Census Tract 6726.03; Fort Bend County; Texas,2643,271,48,157,672603,48157672603,Houston
Census Tract 6726.04; Fort Bend County; Texas,7741,646,48,157,672604,48157672604,Houston
Census Tract 6727.01; Fort Bend County; Texas,5443,628,48,157,672701,48157672701,Houston
Census Tract 6727.02; Fort Bend County; Texas,8584,648,48,157,672702,48157672702,Houston
Census Tract 6727.03; Fort Bend County; Texas,7833,410,48,157,672703,48157672703,Houston
Census Tract 6728.01; Fort Bend County; Texas,4891,76,48,157,672801,48157672801,Houston
Census Tract 6728.02; Fort Bend County; Texas,2621,103,48,157,672802,48157672802,Houston
Census Tract 6729.01; Fort Bend County; Texas,18067,267,48,157,672901,48157672901,Houston
Census Tract 6729.02; Fort Bend County; Texas,9174,239,48,157,672902,48157672902,Houston
Census Tract 6729.03; Fort Bend County; Texas,18179,1000,48,157,672903,48157672903,Houston
Census Tract 6729.04; Fort Bend County; Texas,9461,231,48,157,672904,48157672904,Houston
Census Tract 6729.05; Fort Bend County; Texas,6720,530,48,157,672905,48157672905,Houston
Census Tract 6729.06; Fort Bend County; Texas,6565,497,48,157,672906,48157672906,Houston
Census Tract 6729.07; Fort Bend County; Texas,12030,2209,48,157,672907,48157672907,Houston
Census Tract 6730.04; Fort Bend County; Texas,2962,69,48,157,673004,48157673004,Houston
Census Tract 6730.05; Fort Bend County; Texas,6250,305,48,157,673005,48157673005,Houston
