NAME,total_population,median_household_income,state,county,tract,GEOID,city
Census Tract 101.02; Maricopa County; Arizona,6265,188486,04,013,010102,04013010102,Phoenix
Census Tract 101.03; Maricopa County; Arizona,3681,117813,04,013,010103,04013010103,Phoenix
Census Tract 101.04; Maricopa County; Arizona,3131,140587,04,013,010104,04013010104,Phoenix
Census Tract 304.01; Maricopa County; Arizona,4744,145865,04,013,030401,04013030401,Phoenix
Census Tract 304.02; Maricopa County; Arizona,4153,108031,04,013,030402,04013030402,Phoenix
Census Tract 405.02; Maricopa County; Arizona,4369,64704,04,013,040502,04013040502,Phoenix
Census Tract 405.06; Maricopa County; Arizona,5543,58060,04,013,040506,04013040506,Phoenix
Census Tract 405.07; Maricopa County; Arizona,6551,63957,04,013,040507,04013040507,Phoenix
Census Tract 405.12; Maricopa County; Arizona,1580,65263,04,013,040512,04013040512,Phoenix
Census Tract 405.13; Maricopa County; Arizona,2787,70227,04,013,040513,04013040513,Phoenix
Census Tract 405.14; Maricopa County; Arizona,2949,61290,04,013,040514,04013040514,Phoenix
Census Tract 405.15; Maricopa County; Arizona,5080,66991,04,013,040515,04013040515,Phoenix
Census Tract 405.16; Maricopa County; Arizona,9360,91583,04,013,040516,04013040516,Phoenix
Census Tract 405.22; Maricopa County; Arizona,4429,61250,04,013,040522,04013040522,Phoenix
Census Tract 405.23; Maricopa County; Arizona,3164,83105,04,013,040523,04013040523,Phoenix
Census Tract 405.24; Maricopa County; Arizona,1647,86806,04,013,040524,04013040524,Phoenix
Census Tract 405.25; Maricopa County; Arizona,2981,75139,04,013,040525,04013040525,Phoenix
Census Tract 405.26; Maricopa County; Arizona,2483,65385,04,013,040526,04013040526,Phoenix
Census Tract 405.27; Maricopa County; Arizona,4608,81509,04,013,040527,04013040527,Phoenix
Census Tract 405.28; Maricopa County; Arizona,5745,78658,04,013,040528,04013040528,Phoenix
Census Tract 405.29; Maricopa County; Arizona,3396,86319,04,013,040529,04013040529,Phoenix
Census Tract 405.30; Maricopa County; Arizona,3613,88355,04,013,040530,04013040530,Phoenix
Census Tract 405.31; Maricopa County; Arizona,3756,59394,04,013,040531,04013040531,Phoenix
Census Tract 405.32; Maricopa County; Arizona,7109,117524,04,013,040532,04013040532,Phoenix
Census Tract 405.33; Maricopa County; Arizona,2862,105278,04,013,040533,04013040533,Phoenix
Census Tract 405.34; Maricopa County; Arizona,3516,88229,04,013,040534,04013040534,Phoenix
Census Tract 405.35; Maricopa County; Arizona,6271,125237,04,013,040535,04013040535,Phoenix
Census Tract 405.36; Maricopa County; Arizona,6550,144423,04,013,040536,04013040536,Phoenix
Census Tract 405.37; Maricopa County; Arizona,2974,129838,04,013,040537,04013040537,Phoenix
Census Tract 405.38; Maricopa County; Arizona,5866,113095,04,013,040538,04013040538,Phoenix
Census Tract 405.39; Maricopa County; Arizona,7293,87319,04,013,040539,04013040539,Phoenix
Census Tract 405.40; Maricopa County; Arizona,6427,99139,04,013,040540,04013040540,Phoenix
Census Tract 405.41; Maricopa County; Arizona,5195,57731,04,013,040541,04013040541,Phoenix
Census Tract 506.03; Maricopa County; Arizona,5727,61983,04,013,050603,04013050603,Phoenix
Census Tract 506.04; Maricopa County; Arizona,3582,72799,04,013,050604,04013050604,Phoenix
Census Tract 506.09; Maricopa County; Arizona,5201,85114,04,013,050609,04013050609,Phoenix
Census Tract 506.11; Maricopa County; Arizona,6731,106685,04,013,050611,04013050611,Phoenix
Census Tract 506.12; Maricopa County; Arizona,11852,102563,04,013,050612,04013050612,Phoenix
Census Tract 506.13; Maricopa County; Arizona,5676,101972,04,013,050613,04013050613,Phoenix
Census Tract 506.14; Maricopa County; Arizona,4280,113961,04,013,050614,04013050614,Phoenix
Census Tract 506.15; Maricopa County; Arizona,5418,79276,04,013,050615,04013050615,Phoenix
Census Tract 506.16; Maricopa County; Arizona,2962,91955,04,013,050616,04013050616,Phoenix
Census Tract 506.17; Maricopa County; Arizona,5340,99246,04,013,050617,04013050617,Phoenix
Census Tract 506.18; Maricopa County; Arizona,8264,155859,04,013,050618,04013050618,Phoenix
Census Tract 506.19; Maricopa County; Arizona,9275,132530,04,013,050619,04013050619,Phoenix
Census Tract 506.20; Maricopa County; Arizona,8811,114830,04,013,050620,04013050620,Phoenix
Census Tract 506.21; Maricopa County; Arizona,9303,91552,04,013,050621,04013050621,Phoenix
Census Tract 507.01; Maricopa County; Arizona,7666,72607,04,013,050701,04013050701,Phoenix
Census Tract 507.02; Maricopa County; Arizona,6554,75795,04,013,050702,04013050702,Phoenix
Census Tract 608.01; Maricopa County; Arizona,5274,52674,04,013,060801,04013060801,Phoenix
Census Tract 608.02; Maricopa County; Arizona,3198,74707,04,013,060802,04013060802,Phoenix
Census Tract 609.01; Maricopa County; Arizona,4595,83141,04,013,060901,04013060901,Phoenix
Census Tract 609.02; Maricopa County; Arizona,4023,49313,04,013,060902,04013060902,Phoenix
Census Tract 609.03; Maricopa County; Arizona,5507,81599,04,013,060903,04013060903,Phoenix
Census Tract 609.04; Maricopa County; Arizona,3981,74495,04,013,060904,04013060904,Phoenix
Census Tract 610.10; Maricopa County; Arizona,6263,124339,04,013,061010,04013061010,Phoenix
Census Tract 610.11; Maricopa County; Arizona,8745,119348,04,013,061011,04013061011,Phoenix
Census Tract 610.13; Maricopa County; Arizona,7291,106200,04,013,061013,04013061013,Phoenix
Census Tract 610.14; Maricopa County; Arizona,6114,65699,04,013,061014,04013061014,Phoenix
Census Tract 610.15; Maricopa County; Arizona,5621,80288,04,013,061015,04013061015,Phoenix
Census Tract 610.17; Maricopa County; Arizona,4722,-666666666,04,013,061017,04013061017,Phoenix
Census Tract 610.18; Maricopa County; Arizona,5540,78835,04,013,061018,04013061018,Phoenix
Census Tract 610.20; Maricopa County; Arizona,3538,132292,04,013,061020,04013061020,Phoenix
Census Tract 610.21; Maricopa County; Arizona,2103,147917,04,013,061021,04013061021,Phoenix
Census Tract 610.24; Maricopa County; Arizona,2531,99495,04,013,061024,04013061024,Phoenix
Census Tract 610.26; Maricopa County; Arizona,6659,100417,04,013,061026,04013061026,Phoenix
Census Tract 610.27; Maricopa County; Arizona,5928,86645,04,013,061027,04013061027,Phoenix
Census Tract 610.28; Maricopa County; Arizona,3054,74438,04,013,061028,04013061028,Phoenix
Census Tract 610.29; Maricopa County; Arizona,4808,72047,04,013,061029,04013061029,Phoenix
Census Tract 610.31; Maricopa County; Arizona,8177,111925,04,013,061031,04013061031,Phoenix
Census Tract 610.32; Maricopa County; Arizona,6238,101000,04,013,061032,04013061032,Phoenix
Census Tract 610.33; Maricopa County; Arizona,5707,91288,04,013,061033,04013061033,Phoenix
Census Tract 610.34; Maricopa County; Arizona,8391,94458,04,013,061034,04013061034,Phoenix
Census Tract 610.35; Maricopa County; Arizona,6997,85267,04,013,061035,04013061035,Phoenix
Census Tract 610.36; Maricopa County; Arizona,4830,150046,04,013,061036,04013061036,Phoenix
Census Tract 610.37; Maricopa County; Arizona,6398,115391,04,013,061037,04013061037,Phoenix
Census Tract 610.38; Maricopa County; Arizona,5162,101940,04,013,061038,04013061038,Phoenix
Census Tract 610.39; Maricopa County; Arizona,6012,135721,04,013,061039,04013061039,Phoenix
Census Tract 610.40; Maricopa County; Arizona,4992,86909,04,013,061040,04013061040,Phoenix
Census Tract 610.41; Maricopa County; Arizona,4658,78326,04,013,061041,04013061041,Phoenix
Census Tract 610.42; Maricopa County; Arizona,2424,63646,04,013,061042,04013061042,Phoenix
Census Tract 610.43; Maricopa County; Arizona,2445,82355,04,013,061043,04013061043,Phoenix
Census Tract 610.44; Maricopa County; Arizona,9468,110948,04,013,061044,04013061044,Phoenix
Census Tract 610.45; Maricopa County; Arizona,8706,124668,04,013,061045,04013061045,Phoenix
Census Tract 610.46; Maricopa County; Arizona,6216,60750,04,013,061046,04013061046,Phoenix
Census Tract 610.47; Maricopa County; Arizona,4079,136370,04,013,061047,04013061047,Phoenix
Census Tract 610.48; Maricopa County; Arizona,4133,100000,04,013,061048,04013061048,Phoenix
Census Tract 610.49; Maricopa County; Arizona,5258,110299,04,013,061049,04013061049,Phoenix
Census Tract 610.50; Maricopa County; Arizona,6811,105809,04,013,061050,04013061050,Phoenix
Census Tract 610.51; Maricopa County; Arizona,4774,118929,04,013,061051,04013061051,Phoenix
