ALAND,AWATER,COUNTYFP,GEOID,NAME,NAMELSAD,STATEFP,TRACTCE,area_km2,below_poverty_count,below_poverty_count_clean,city,high_poverty_flag,inequity_group,low_income_flag,hi_summer_mean_c,hi_summer_median_c,median_household_income,median_household_income_clean,poverty_rate,poverty_universe,poverty_universe_clean,total_population,total_population_clean
7360771,0,013,04013117200,1172,Census Tract 1172,04,117200,7.35659509597991,292,292,Phoenix,True,Low income + High poverty,True,33.55384219869438,33.55384219869438,65735,65735.0,0.25955555555555554,1125,1125,1125,1125
5194775,1855,013,04013082016,820.16,Census Tract 820.16,04,082016,5.194239031824162,530,530,Phoenix,False,High income + Low poverty,False,34.0327935706074,34.18679044946821,90156,90156.0,0.1277416244878284,4149,4149,4197,4197
2556177,25320,013,04013104402,1044.02,Census Tract 1044.02,04,104402,2.580104783518164,305,305,Phoenix,False,Low income + Low poverty,True,33.30751880031277,33.30751880031277,70455,70455.0,0.12525667351129363,2435,2435,2435,2435
1067401,0,013,04013104701,1047.01,Census Tract 1047.01,04,104701,1.0668026440017557,639,639,Phoenix,True,Low income + High poverty,True,33.3082424010499,33.3082424010499,68613,68613.0,0.23432343234323433,2727,2727,2727,2727
1449651,0,013,04013104702,1047.02,Census Tract 1047.02,04,104702,1.448833548334368,770,770,Phoenix,True,Low income + High poverty,True,33.3082424010499,33.3082424010499,42543,42543.0,0.21026761332605134,3662,3662,3662,3662
11578967,4914,013,04013112512,1125.12,Census Tract 1125.12,04,112512,11.578018395735766,371,371,Phoenix,True,Low income + High poverty,True,33.82097268165478,33.806902767508106,42656,42656.0,0.459727385377943,807,807,807,807
2582894,0,013,04013104218,1042.18,Census Tract 1042.18,04,104218,2.5815651382310194,362,362,Phoenix,False,High income + Low poverty,False,32.62849711203191,32.62849711203191,79427,79427.0,0.0949383687385261,3813,3813,3921,3921
2494692,16877,013,04013104225,1042.25,Census Tract 1042.25,04,104225,2.510275864844376,228,228,Phoenix,False,High income + Low poverty,False,32.62849711203191,32.62849711203191,100871,100871.0,0.06007905138339921,3795,3795,3805,3805
2574890,0,013,04013104219,1042.19,Census Tract 1042.19,04,104219,2.573564288842438,497,497,Phoenix,True,High income + High poverty,False,32.62849711203191,32.62849711203191,76458,76458.0,0.14747774480712167,3370,3370,4232,4232
6027649,0,013,04013104801,1048.01,Census Tract 1048.01,04,104801,6.0241983884868375,287,287,Phoenix,False,High income + Low poverty,False,33.3082424010499,33.3082424010499,138636,138636.0,0.07234686160826821,3967,3967,3983,3983
3300619,0,013,04013104802,1048.02,Census Tract 1048.02,04,104802,3.2987164451739894,833,833,Phoenix,True,High income + High poverty,False,33.3082424010499,33.3082424010499,79085,79085.0,0.15295629820051415,5446,5446,5632,5632
2584775,0,013,04013104900,1049,Census Tract 1049,04,104900,2.5832640979693045,124,124,Phoenix,False,High income + Low poverty,False,33.30950272249914,33.3082424010499,116188,116188.0,0.028965195047886007,4281,4281,4293,4293
19097867,3554,013,04013105102,1051.02,Census Tract 1051.02,04,105102,19.090334826710002,443,443,Phoenix,False,High income + Low poverty,False,33.30970789110715,33.3082424010499,106919,106919.0,0.09506437768240343,4660,4660,4682,4682
1299698,0,013,04013115801,1158.01,Census Tract 1158.01,04,115801,1.298973466989635,1035,1035,Phoenix,True,Low income + High poverty,True,33.619846933368876,33.619846933368876,39474,39474.0,0.2757059136920618,3754,3754,3754,3754
3155391,0,013,04013082017,820.17,Census Tract 820.17,04,082017,3.153942919050332,627,627,Phoenix,False,High income + Low poverty,False,34.18679044946821,34.18679044946821,102500,102500.0,0.10672340425531915,5875,5875,5875,5875
1349480,0,013,04013107102,1071.02,Census Tract 1071.02,04,107102,1.3487752472180585,1284,1284,Phoenix,True,Low income + High poverty,True,,,46881,46881.0,0.279191128506197,4599,4599,4639,4639
1298213,0,013,04013107201,1072.01,Census Tract 1072.01,04,107201,1.2975265726933702,424,424,Phoenix,True,Low income + High poverty,True,,,29615,29615.0,0.5848275862068966,725,725,4879,4879
2609407,0,013,04013107500,1075,Census Tract 1075,04,107500,2.6079591989662125,162,162,Phoenix,False,High income + Low poverty,False,33.3082424010499,33.3082424010499,108542,108542.0,0.04602272727272727,3520,3520,3520,3520
2619950,0,013,04013107700,1077,Census Tract 1077,04,107700,2.6184556975112288,122,122,Phoenix,False,High income + Low poverty,False,33.3082424010499,33.3082424010499,89043,89043.0,0.03139475038600103,3886,3886,3903,3903
3533730,79612,013,04013107800,1078,Census Tract 1078,04,107800,3.611256535560367,94,94,Phoenix,False,High income + Low poverty,False,33.3082424010499,33.3082424010499,109338,109338.0,0.03933054393305439,2390,2390,2390,2390
3182443,33230,013,04013111100,1111,Census Tract 1111,04,111100,3.213746585783261,224,224,Phoenix,False,High income + Low poverty,False,33.684223247532515,33.684223247532515,99787,99787.0,0.04748781004875981,4717,4717,4717,4717
1912006,0,013,04013111201,1112.01,Census Tract 1112.01,04,111201,1.9108613374897376,421,421,Phoenix,False,Low income + Low poverty,True,33.684223247532515,33.684223247532515,53798,53798.0,0.0665086887835703,6330,6330,6379,6379
895521,0,013,04013111202,1112.02,Census Tract 1112.02,04,111202,0.8949868751532984,327,327,Phoenix,True,Low income + High poverty,True,33.684223247532515,33.684223247532515,70840,70840.0,0.18464144551101072,1771,1771,1782,1782
2510746,0,013,04013082205,822.05,Census Tract 822.05,04,082205,2.5095685370696965,685,685,Phoenix,False,High income + Low poverty,False,34.18679044946821,34.18679044946821,88809,88809.0,0.10263709919089002,6674,6674,6702,6702
2549154,0,013,04013104401,1044.01,Census Tract 1044.01,04,104401,2.5477810261586904,1341,1341,Phoenix,True,Low income + High poverty,True,33.30751880031277,33.30751880031277,38151,38151.0,0.24105698364191983,5563,5563,5686,5686
636242,14455,013,04013105503,1055.03,Census Tract 1055.03,04,105503,0.650341428350785,1032,1032,Phoenix,True,Low income + High poverty,True,33.30751880031277,33.30751880031277,45677,45677.0,0.24612449320295732,4193,4193,4193,4193
1405622,0,013,04013109702,1097.02,Census Tract 1097.02,04,109702,1.404951745026927,1147,1147,Phoenix,True,Low income + High poverty,True,34.18679044946821,34.18679044946821,58523,58523.0,0.20786516853932585,5518,5518,5571,5571
1219660,0,013,04013109801,1098.01,Census Tract 1098.01,04,109801,1.2190578101148601,1392,1392,Phoenix,True,Low income + High poverty,True,33.90187468799813,33.806902767508106,42260,42260.0,0.3030698889614631,4593,4593,4593,4593
608760,0,013,04013109704,1097.04,Census Tract 1097.04,04,109704,0.6084649312647992,422,422,Phoenix,True,Low income + High poverty,True,34.18679044946821,34.18679044946821,56118,56118.0,0.16679841897233202,2530,2530,2530,2530
