city,compare_group,n_tracts,median_hi_minus_lst_z,mean_hi_minus_lst_z,median_lst_c,median_hi_c
Houston,Overlap hotspot,38,-0.6136269578481581,-0.5353865849264947,51.59179440215293,34.19907681151132
Houston,LST-only hotspot,45,-0.8169495153861295,-1.1148887485296741,50.94191481643754,34.182124562548104
Houston,HI-only hotspot,108,0.7033135682407244,1.091266286189479,48.461084521373834,34.19907681151132
Houston,Neither,358,0.08031764481857566,0.028644775951635077,48.02241365515863,34.171944709656074
Houston,Missing,105,,,50.153418844460624,
Phoenix,Overlap hotspot,29,-0.2442453903317372,-0.23303221047811756,59.45289216126739,33.806902767508106
Phoenix,LST-only hotspot,37,-0.9679183263380066,-1.0656130741701824,59.147875812256,33.55384219869438
Phoenix,HI-only hotspot,44,0.7797518608002297,0.9693323218057227,57.669317819934285,33.87067866933084
Phoenix,Neither,222,0.05380619966200703,0.04360885427155685,56.469431842118226,33.30751880031277
Phoenix,Missing,41,,,57.84273304556185,
