plot_class,n_tracts,city,share_pct,label
missing,105,Houston,16.06,Missing / no data
1-1,86,Houston,13.15,Low LST / Low HI
2-2,76,Houston,11.62,Mid LST / Mid HI
3-3,69,Houston,10.55,High LST / High HI
2-1,66,Houston,10.09,Mid LST / Low HI
3-2,59,Houston,9.02,High LST / Mid HI
1-2,57,Houston,8.72,Low LST / Mid HI
3-1,55,Houston,8.41,High LST / Low HI
2-3,41,Houston,6.27,Mid LST / High HI
1-3,40,Houston,6.12,Low LST / High HI
3-3,52,Phoenix,13.94,High LST / High HI
1-1,50,Phoenix,13.4,Low LST / Low HI
2-1,50,Phoenix,13.4,Mid LST / Low HI
missing,41,Phoenix,10.99,Missing / no data
1-2,40,Phoenix,10.72,Low LST / Mid HI
2-3,38,Phoenix,10.19,Mid LST / High HI
3-1,34,Phoenix,9.12,High LST / Low HI
3-2,25,Phoenix,6.7,High LST / Mid HI
2-2,22,Phoenix,5.9,Mid LST / Mid HI
1-3,21,Phoenix,5.63,Low LST / High HI
