city,compare_group,n_tracts,share_of_all_tracts_pct,median_lst_c,median_hi_c,median_hi_minus_lst_z
Houston,Overlap hotspot,38,5.81039755351682,51.59179440215293,34.19907681151132,-0.6136269578481581
Houston,LST-only hotspot,45,6.8807339449541285,50.94191481643754,34.182124562548104,-0.8169495153861295
Houston,HI-only hotspot,108,16.51376146788991,48.461084521373834,34.19907681151132,0.7033135682407244
Houston,Neither,358,54.74006116207951,48.02241365515863,34.171944709656074,0.08031764481857566
Houston,Missing,105,16.055045871559635,50.153418844460624,,
Phoenix,Overlap hotspot,29,7.774798927613941,59.45289216126739,33.806902767508106,-0.2442453903317372
Phoenix,LST-only hotspot,37,9.919571045576408,59.147875812256,33.55384219869438,-0.9679183263380066
Phoenix,HI-only hotspot,44,11.796246648793565,57.669317819934285,33.87067866933084,0.7797518608002297
Phoenix,Neither,222,59.51742627345844,56.469431842118226,33.30751880031277,0.05380619966200703
Phoenix,Missing,41,10.991957104557642,57.84273304556185,,
