city,city_context,HI_only_pct,LST_only_pct,HI_minus_LST_hotspot_gap,Both_hotspot_pct,Mismatch_pct,LST_HI_corr,paper_story_label_final
San Francisco,coastal / water-influenced,53.191489361702125,0.0,53.191489361702125,26.595744680851062,53.191489361702125,0.2762610770023599,Strong HI-shift
Miami,coastal / water-influenced,52.0,2.4,49.6,23.200000000000003,54.4,0.2137873660556167,Strong HI-shift
Boston,coastal / water-influenced,47.64397905759162,11.518324607329845,36.12565445026178,13.612565445026178,59.16230366492147,0.0001509635897057,Strong HI-shift
Atlanta,inland sun belt,32.28699551569507,18.385650224215247,13.90134529147982,6.726457399103139,50.672645739910315,-0.268547625635977,Moderate HI-shift
Seattle,coastal / water-influenced,32.97872340425532,21.808510638297875,11.170212765957444,3.1914893617021276,54.787234042553195,-0.0637213215272988,Moderate HI-shift
Chicago,great lakes,17.545871559633028,6.536697247706422,11.009174311926609,18.46330275229358,24.08256880733945,0.631142924321808,Moderate HI-shift
Los Angeles,coastal / water-influenced,25.925925925925924,17.77777777777778,8.148148148148145,7.222222222222221,43.7037037037037,0.3502317109155967,Weak-to-moderate HI-shift
Dallas,inland sun belt,18.70824053452116,12.694877505567929,6.013363028953231,12.47216035634744,31.40311804008909,0.1087414753143568,Weak HI-shift / mixed
Phoenix,inland desert / transitional,18.373493975903617,14.156626506024098,4.216867469879515,10.843373493975903,32.53012048192772,0.2912812422021387,Mixed / transitional
Houston,humid coastal / transitional,16.21129326047359,15.846994535519126,0.3642987249544624,9.289617486338798,32.05828779599271,0.3412754779438834,Balanced gap / mixed coupling
New York,coastal / water-influenced / dense urban,19.54022988505747,19.20498084291188,0.3352490421455911,5.795019157088123,38.74521072796935,0.0533020407087778,Balanced gap / mixed coupling
Las Vegas,inland desert,8.951965065502183,8.951965065502183,0.0,16.157205240174672,17.903930131004365,0.7502048289967429,Coupled LST-HI
